Product Name,Product Link,Image URL,Price,Original Price,Discount
"Panasonic 2.0 Ton 4 Star Premium Wi-Fi Inverter Smart Split AC (Matter Enabled, Higher Airflow, Copper Condenser, 7in1 Convertible, True AI, 4-Way, PM 0.1 Filter, CS/CU-NU24AKY4W, White)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDIzMzExNzAyODU1ODQwOjE3NDc3MzM1MTU6c3BfYXRmOjMwMDUyOTQwMTE2MTczMjo6MDo6&url=%2FPanasonic-Condenser-Convertible-CS-CU-NU24AKY4W%2Fdp%2FB0DSVT8913%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q%26dib_tag%3Dse%26keywords%3Dair%2Bconditioners%26qid%3D1747733515%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61h5jbbjXIL._AC_UY218_.jpg,,,
"Panasonic 1.5 Ton 3 Star Premium Wi-Fi Inverter Smart Split AC (Matter Enabled, Higher Airflow, Copper Condenser, 7in1 Convertible, True AI, 2-Way, PM 0.1 Filter, CS/CU-SU18AKY3W, White)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDIzMzExNzAyODU1ODQwOjE3NDc3MzM1MTU6c3BfYXRmOjMwMDUwMjU3MTUxNTAzMjo6MDo6&url=%2FPanasonic-Condenser-Convertible-CS-CU-SU18AKY3W%2Fdp%2FB0DSVS6P6G%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q%26dib_tag%3Dse%26keywords%3Dair%2Bconditioners%26qid%3D1747733515%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/614iskTw+2L._AC_UY218_.jpg,"₹37,490","₹56,400",
"Lloyd 1.5 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, White with Chrome Deco Strip, GLS18I3FWAGC)",https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAGC/dp/B0CCY3HLCV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-3,https://m.media-amazon.com/images/I/41D8PibHJjL._AC_UY218_.jpg,"₹33,290","₹58,990",
"Voltas 1.5 ton 3 Star, Inverter Split AC (Copper, 4-in-1 Adjustable Mode, Anti-dust Filter,183V Vectra CAW, White)",https://www.amazon.in/Voltas-Inverter-Copper-Adjustable-Anti-dust/dp/B0CWVDXYX1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-4,https://m.media-amazon.com/images/I/51hjt2Tw54L._AC_UY218_.jpg,"₹32,990","₹67,990",
"Lloyd 1.5 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Anti Corrosion Coating, Copper, PM 2.5 Filter, White with Chrome Deco Strip, GLS18I5KWGGW)",https://www.amazon.in/Lloyd-Inverter-Convertible-Corrosion-GLS18I5KWGGW/dp/B0DZ6B4K8C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-5,https://m.media-amazon.com/images/I/41byOAAtlzL._AC_UY218_.jpg,,,
"LG 1.5 Ton 3 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Diet Mode+, Faster Cooling & Energy Saving, HD Filter with Anti-Virus Protection, US-Q18JNXE, White)",https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q18JNXE/dp/B0DQQ4XDBB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-6,https://m.media-amazon.com/images/I/61ywQmMEltL._AC_UY218_.jpg,"₹34,990","₹78,990",
"Cruise 1 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, CWCVBL-VQ1W123, White)",https://www.amazon.in/Cruise-Inverter-Filtration-Convertible-CWCVBL-VQ1W123/dp/B0D17YKRXB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-7,https://m.media-amazon.com/images/I/61uJMLrvuXL._AC_UY218_.jpg,"₹26,990","₹45,900",
"LG 1.5 Ton 5 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Faster Cooling & Energy Saving, 4 Way Swing, HD Filter with Anti-Virus Protection, US-Q19YNZE, White)",https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q19YNZE/dp/B0DRG7M72Z/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-8,https://m.media-amazon.com/images/I/61ywQmMEltL._AC_UY218_.jpg,"₹43,990","₹85,990",
"Godrej 1 Ton 3 Star, 5 Years Comprehensive Warranty, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, 2025 Model, Heavy duty cooling at 52 °C, AC1T EI 12PINV3R32 WYQ 3S, White)",https://www.amazon.in/Godrej-Comprehensive-AC1T-12PINV3R32-WYQ/dp/B0DR2YG4FF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-9,https://m.media-amazon.com/images/I/51gwVgz9gYL._AC_UY218_.jpg,"₹28,490","₹41,900",
"Cruise 1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, CWCVBK-VQ1W173, White)",https://www.amazon.in/Cruise-Inverter-Filtration-Convertible-CWCVBK-VQ1W173/dp/B0CRF441PK/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OEhSUTegjQJs4G9TOK_g4hunvTFch5ypQ0zxzQ70oRROhJdsWPjs2pFuO-9FTmaygo313Kj51dhoZtbwhFBdxbhZfq6-Y2CsiLw9uSiyILjFQy1mGeu-7e9wrdDP7C847FYDo3Jq0HwoePo_BP7DJsasGSKtLuHDeaLzCFhLjfcHr2KHOEaazymRn95n_UJsk6o3soywJi4LlKGbDcOiHS5rAm88BH1SACgbiwn_aIA.3zWvd4B4HOgoU2lqgdrFE1AjtfcPJCRuzTrgdGeDJ4Q&dib_tag=se&keywords=air+conditioners&qid=1747733515&sr=8-10,https://m.media-amazon.com/images/I/61uJMLrvuXL._AC_UY218_.jpg,"₹29,490","₹47,900",
