Product Name,Product Link,Image URL,Price,Original Price,Discount
"DJI Osmo Action 5 Pro Adventure Combo, Action Camera 4K with 1/1.3"" Sensor, 12h Extended Battery Life with 3 Batteries, Stabilization, Dual OLED Touchscreens, Mini Action Camera for Travel, Vlog",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQ5MTQyNzg1MDQzODY0OjE3NDc3MzQ2MjI6c3BfYXRmOjMwMDMzOTMyMDEyMTQzMjo6MDo6&url=%2FDJI-Adventure-Batteries-Stabilization-Touchscreens%2Fdp%2FB07FW4CZZL%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c%26dib_tag%3Dse%26keywords%3DCameras%26qid%3D1747734622%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71bPJVQ+mEL._AC_UY218_.jpg,"₹46,990","₹49,990",
"Trueview 3+3Mp 4G Mini Pt Solar Powered Linkage Security Camera, 1296p Advanced CCTV Surveillance Solution, Outdoor Camera, Water Proof, 2 Way Talk",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQ5MTQyNzg1MDQzODY0OjE3NDc3MzQ2MjI6c3BfYXRmOjMwMDIzODgxMDk2NjQzMjo6MDo6&url=%2FTrueview-Solar-Security-Camera-Surveillance%2Fdp%2FB0D5WRPKLP%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c%26dib_tag%3Dse%26keywords%3DCameras%26qid%3D1747734622%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51EgezQOmPL._AC_UY218_.jpg,"₹8,199","₹20,000",
"VJIANGER 4K Digital Camera For Photography, 64MP Vlogging Camera For Youtube With 3"" 180° Flip Screen, 18X Digital Zoom Point And Shoot Camera With 32GB Micro SD Card For Beginner (Black)",https://www.amazon.in/VJIANGER-Digital-Photography-Vlogging-Beginner/dp/B0BQRVCGHC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-3,https://m.media-amazon.com/images/I/71LaQQPOhXL._AC_UY218_.jpg,"₹5,499","₹19,999",
"CP PLUS 2MP Full HD Smart Wi-Fi CCTV Home Security Camera | 360° with Pan Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Upto 128 GB), Alexa & Google Support | IR Distance 10mtr | CP-E25A",https://www.amazon.in/CP-PLUS-Security-Distance-CP-E25A/dp/B0BBV83YF9/ref=sr_1_4?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-4,https://m.media-amazon.com/images/I/51gmjKtWUGL._AC_UY218_.jpg,"₹1,349","₹3,450",
Tapo TP-Link C210 360° 3MP Full HD 2304 X 1296P Video Pan/Tilt Smart Wi-Fi Security Camera | Alexa Enabled | 2-Way Audio| Night Vision| Motion Detection | Indoor CCTV White,https://www.amazon.in/TP-Link-Security-Rotational-Required-Definition/dp/B095CLQ1PT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-5,https://m.media-amazon.com/images/I/41oK-1w0oLL._AC_UY218_.jpg,"₹1,599","₹3,599",
"DIVINE Kids Camera for Girls Boys,Kids Selfie Camera 13MP 1080P HD Digital Video Camera for Toddler,Christmas Birthday Gifts for 4+ to15 Years Old Children (DDC-99)",https://www.amazon.in/DIVINE-Christmas-Birthday-Children-DDC-99/dp/B0F1NG8819/ref=sr_1_6?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-6,https://m.media-amazon.com/images/I/61xxjxx6pnL._AC_UY218_.jpg,₹499,"₹49,900",
Video Camera Camcorder kimire Digital Camera Recorder Full HD 1080P 15FPS 24MP 3.0 Inch 270 Degree Rotation LCD 16X Digital Zoom Camcorder Camera with 2 Batteries(Black),https://www.amazon.in/Camcorder-Digital-Recorder-Rotation-Batteries/dp/B08K7HFMX4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-7,https://m.media-amazon.com/images/I/71C6TFutbeL._AC_UY218_.jpg,"₹4,999","₹12,999",
"Saneen Digital Camera for Photography, 4K 64MP WiFi Touch Screen Vlogging Camera with Flash, 32GB Micro Card, Lens Hood, 3000mAH Battery, Front and Rear Cameras, 4″Big Screen, Hot Shoe Interface-Black",https://www.amazon.in/Saneen-Digital-Photography-Vlogging-Interface/dp/B0CVX7DWP2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-8,https://m.media-amazon.com/images/I/718Rc+uhlAL._AC_UY218_.jpg,"₹13,999","₹49,999",
"Toy Imagine Kid's Digital Camera 1080P HD Mini Video Camcorder with 2Inch LCD Screen, Durable & ChildSafe Design, for Boys & Girls",https://www.amazon.in/Toy-Imagine-Digital-Camcorder-ChildSafe/dp/B0DF82PSH6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-9,https://m.media-amazon.com/images/I/51qI8K5pJLL._AC_UY218_.jpg,₹659,₹999,
"Focusify Digital Camera, 4K Ultra HD Cameras for Photography, Digital Point and Shoot Camera with 56Mp Autofocus 20X Zoom Anti Shake, Video Camera with 32GB SD Card for Kids, Teens, Beginners(Black)",https://www.amazon.in/Focusify-Digital-Photography-Autofocus-Beginners/dp/B0D5H9XTZW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.QIqDB7syY_f5r_1vKrJKzhI6A4UPkexRf1yMMRdOf1gwD-o1DuXQaiDV1UYFUMpuY-GkYaL3UNN4nsERArFKXQKw1SpKoyXG3za_tRQiCVLhnBQyTFfl-g_x1Y2FuOKACRa5lPWqDw2dyYhrfCpMR9unkJG-bDngXYSS8E_1xTJTl2aUN9xpbEw1N4DkuCh8g0AtusoKFkDiFT5ttuYSr0IXNvlHxXrVk8I7yyn_6cQ.DhSrm63Cr_G6b-JuFSu1SYa5eqbIwHcFaNSYqJPxY0c&dib_tag=se&keywords=Cameras&qid=1747734622&sr=8-10,https://m.media-amazon.com/images/I/61xl4inLS5L._AC_UY218_.jpg,"₹3,639","₹6,999",
