Product Name,Product Link,Image URL,Price,Original Price,Discount
Qubo Smart 360 2K 3MP 1296p WiFi CCTV Security Camera from Hero Group | Mobile App | Two Way Talk | Night Vision | Cloud & SD Card Recording | Made in India | Alexa & OK Google | (3MP),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjY4MjIwMjkyNTYzNzc3OjE3NDc3MzQ2ODE6c3BfYXRmOjMwMDQyNDQ2Njk3NjIzMjo6MDo6&url=%2FSecurity-Camera-Mobile-Recording-Support%2Fdp%2FB0CYGYCRH8%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs%26dib_tag%3Dse%26keywords%3DHome%2BSecurity%2BCameras%26qid%3D1747734681%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/4189ssgrMFL._AC_UY218_.jpg,"₹1,490","₹3,990","Buy 4 items, get 2% off"
"Imou 360° 1080P Full HD CCTV Security Camera, Human Detection, Motion Tracking, 2-Way Audio, Night Vision, Dome Camera with WiFi & Ethernet Connection, Alexa Enabled, Up to 256GB SD Card Support",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjY4MjIwMjkyNTYzNzc3OjE3NDc3MzQ2ODE6c3BfYXRmOjIwMDU4NTYwMzQ2MjA2OjowOjo&url=%2FImou-Security-Advanced-Surveillance-Detection%2Fdp%2FB07YFWVRCM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs%26dib_tag%3Dse%26keywords%3DHome%2BSecurity%2BCameras%26qid%3D1747734681%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51EtrQE+x7L._AC_UY218_.jpg,"₹1,398","₹2,700",
Tapo TP-Link C210 360° 3MP Full HD 2304 X 1296P Video Pan/Tilt Smart Wi-Fi Security Camera | Alexa Enabled | 2-Way Audio| Night Vision| Motion Detection | Indoor CCTV White,https://www.amazon.in/TP-Link-Security-Rotational-Required-Definition/dp/B095CLQ1PT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-3,https://m.media-amazon.com/images/I/41oK-1w0oLL._AC_UY218_.jpg,"₹1,599","₹3,599",
Tapo TP-Link C200 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV White,https://www.amazon.in/TP-Link-Wireless-Security-Tapo-C200/dp/B07XLML2YS/ref=sr_1_4?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-4,https://m.media-amazon.com/images/I/711yPjrCASL._AC_UY218_.jpg,"₹1,499","₹3,299",
"MANOMAY 2MP Smart CCTV Wi-fi Home Security Camera with Pan Tilt 360° View, 2 Way Talk, Cloud Monitor, Motion Detect, Supports SD Card Up to 256 GB, Night Vision, Alexa",https://www.amazon.in/MANOMAY-2MP-Security-Monitor-Supports/dp/B0D8BSGBCN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-5,https://m.media-amazon.com/images/I/41jtJdM-nIL._AC_UY218_.jpg,₹944,"₹4,000",
"CP PLUS 2MP Full HD Smart Wi-Fi CCTV Home Security Camera | 360° with Pan Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Upto 128 GB), Alexa & Google Support | IR Distance 10mtr | CP-E25A",https://www.amazon.in/CP-PLUS-Security-Distance-CP-E25A/dp/B0BBV83YF9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-6,https://m.media-amazon.com/images/I/51gmjKtWUGL._AC_UY218_.jpg,"₹1,349","₹3,450",
Qubo Smart 360 2K 3MP 1296p WiFi CCTV Security Camera from Hero Group | Mobile App | Two Way Talk | Night Vision | Cloud & SD Card Recording | Made in India | Alexa & OK Google | (3MP),https://www.amazon.in/Security-Camera-Mobile-Recording-Support/dp/B0CYGYCRH8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-7,https://m.media-amazon.com/images/I/4189ssgrMFL._AC_UY218_.jpg,"₹1,490","₹3,990","Buy 4 items, get 2% off"
"Xiaomi Mi Wireless Home Security Camera 2i | Full HD Picture | 360 View | 2MP CCTV | AI Powered Motion Detection | Enhanced Night Vision| Talk Back Feature (2 Way Calling), 1080p, White",https://www.amazon.in/MI-Wireless-Security-Detection-Enhanced/dp/B0B51WPT24/ref=sr_1_8?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-8,https://m.media-amazon.com/images/I/71OQxx9FD7L._AC_UY218_.jpg,"₹1,949",₹389.80,
"Imou 360° 1080P Full HD CCTV Security Camera, Human Detection, Motion Tracking, 2-Way Audio, Night Vision, Dome Camera with WiFi & Ethernet Connection, Alexa Enabled, Up to 256GB SD Card Support",https://www.amazon.in/Imou-Security-Advanced-Surveillance-Detection/dp/B07YFWVRCM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-9,https://m.media-amazon.com/images/I/51EtrQE+x7L._AC_UY218_.jpg,"₹1,398","₹2,700",
"Tapo TP-Link 2K 3MP Pan/Tilt Indoor Security Camera for Baby Monitor, Pet Camera | Motion Detection & Tracking | 2-Way Audio | Cloud & SD Card Storage | Works w/Alexa & Google Home | Black C211",https://www.amazon.in/Tapo-Security-Detection-Tracking-C211/dp/B0CHFG8XBZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.i0RTL0EijmGZ6A6d3SU4MkosiOxFZ_0ksPwig1ruAXeMKANYWwBxeyvudThzCrnvD9B4P5-FQqewEeX_ScM5f_rfdrq30DtBW0nnIjCRt_sap5203Aug62V5tZErUX7lLywTmtYg9VtgrikuENdicyFmS7Q6X9i4oyC0Jd7p7thavLcSFvAGb9XvEhDFSYxItIAhyDWQ8yio4TMcfX5m9CEZUrdflmduS___psD-eQA.-B8icVIKOBUbO9SlHMJhp7670Pw3HhDYUptEJjiGgYs&dib_tag=se&keywords=Home+Security+Cameras&qid=1747734681&sr=8-10,https://m.media-amazon.com/images/I/61nsdooVqdL._AC_UY218_.jpg,"₹1,599","₹4,499",
