Product Name,Product Link,Image URL,Price,Original Price,Discount
"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics,FHD Camera w/Privacy Shutter, fd0577TU",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjQyMzQzNzM2MzY2MDY5OjE3NDc3MzMzNjI6c3BfYXRmOjMwMDU1OTY2MTEwNTgzMjo6MDo6&url=%2FHP-i5-1334U-Anti-Glare-Micro-Edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1747733362%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,"₹56,990","₹72,112",
"HP OmniBook 5 (Previously Pavilion) Next Gen AI Copilot+ Laptop, 50 TOPS, AMD Ryzen AI 7 350 (16GB LPDDR5X, 512GB SSD) 2K, Touch, IPS, 16''/40.6cm, Win11, Office24, Silver, 1.8kg, FHD Camera, ag1048au",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjQyMzQzNzM2MzY2MDY5OjE3NDc3MzMzNjI6c3BfYXRmOjMwMDU0MTkwMDU4ODczMjo6MDo6&url=%2FHP-OmniBook-Previously-Pavilion-Office24%2Fdp%2FB0F1DDQFWS%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1747733362%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71SoAuR2iDL._AC_UY218_.jpg,"₹86,990","₹99,527",
"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm),Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10",https://www.amazon.in/HP-Notebook-15-6-inch-Anti-Glare-Graphics/dp/B0DV984J97/ref=sr_1_3?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-3,https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UY218_.jpg,"₹23,965","₹30,336",
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-4,https://m.media-amazon.com/images/I/51bfKFtNSQL._AC_UY218_.jpg,"₹34,990","₹60,300",
"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm, FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6-inch-Graphics/dp/B0D4LZMJ5Z/ref=sr_1_5?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-5,https://m.media-amazon.com/images/I/71k9Z+agn8L._AC_UY218_.jpg,"₹32,990","₹48,988",
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop",https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-6,https://m.media-amazon.com/images/I/81Tj8G57-WL._AC_UY218_.jpg,"₹51,499","₹70,790",
"HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU",https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-7,https://m.media-amazon.com/images/I/719OMbh40jL._AC_UY218_.jpg,"₹30,690","₹45,995",
"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty",https://www.amazon.in/Lenovo-i7-1255U-4-70Ghz-Windows-Warranty/dp/B0F32ZBDNJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-8,https://m.media-amazon.com/images/I/519RoeX1P4L._AC_UY218_.jpg,"₹44,999","₹65,000",
"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty",https://www.amazon.in/Lenovo-V14-G3-i5-1235U-Ms-Office/dp/B0F4XH5MVJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-9,https://m.media-amazon.com/images/I/51bHvUvWrnL._AC_UY218_.jpg,"₹40,990",,
"Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_10?dib=eyJ2IjoiMSJ9.tqo_tHSp141kAd_8vwAb5VimtxyIB8232ZMZfbIHdm0-ldS3fqcDqWTYJZRj8_fA_nL2hI23dvvj-q5ed1ntb1hDeBkjcJHuKu4RCcMONzGYBDuaM4Wzm1mP38-jEd4nMuCEv4w2Fp_oSsD5ZMd80dUFlY1xJhZSVPYoZpkBYk0xG8EQskG6_hmQL5f2a-ihz9FnoQ3fw0kPvEb1iX9jHkjULapTIapE8qCm6VzNFOo.5qamTe6mX_ZyqTWYACbH22kAfmu1UFjBNTPd-oxoTfU&dib_tag=se&keywords=laptops&qid=1747733362&sr=8-10,https://m.media-amazon.com/images/I/61k0gpxQwCL._AC_UY218_.jpg,"₹32,990","₹58,999",
