Product Name,Product Link,Image URL,Price,Original Price,Discount
Xiaomi 138 cm (55 Inches) FX Series 4K Ultra HD Smart Fire TV L55MB-FIN,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODYzODY4NjM2ODQwNjE4OjE3NDc3MzQyNzk6c3BfYXRmOjMwMDU2MTY3NDgwNTUzMjo6MDo6&url=%2FXiaomi-Inches-Ultra-Smart-L55MB-FIN%2Fdp%2FB0F3JLSRZQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik%26dib_tag%3Dse%26keywords%3Dmi%2Btv%26qid%3D1747734279%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/814lxVjt3IL._AC_UY218_.jpg,,,
Panasonic 80 cm (32 inches) HD Ready Smart LED Google TV TH32MS660DX (Black),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODYzODY4NjM2ODQwNjE4OjE3NDc3MzQyNzk6c3BfYXRmOjMwMDA2MTYyODkzNzkzMjo6MDo6&url=%2FPanasonic-inches-Ready-Google-TH32MS660DX%2Fdp%2FB0BZZ93Z1C%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik%26dib_tag%3Dse%26keywords%3Dmi%2Btv%26qid%3D1747734279%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/719d1sN-1HL._AC_UY218_.jpg,"₹15,490","₹20,990",
Redmi Xiaomi 80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32MA-FVIN (Black),https://www.amazon.in/Redmi-inches-Ready-Smart-L32MA-FVIN/dp/B0D4LJ9WVW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-3,https://m.media-amazon.com/images/I/81XdceRvZaL._AC_UY218_.jpg,"₹10,999","₹24,999",
MI Xiaomi Smart TV A 80 cm (32) HD Ready Smart Google LED TV L32MA-AIN (Black),https://www.amazon.in/Xiaomi-Smart-Ready-Google-L32MA-AIN/dp/B0D25MMHH2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-4,https://m.media-amazon.com/images/I/71xQtZAXBWL._AC_UY218_.jpg,"₹12,490","₹24,999",
MI Xiaomi 108 cm (43 inches) A Pro 4K Dolby Vision Smart Google LED TV L43MA-AUIN (Black),https://www.amazon.in/Xiaomi-inches-Vision-Google-L43MA-AUIN/dp/B0DBRL1SYQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-5,https://m.media-amazon.com/images/I/71HI+VF6ZXL._AC_UY218_.jpg,"₹23,999","₹42,999",
Redmi 108 cm (43 inch) F Series Ultra HD 4K LED Smart Fire TV L43MA-FVIN,https://www.amazon.in/Redmi-inch-Ultra-Smart-L43MA-FVIN/dp/B0DV8WXDNX/ref=sr_1_6?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-6,https://m.media-amazon.com/images/I/71oXoIMlfTL._AC_UY218_.jpg,"₹21,999","₹42,999",
Mi Xiaomi 125 cm (50 inches) X Series 4K LED Smart Google TV L50MA-AUIN (Black),https://www.amazon.in/Xiaomi-inches-Smart-Google-L50MA-AUIN/dp/B0DC6SXZG7/ref=sr_1_7?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-7,https://m.media-amazon.com/images/I/81H18A8lmhL._AC_UY218_.jpg,"₹31,990","₹49,999",
MI 108 cm (43 inches) A Series Full HD Smart Google LED TV L43MA-AFIN (Black),https://www.amazon.in/MI-inches-Smart-Google-L43MA-AFIN/dp/B0D7QBSYD3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-8,https://m.media-amazon.com/images/I/71xQtZAXBWL._AC_UY218_.jpg,"₹22,990","₹36,999",
MI 108 cm (43 inches) X Series 4K Ultra HD Smart Google LED TV L43M8-A2IN (Black),https://www.amazon.in/Xiaomi-inches-Ultra-Google-L43M8-A2IN/dp/B0CH33945T/ref=sr_1_9?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-9,https://m.media-amazon.com/images/I/61T5drqfafL._AC_UY218_.jpg,"₹23,999","₹42,999",
Xiaomi 138 cm (55 inches) X Pro 4K Dolby Vision IQ Series Smart Google LED TV L55M8-5XIN (Black),https://www.amazon.in/Xiaomi-inches-Vision-Google-L55M8-5XIN/dp/B0CG5RLDRC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.eybvXzbEQmtOXg76A5F3x8_lMAmutTgAxZHwy3rXEvAiLNqexs9f6VcentPxpSsXJ76vwJjq_jNHobcPy99n0MlHaqoxptXzPw-mVdoC0TyuGa0v-BfLP246KjW3Plgs5B_-_Wh62SQSF9XecHD-nhsO2c-kFKfaGkEgD0VjpZ9pCTuajvpWUFYMvKRO7G1cozqkvl1YWxNho0KXGHyCFloGUrFbiBquHq4YRHbvilM.uKGRXWxteTmFFNxeRoZe78lCwGU6xyLCQLHw5j0vNik&dib_tag=se&keywords=mi+tv&qid=1747734279&sr=8-10,https://m.media-amazon.com/images/I/71evh+4lnLL._AC_UY218_.jpg,"₹36,999","₹69,999",
