Product Name,Product Link,Image URL,Price,Original Price,Discount
"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDUyNTMxOTE1NzgxMDQ3OjE3NDc3MzQ0MTg6c3BfYXRmOjIwMDc2NjgzMzY4NDk4OjowOjo&url=%2FPanasonic-Microwave-NN-ST26JMFDG-Silver-Menus%2Fdp%2FB08CL8XF75%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw%26dib_tag%3Dse%26keywords%3DMicrowave%2BOven%26qid%3D1747734418%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71dzAT5xIqL._AC_UY218_.jpg,"₹6,440","₹7,490",
"Panasonic 20L Grill Microwave Oven(NN-GT221WFDG,White, 38 Auto Cook Menus )",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDUyNTMxOTE1NzgxMDQ3OjE3NDc3MzQ0MTg6c3BfYXRmOjMwMDQ1NjcwNjYzNDEzMjo6MDo6&url=%2FPanasonic-Grill-Microwave-NN-GT221WF-White%2Fdp%2FB00KPSSR20%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw%26dib_tag%3Dse%26keywords%3DMicrowave%2BOven%26qid%3D1747734418%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81MiBiqx8iL._AC_UY218_.jpg,"₹7,790","₹10,290",
"IFB 24L Solo Microwave Oven (24PM2S, Multi Stage Cooking with 69 Indian & Continental Auto Cook Menus, Child-lock Protection, Deodorize function, Delay Start & Power Save, black)",https://www.amazon.in/IFB-Microwave-24PM2S-Continental-Recipes/dp/B0CGN8FMJ8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-3,https://m.media-amazon.com/images/I/61hD-fVYjcL._AC_UY218_.jpg,"₹6,990","₹8,790",
"Panasonic 20L Solo Microwave Oven (NN-SM25JBFDG,Black)",https://www.amazon.in/Panasonic-Solo-Microwave-NN-SM25JBFDG-Black/dp/B08DYCWC9R/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-4,https://m.media-amazon.com/images/I/618hSd40v6L._AC_UY218_.jpg,"₹5,740","₹6,790",
"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)",https://www.amazon.in/Panasonic-Microwave-NN-ST26JMFDG-Silver-Menus/dp/B08CL8XF75/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-5,https://m.media-amazon.com/images/I/71dzAT5xIqL._AC_UY218_.jpg,"₹6,440","₹7,490",
"Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, 10 Yr warranty)",https://www.amazon.in/Samsung-Convection-Microwave-MC28A5013AK-TL/dp/B09XBMXQ34/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-6,https://m.media-amazon.com/images/I/710UhGWsb9L._AC_UY218_.jpg,"₹12,890","₹15,590",
"LG 20 L Solo Microwave Oven (MS2043BP, Black, Health plus Menu, I-Wave Technology, Indian Cuisine, Even Reheat & Defrost, Auto Cook Menu, Anti-Bacterial Cavity & Steam Clean)",https://www.amazon.in/LG-Microwave-MS2043BP-Black-Starter/dp/B07MC84QPL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-7,https://m.media-amazon.com/images/I/81diUrv+yiL._AC_UY218_.jpg,"₹6,790","₹8,199",
"Panasonic 25L Solo Microwave Oven (NN-ST310QBFG, Black, 85 Auto Cook Menus)",https://www.amazon.in/Panasonic-Microwave-NN-ST310QBFG-Black-Menus/dp/B0D7MFQLJR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-8,https://m.media-amazon.com/images/I/61tCpuACSIL._AC_UY218_.jpg,"₹7,340","₹9,900",
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),https://www.amazon.in/Whirlpool-MAGICOOK-PRO-20SE-BLACK/dp/B07YWYGJYD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-9,https://m.media-amazon.com/images/I/61VulHBlOkL._AC_UY218_.jpg,,,
"AGARO Marvel 9L Oven Toaster Griller, Cake Baking, Grilling, Toasting, OTG, 800 Watts, (Black).",https://www.amazon.in/AGARO-Shut-off-Resistant-Tempered-Grilling/dp/B07N2MGB3G/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FybqD22J-dRptldyuoaUmSAUAZkOFoArUvaZ42LWfKWYWkr-l2ZoO29aLdUF0byBGJvrjXacJETk2nxr-Fkzx5TLNUCrGpV-A-xyaK5yOGGv5TkudoMnWR_GcHP5wYfde7eq0feCCR0odHz_3Vo_jOON6gB25YCXpPxW3Z6trLUg1ej3LRcwvFd8CmwFhyYME4S-CxXHyhAsARdDN0HaJY93CZI3l-2LOCG-pbfkFWo.Omv2UhWEbWUx3XfiXEUjJy1gTXOUBxxNlBpl1VaDiFw&dib_tag=se&keywords=Microwave+Oven&qid=1747734418&sr=8-10,https://m.media-amazon.com/images/I/71vJLCZBeoL._AC_UY218_.jpg,"₹1,699","₹2,799",
