Product Name,Product Link,Image URL,Price,Original Price,Discount
Panasonic Eneloop CC61N Charger for AA & AAA Rechargeable Batteries,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTQ2MTE2MTY3MzAyNzQwOjE3NDc3MzQ0NDk6c3BfYXRmOjMwMDEzNjIxOTE2MjUzMjo6MDo6&url=%2FPanasonic-Rechargeable-AC100-240V-50-60HzWhite-Indicator%2Fdp%2FB07RYVVW8X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E%26dib_tag%3Dse%26keywords%3DMobile%2BChargers%26qid%3D1747734449%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/6130aPhdyKL._AC_UY218_.jpg,₹679,₹169.75,
Panasonic Eneloop CC17N advanced charger for AA & AAA rechargeable Batteries LED indicator charging control system.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTQ2MTE2MTY3MzAyNzQwOjE3NDc3MzQ0NDk6c3BfYXRmOjMwMDEzNjIxOTE2MjMzMjo6MDo6&url=%2FPanasonic-rechargeable-Batteries-AC100-240V-indicator%2Fdp%2FB010I0STUY%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E%26dib_tag%3Dse%26keywords%3DMobile%2BChargers%26qid%3D1747734449%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61uHKwBTnfL._AC_UY218_.jpg,₹998,,
"Portronics Adapto 66 2.4A 12w Dual USB Port 5V/2.4A Wall Charger,Comes with 1M Micro USB Cable, USB Wall Charger Adapter for Smartphone (Black)",https://www.amazon.in/Portronics-Adapto-Charger-Adapter-Samsung/dp/B09HN3BMD8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-3,https://m.media-amazon.com/images/I/41UhCI6+p7L._AC_UY218_.jpg,₹199,₹499,
"MI Xiaomi 22.5W Fast Charger with USB-C Cable, Quick Charge 3.0 Power Adapter Compatible with Redmi Note Series, Poco, Mi, Any Type C Devices - with Power Delivery (White)",https://www.amazon.in/MI-Xiaomi-22-5W-Charger-Tablets/dp/B09XBJ1CTN/ref=sr_1_4?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-4,https://m.media-amazon.com/images/I/51oZHMpbmxL._AC_UY218_.jpg,₹699,₹349.50,
"Onepluss 80W SUPERVOOC Charger with Type C Cable 100 cm with One Plus, Infinix, Realmee, Redmii, Nothing, Oppoo, Pixel Other Smartphones | C Type Charger Supports Dash,Warp, Vooc, 80 w Charger, White",https://www.amazon.in/Onepluss-SUPERVOOC-Charger-Smartphones-Supports/dp/B0DVGSGR1T/ref=sr_1_5?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-5,https://m.media-amazon.com/images/I/51K5nwb4qcL._AC_UY218_.jpg,₹595,₹999,"Buy 2 items, get 5% off"
"Portronics Adapto 45 22.5 W Mobile Charger Adapter with Dual Port (USB A + PD Type C), Fast Charging, Short Circuit Protection, Wide Compatibility (Black)",https://www.amazon.in/Portronics-Charger-Charging-Protection-Compatibility/dp/B0BBRJVLWD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-6,https://m.media-amazon.com/images/I/41eKbHQyNCL._AC_UY218_.jpg,₹399,₹999,
"Portronics Adapto 12 2.4A 12W Fast Wall Charger for iPhone 11/Xs/XS Max/XR/X/8/7/6/Plus, iPad Pro/Air 2/Mini 3/Mini 4, Samsung S4/S5, and More(White)",https://www.amazon.in/Portronics-Adapto-12-Charger-Samsung/dp/B0CHJQ28F3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-7,https://m.media-amazon.com/images/I/51w9roMijiL._AC_UY218_.jpg,₹169,₹399,
"Fast Charger for Mi Xiaomi Redmi 5 Pro/6 Pro/Redmi 5, Redmi 4, Note 5, Redmi 7, Redmi 3S Prime/Redmi 6A || Compatible Like Standard || Adapter with Fast Charging Data Cable 2.4 Amp Black",https://www.amazon.in/Fast-Charger-Compatible-Standard-Charging/dp/B0BDM3YTDJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-8,https://m.media-amazon.com/images/I/61CvDggHJmL._AC_UY218_.jpg,₹309,₹799,
"80W Fast Charger with USB to C-Type Cable Combo | Compatible with OnePlus, Realme, Oppo, Redmi, Nothing, Samsung, Pixel & Other Phones | C Type Fast Charger Supports Dash,Warp, Vooc, SuperVooc",https://www.amazon.in/80W-Charger-Compatible-Supports-SuperVooc/dp/B0DTG7JJ6M/ref=sr_1_9?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-9,https://m.media-amazon.com/images/I/51zBRGjeGML._AC_UY218_.jpg,₹349,₹799,
Amazon Basics 12W Dual Port Fast Charger | 12W Max Output | Includes 1 m Type C Cable | Universal Compatibility,https://www.amazon.in/Amazon-Basics-Charger-Universal-Compatibility/dp/B0D5QTPJT2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.9HyzP5AJM1sLZIM-Dp7-BpwzbxJT58tPxj3CmYZX5rKqx5vItkw2VbrsLwHd1zJoyeraCzQS6JloxvqY5XLIYKuoy_HPMU38P9uYAFC1GhrChQ9Jj0R6zPz1qV6sUL83nc0mF1ceGXtn29zoeVwDt1cNhFvAJHm-ic4NcRMpUqEjlYwHy_eg3QpqzV8j7lA0Rl8Hj75ObHbNgZm6RqI6iGpncIwMNYQzGMaE600fCxs.YlCfFr6wnYmxHk60eKbqvaDnkzz2xzy1h-WPBe8gc4E&dib_tag=se&keywords=Mobile+Chargers&qid=1747734449&sr=8-10,https://m.media-amazon.com/images/I/51AHaPi94NL._AC_UY218_.jpg,₹229,₹114.50,
