Product Name,Product Link,Image URL,Price,Original Price,Discount
"Panasonic BK-3MCCE/4BN Eneloop(Up to 2000 mAH) AA Ni-MH Pre-Charged Rechargeable Batteries, 4-Battery Pack",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTc2NDQ4MTM4MDQyNjQ4OjE3NDc3MzQ1ODI6c3BfYXRmOjMwMDEzNjIxOTE2MjIzMjo6MDo6&url=%2FPanasonic-BK-3MCCE-4BN-Pre-Charged-Rechargeable%2Fdp%2FB00KE5NTLS%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc%26dib_tag%3Dse%26keywords%3DPower%2BBanks%26qid%3D1747734582%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71vk4YSt58L._AC_UY218_.jpg,"₹1,099",₹274.75,
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Ports (Olive, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds,Speaker, Tablet)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTc2NDQ4MTM4MDQyNjQ4OjE3NDc3MzQ1ODI6c3BfYXRmOjMwMDMxNTE5NDczODAzMjo6MDo6&url=%2FLifelong-ZenCharge-Compact-Lithium-Charging%2Fdp%2FB0DB5CT2CL%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc%26dib_tag%3Dse%26keywords%3DPower%2BBanks%26qid%3D1747734582%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61shEn8ULoL._AC_UY218_.jpg,"₹1,999","₹3,999",
"ZEBRONICS MB10000S4 Power Bank, 10000 mAh, 12W, Dual USB Output, Type C & Micro USB Input, Built in Protections, Percentage LED Display, Included USB to Type C Cable, Made in India",https://www.amazon.in/ZEBRONICS-ZEB-MB10000S4-Percentage-Compatible-Protection/dp/B0C6M7Q9NB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-3,https://m.media-amazon.com/images/I/61HgzHGMBBL._AC_UY218_.jpg,₹499,"₹1,699",
"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Dark Blue)",https://www.amazon.in/Charging-Devices-Simultaneously-Smartphones-Speakers/dp/B0D96HMLYX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-4,https://m.media-amazon.com/images/I/61dSDJrmIlL._AC_UY218_.jpg,₹819,"₹3,999",
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",https://www.amazon.in/Xiaomi-20000mAh-Charging-Delivery-Supports/dp/B0DCZ3WDTB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-5,https://m.media-amazon.com/images/I/51c5j0aJtYL._AC_UY218_.jpg,"₹2,199","₹3,999",
"Kratos Legend Champ Power Bank 20000mAH, Fast Charging 22.5W, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge Power Bank for iPhone, Android & Other Phones, BIS Certified,Made in India",https://www.amazon.in/Kratos-20000mAH-Charging-Delivery-Certified/dp/B0DXCZ6DGP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-6,https://m.media-amazon.com/images/I/6152wuhya7L._AC_UY218_.jpg,₹899,"₹2,999",
"ZEBRONICS MB10000S15 Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Dual USB Output, PD 3.0 Type C, Built in Protections, Percentage Indicator, Made in India",https://www.amazon.in/ZEBRONICS-MB10000S15-Protections-Percentage-Indicator/dp/B0D22ZZM34/ref=sr_1_7?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-7,https://m.media-amazon.com/images/I/61hXQYjKroL._AC_UY218_.jpg,₹599,"₹2,099",
"boAt Energyshroom PB400 Pro 20000mAh | Pocket Size, Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports, Compatible with Tablets, Smartphones, Earbuds, Smartwatch(Steel Blue)",https://www.amazon.in/boAt-Energyshroom-Compatible-Smartphones-Smartwatch/dp/B0DFGZW6JG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-8,https://m.media-amazon.com/images/I/61AErPaUAPL._AC_UY218_.jpg,"₹1,998","₹4,999",
URBN Power Bank 20000mAh Fast Charging | 22.5W Super Fast Power Delivery (PD) Portable Charger | Triple Output | USB Type C Input & Output | Pass Through Charging | (Black),https://www.amazon.in/URBN-20000mAh-Charging-Delivery-Portable/dp/B0DQ4NYQZQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-9,https://m.media-amazon.com/images/I/71TUiV0TyiL._AC_UY218_.jpg,"₹1,099","₹2,999",
Amazon Basics 10000 mAh 22.5W Ultra Fast Charging Power Bank | Type C Power Delivery (Input & Output) | Quick Charge | Two-Way Fast Charging (Lime),https://www.amazon.in/Amazon-Basics-Charging-Delivery-Two-Way/dp/B0CNSW12WB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.gA_YGOiZacB3wtZxEX0-Q3PrL_6Xqg8zBuQubG_8pEpgy459TUdy1JQHVrMCaEjV08qL6XqglI0wA19iOQbTf98RCIQfaG3lNPQ0E6botX1xNdPfUURGSOMBXkdc863TEmnYq7RU1TMbvvQq9LNaGO4_gEzRHzEo8ppA0CqYcGWAdjr5TJBaIhOSLBcPi1tG-Kss4jpWdyslcJn-seW3FoLLAcFr__46QwMv0_nsdl4.hNWlsXP5J-b6DzuEN7EHisMiaTSPLuXvtlM9gUbY0Nc&dib_tag=se&keywords=Power+Banks&qid=1747734582&sr=8-10,https://m.media-amazon.com/images/I/51yDLUpOLAL._AC_UY218_.jpg,₹809,"₹3,699",
