Product Name,Product Link,Image URL,Price,Original Price,Discount
"JLab JBuds LUX ANC Smart Active Noise Cancelling Headphones - Over Ear Wireless Headphones with Microphone, 70+ H Playtime Foldable Bluetooth Earphones with Multipoint & Customisable Sound, Graphite",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjA2NDgxMTAxOTg4Nzc4OjE3NDc3MzQ0ODA6c3BfYXRmOjMwMDM5NDg0NDkyMzgzMjo6MDo6&url=%2FJLab-Headphones-Cancelling-Customizable-Compatible%2Fdp%2FB0CRM4Q1W1%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k%26dib_tag%3Dse%26keywords%3DSmart%2BHeadphones%26qid%3D1747734480%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/515BArLM8oL._AC_UY218_.jpg,"₹5,998","₹5,99,800",
"Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, Easy Control, IPX5 headphones wireless with mic (Black)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjA2NDgxMTAxOTg4Nzc4OjE3NDc3MzQ0ODA6c3BfYXRmOjMwMDQ4NzY1MjAxNTkzMjo6MDo6&url=%2FBoult-Bluetooth-Headphones-Playtime-Charging%2Fdp%2FB0DFHFH16K%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k%26dib_tag%3Dse%26keywords%3DSmart%2BHeadphones%26qid%3D1747734480%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71zfpkr4bYL._AC_UY218_.jpg,"₹1,999","₹5,999",
Wireless Earbuds Bluetooth 5.1 TWS Earphones Full Touch Control Headphones Built-in Microphone Immersive Sound Quality Ensure Fast Stable & Connection Smart LED Headset Sports Bud,https://www.amazon.in/Bluetooth-Earphones-Headphones-Microphone-Connection/dp/B0F7LLT7ZM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-3,https://m.media-amazon.com/images/I/216uTr8e0vL._AC_UY218_.jpg,₹349,₹699,
"boAt Rockerz 480 w/RGB LEDs, 6 Light Modes, 40mm Drivers, Beast Mode, 60hrs Playback, ENx Tech, BT v5.3, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(Black Sabre)",https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTSRX3R/ref=sr_1_4?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-4,https://m.media-amazon.com/images/I/711l4y8aNlL._AC_UY218_.jpg,"₹1,599","₹3,790",
"Black-R ENC Wireless Earphone Bluetooth Headphones in Ear Neckband with Upto 130 Hours Playback, Fast ASAP Charge, Bluetooth V5.4, Smart Bass, Lowest Latency Gaming, Wireless Headset, R-006 (Gray)",https://www.amazon.in/Wireless-Earphone-Bluetooth-Neckband-Playback/dp/B0DCW17KDQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-5,https://m.media-amazon.com/images/I/51lWmt+-3uL._AC_UY218_.jpg,₹314,,
Wireless Earbuds Bluetooth 5.1 TWS Earphones Full Touch Control Headphones Built-in Microphone Immersive Sound Quality Ensure Fast Stable & Connection Smart LED Headset Sports Bud,https://www.amazon.in/Bluetooth-Earphones-Headphones-Microphone-Connection/dp/B0F6KGTB3W/ref=sr_1_6?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-6,https://m.media-amazon.com/images/I/21Bd8tvVvAL._AC_UY218_.jpg,₹345,₹999,
"WatchOut WearPods Smartwatch with Wireless Earbuds, GPS Fitness Tracker, Music Storage, Heart Rate, Always-on HD Display, Best Headphones & Smart Watch in one Gift (Black Commando)",https://www.amazon.in/WatchOut-WearPods-Smartwatch-Black-Commando/dp/B0CQXDJ4HH/ref=sr_1_7?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-7,https://m.media-amazon.com/images/I/61ohN+yosUL._AC_UY218_.jpg,"₹3,499","₹9,999",
"Boult Newly Launched Flex Headphones Bluetooth Wireless with 70H Playtime, 40mm Bass Driver, Zen ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, IPX5 headphones wireless with mic (Jet Black)",https://www.amazon.in/Boult-Launched-Headphones-Bluetooth-headphones/dp/B0F2FF44NN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-8,https://m.media-amazon.com/images/I/71yAU2+AOCL._AC_UY218_.jpg,"₹1,499","₹5,499",
"Portronics Harmonics Twins 31 Over Ear OWS Smart Wireless Earbuds with HD Mic, Secure & Flexible Earhook, Touch Control, 24 Hrs Playtime, Music/Gaming Mode, BT 5.4V, Light Weight(Beige)",https://www.amazon.in/Portronics-Harmonics-Wireless-Flexible-Playtime/dp/B0DG5JHHZK/ref=sr_1_9?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-9,https://m.media-amazon.com/images/I/61jb+f3CRSL._AC_UY218_.jpg,"₹1,379","₹2,999",
"OnePlus Buds 3 Truly Wireless Bluetooth Earbuds with Upto 49Db Smart ANC,Hi-Res Sound Quality,in Ear,Sliding Volume Control,10Mins for 7Hours Fast Charging with Upto 44Hrs Playback (Green)",https://www.amazon.in/OnePlus-Wireless-Bluetooth-Charging-Playback/dp/B0DGTTQG4L/ref=sr_1_10?dib=eyJ2IjoiMSJ9.u5KgUWC73SVqOitEkX3sKtqtBYHZF-Kjl3zwE1mW6oyFFQ1-RtRpMPvHO7WYW_OVynhVbUguOAkQGvMhxN3Jay_EltERmaRuDr9Yge0qq8IP5pwihyC7iFCSK3io1pas1IjzBUcJbGZDlbNNLjA0o5SmxtHeSGxJohKXb8gAM4skLQV7Uvzdmj2e0BF-9ngeOhXXhcQr-uzB1W3k3KIjwNvJz1Wq-B2GJJataJrnfo4.cXD1weHoBMOpL46Z_1zJwpYUOTYcE3_ibMxUm6Fhw4k&dib_tag=se&keywords=Smart+Headphones&qid=1747734480&sr=8-10,https://m.media-amazon.com/images/I/71wlgC7Q5ZL._AC_UY218_.jpg,"₹5,499","₹6,499",
