Product Name,Product Link,Image URL,Price,Original Price,Discount
Apple iPhone 15 (128 GB) - Black,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDI0ODA0MDI3Njg1Mjk1OjE3NDc3MzM4MTU6c3BfYXRmOjMwMDA1NDM0NTk0NzYzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX1W1XY%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1747733815%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71657TiFeHL._AC_UY218_.jpg,"₹59,900","₹69,900",
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; White Titanium",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDI0ODA0MDI3Njg1Mjk1OjE3NDc3MzM4MTU6c3BfYXRmOjMwMDMzNDI1MjYyNDczMjo6MDo6&url=%2FiPhone-16-Pro-128-GB%2Fdp%2FB0DGJBN8TV%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1747733815%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61xJlx-3KDL._AC_UY218_.jpg,"₹1,12,900","₹1,19,900",
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Desert Titanium",https://www.amazon.in/iPhone-16-Pro-Max-256/dp/B0DGHYDZR9/ref=sr_1_3?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-3,https://m.media-amazon.com/images/I/61giwQtR1qL._AC_UY218_.jpg,"₹1,35,900","₹1,44,900",
Apple iPhone 13 (512GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-512GB-Starlight/dp/B09G99B791/ref=sr_1_4?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-4,https://m.media-amazon.com/images/I/71GLMJ7TQiL._AC_UY218_.jpg,"₹60,900","₹89,600",
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y/ref=sr_1_5?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-5,https://m.media-amazon.com/images/I/61135j8fPJL._AC_UY218_.jpg,"₹73,500","₹79,900",
Apple iPhone 15 (128 GB) - Pink,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-6,https://m.media-amazon.com/images/I/71v2jVh6nIL._AC_UY218_.jpg,"₹59,900","₹69,900",
Apple iPhone 15 (128 GB) - Black,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-7,https://m.media-amazon.com/images/I/71657TiFeHL._AC_UY218_.jpg,"₹59,900","₹69,900",
Apple iPhone 15 (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_8?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-8,https://m.media-amazon.com/images/I/71d7rfSl0wL._AC_UY218_.jpg,"₹60,000","₹69,900",
Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-9,https://m.media-amazon.com/images/I/71xb2xkN5qL._AC_UY218_.jpg,"₹43,900","₹59,900",
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium",https://www.amazon.in/iPhone-16-Pro-128-GB/dp/B0DGJH94KM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.KDibhHoh2nsWPDXkxwAJZi_K4y-juoE1j2PUWdXtkQi4nrBHk0q7-6xivRGXMniwdOhbJNrbWuVPa7neJ1CBjvQrIlrLxdXyL78fwSUWLhvt-EEkKq1IFMweiyboM8RkyKGtvneLxDyc5_VvxS4GzoEjGvYnv3NJD0iD_HOXmkwSk1Oju7OLGZmRQP7zdw3aDXIjszgt1c2KHPq66Of2lRMxl2IsyFHhGfY1o9rcKzg.eUnxDN9P4AhsUnPmKOh-srfiS5YNYFLoQM_XZhU1C6g&dib_tag=se&keywords=iphone&qid=1747733815&sr=8-10,https://m.media-amazon.com/images/I/61qV17Px4NL._AC_UY218_.jpg,"₹1,12,900","₹1,19,900",
