Product Name,Product Link,Image URL,Price,Original Price,Discount
"Oppo K12x 5G with 45W SUPERVOOC Charger in-The-Box (Breeze Blue, 128 GB) (6 GB RAM)",https://www.amazon.in/Oppo-K12x-SUPERVOOC-Charger-Breeze/dp/B0DHCXDHWQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-1,https://m.media-amazon.com/images/I/51oDDYRMifL._AC_UY218_.jpg,"₹12,265","₹16,999",
"OPPO A5 Pro 5G (Mocha Brown, 8GB RAM, 256GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/OPPO-Storage-SUPERVOOC-Additional-Exchange/dp/B0F4KNDV58/ref=sr_1_2?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-2,https://m.media-amazon.com/images/I/71juxOXVdrL._AC_UY218_.jpg,"₹19,999","₹23,999",
"Oppo K12x 5G with 45W SUPERVOOC Charger in-The-Box (Midnight Voilet, 128 GB) (6 GB RAM)",https://www.amazon.in/Oppo-SUPERVOOC-Charger-Midnight-Voilet/dp/B0DHCWFHR3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-3,https://m.media-amazon.com/images/I/51bFfJ5uJAL._AC_UY218_.jpg,"₹12,398","₹16,999",
"OPPO A3X 4G (Nebula Red, 4GB RAM, 64GB Storage) with Offer",https://www.amazon.in/OPPO-Nebula-64GB-Storage-Offer/dp/B0DHSB1NGG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-4,https://m.media-amazon.com/images/I/81SmCFYGRlL._AC_UY218_.jpg,"₹8,999","₹12,999",
"Oppo F27 Pro+ 5G (Midnight Navy, 8GB RAM, 256GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Midnight-Toughest-Featured-SUPERVOOC-Additional/dp/B0D53M1ZQX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-5,https://m.media-amazon.com/images/I/91wPh6RMcdL._AC_UY218_.jpg,"₹23,999","₹34,999",
"OPPO A5 Pro 5G (Mocha Brown, 8GB RAM, 128GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/OPPO-Storage-SUPERVOOC-Additional-Exchange/dp/B0F4KQGYY4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-6,https://m.media-amazon.com/images/I/71juxOXVdrL._AC_UY218_.jpg,"₹17,999","₹21,999",
"OPPO A5 Pro 5G (Feather Blue, 8GB RAM, 128GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/OPPO-Feather-SUPERVOOC-Additional-Exchange/dp/B0F4KS5YDW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-7,https://m.media-amazon.com/images/I/81H3zLFIX3L._AC_UY218_.jpg,"₹17,999","₹21,999",
"Oppo K12x 5G Smartphone (8GB RAM + 256GB Storage) | 16.94cm LCD Display, 5100mAh Battery | 45W SUPERVOOC Flash Charge | 360° Damage-Proof Armour Body | Charger in The Box (Breeze Blue)",https://www.amazon.in/Oppo-K12x-5G-Smartphone-Damage-Proof/dp/B0F2N52JPT/ref=sr_1_8?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-8,https://m.media-amazon.com/images/I/712eQzIbSxL._AC_UY218_.jpg,"₹16,899","₹18,999",
"Oppo K12x 5G with 45W SUPERVOOC Charger in-The-Box Feather Pink, 128 GB (6 GB RAM)",https://www.amazon.in/Oppo-K12x-5G-SUPERVOOC-Charger/dp/B0DMP6KPKN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-9,https://m.media-amazon.com/images/I/41o5F9LMwtL._AC_UY218_.jpg,"₹12,380","₹16,999",
"OPPO A3 5G (Nebula Red, 6GB RAM, 128GB Storage)",https://www.amazon.in/OPPO-Nebula-Red-128GB-Storage/dp/B0D9HPWZS1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww&dib_tag=se&keywords=oppo&nsdOptOutParam=true&qid=1747734025&sr=8-10,https://m.media-amazon.com/images/I/81Xl10tx7hL._AC_UY218_.jpg,,,
COLORflow Back Cover case Compatible with Oppo F17 Pro | Pastel Hearts Color Customized Back Cover Compatible with Oppo F17 Pro,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDQ5OTk1NTQzMTE1MDE4OjE3NDc3MzQwMjU6c3BfbXRmOjMwMDQ0NzQ4NjE1MDczMjo6MDo6&url=%2FCOLORflow-Compatible-Pastel-Hearts-Customized%2Fdp%2FB0DN9VRTVF%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww%26dib_tag%3Dse%26keywords%3Doppo%26nsdOptOutParam%3Dtrue%26qid%3D1747734025%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61KpRkbpZ+L._AC_UY218_.jpg,₹299,₹899,
"Casodon Rugged Hard Back Case Cover for Oppo Reno 12 Pro 5G - Military-Grade Armor with Screen & Camera Guard, Dual-Layer Shockproof Design, Raised Edges, and Built-in Kickstand - Space Gray",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDQ5OTk1NTQzMTE1MDE4OjE3NDc3MzQwMjU6c3BfbXRmOjMwMDMwMzM0MjE5MDEzMjo6MDo6&url=%2FCasodon-Oppo-Reno-12-Pro%2Fdp%2FB0DDCVT99B%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.9qy80y8d0ZqPFXMcotHfubrbjIlhoxa9mt83lruweXP2eZghi2I2Y1mps3071YdWuUvxNQnaZlje8I1SiXzKXtmO0Is7BqxgmAYyySKevl5ZGQyZB6ex40JjZHWd9_5Duz9O5UwhCPB5VErzZhybsPu-FLC_ItDp48p5YXuJpEIGkmIBZmAsTahT-453g9P_cvzRYPv3TyoCDrY3ZrLPuSbCvwTcdQQQ0_D2BA8gnSU.UeH8Z6VCtNgS9sTWMKfKA9q9WWdEychNHylbGyPQIww%26dib_tag%3Dse%26keywords%3Doppo%26nsdOptOutParam%3Dtrue%26qid%3D1747734025%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/517r7hUCm2L._AC_UY218_.jpg,₹499,₹999,
