Product Name,Product Link,Image URL,Price,Original Price,Discount
"Tecno POP 9 5G Aurora Cloud, 4GB+64GB| Segment's 1st 48MP Sony AI Camera| Segment's 1st 5G with NFC | D6300 5G Processor |4+ Year Lag Free Fluency |5000 mAh Battery |Dual Speaker |Without Charger",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDk2MzkxNzYxNDM5NDc2OjE3NDc3MzQxNjQ6c3BfYXRmOjMwMDM0MTM2NTk1MzMzMjo6MDo6&url=%2FTecno-Segments-Processor-Fluency-Battery%2Fdp%2FB0DGMFVQ8Q%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg%26dib_tag%3Dse%26keywords%3Dpoco%26nsdOptOutParam%3Dtrue%26qid%3D1747734164%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61slka5EkAL._AC_UY218_.jpg,"₹7,499","₹11,999",
"POCO C75 5G, Aqua Bliss (4GB, 64GB)",https://www.amazon.in/POCO-C75-Aqua-Bliss-64GB/dp/B0DRKNZFT2/ref=sr_1_2?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-2,https://m.media-amazon.com/images/I/61DnXnpjn1L._AC_UY218_.jpg,"₹8,299","₹10,999",
"POCO C71, Desert Gold (6GB, 128GB)",https://www.amazon.in/POCO-C71-Desert-Gold-128GB/dp/B0F53RRM5B/ref=sr_1_3?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-3,https://m.media-amazon.com/images/I/610frsvhyBL._AC_UY218_.jpg,"₹7,600","₹9,999",
"POCO M7 5G, Satin Black (6GB, 128GB)",https://www.amazon.in/POCO-Satin-Black-6GB-128GB/dp/B0F134C6R6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-4,https://m.media-amazon.com/images/I/71EfJ+H1uRL._AC_UY218_.jpg,"₹9,499","₹12,999",
POCO M6 Plus 5G Graphite Black 8GB RAM 128GB ROM,https://www.amazon.in/POCO-Plus-Graphite-Black-128GB/dp/B0D9KHQ4M1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-5,https://m.media-amazon.com/images/I/71tsuJCkV+L._AC_UY218_.jpg,"₹11,299","₹14,499",
"POCO M7 5G, Ocean Blue (6GB, 128GB)",https://www.amazon.in/POCO-Ocean-Blue-6GB-128GB/dp/B0F135PGDX/ref=sr_1_6?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-6,https://m.media-amazon.com/images/I/418EYFlH0xL._AC_UY218_.jpg,"₹9,499","₹12,999",
"POCO M7 5G Mint Green 6GB RAM|128GB ROM|SD4 Gen2 Processor|6.88"" HD+ Display|50MP Camera|8MP Front Camera|5160 mAh Battery",https://www.amazon.in/POCO-Processor-Display-Camera-Battery/dp/B0F5Q2F8G2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-7,https://m.media-amazon.com/images/I/71-SNlX7V3L._AC_UY218_.jpg,"₹9,499","₹12,999",
"POCO C71, Cool Blue (6GB, 128GB)",https://www.amazon.in/POCO-C71-Cool-Blue-128GB/dp/B0F53SH9LJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-8,https://m.media-amazon.com/images/I/51FgDipEA3L._AC_UY218_.jpg,"₹7,698","₹9,999",
"POCO C71, Cool Blue (4GB, 64GB)",https://www.amazon.in/POCO-C71-Cool-Blue-64GB/dp/B0F3XB7T5Q/ref=sr_1_9?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-9,https://m.media-amazon.com/images/I/51HxVAuLvtL._AC_UY218_.jpg,"₹6,744","₹8,999",
"POCO C71, Power Black (4GB, 64GB)",https://www.amazon.in/POCO-C71-Power-Black-64GB/dp/B0F3XP9GRT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.9g58Z72QJZcziyxa6FOSJY7wfxqbGe5mVsjrQDRdjNzrH0nZWXdOBZ3RQ6LLuvWILAlt2WxV0DedRTrQrnk-RUFgMqcD-7WvFoqI_ngrcaz237qWiqPRCLhGUG0uHL3gP4ezuwWzK3gvTAyBPqBWqOHyLOqWWjiowa8znFdNEia57dMGziiLxPyspkpeRfRf2L4Da0b7VShMnPi6d6QbnosAkTARyHQ36gacPCqibU0.iJ53dDIfbdixN5tF8yvvVKfKlVVhEkrtq9bD9KnWvLg&dib_tag=se&keywords=poco&nsdOptOutParam=true&qid=1747734164&sr=8-10,https://m.media-amazon.com/images/I/418KcvqZKCL._AC_UY218_.jpg,"₹6,999","₹8,999",
