Product Name,Product Link,Image URL,Price,Original Price,Discount
"realme Buds T200 Lite Bluetooth in Ear Earbuds,4 Mic, AI ENC for Calls,48 Hours Total Playback with Fast Charging and Ultra Low Latency Gaming TWS,Google Fast Pair,with mic (Aurora Purple)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODI2NjgwOTYyMzgzMTk2OjE3NDc3MzM5NzM6c3BfYXRmOjMwMDUxMDU2NzM0NDczMjo6MDo6&url=%2Frealme-Bluetooth-Earbuds-Playback-Charging%2Fdp%2FB0DZCPM1NW%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M%26dib_tag%3Dse%26keywords%3Drealme%26nsdOptOutParam%3Dtrue%26qid%3D1747733973%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61FXidcMXbL._AC_UY218_.jpg,"₹1,299","₹1,999",
"realme 13+ 5G Smartphone 8+128GB, 6.67-inch Screen, 120Hz Display, 80W SuperVOOC, 5000mAh Battery, 50MP Camera, Dimensity 7300 Energy, IP65",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODI2NjgwOTYyMzgzMTk2OjE3NDc3MzM5NzM6c3BfYXRmOjMwMDU0MDEwOTk3MDIzMjo6MDo6&url=%2Frealme-Smartphone-6-67-inch-SuperVOOC-Dimensity%2Fdp%2FB0F3VRPR45%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M%26dib_tag%3Dse%26keywords%3Drealme%26nsdOptOutParam%3Dtrue%26qid%3D1747733973%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71b1iTWCGdL._AC_UY218_.jpg,"₹19,949","₹25,999",
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",https://www.amazon.in/realme-Storage-Chipset-Comfort-Display/dp/B0D3GX1VFM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-3,https://m.media-amazon.com/images/I/717sEAdy02L._AC_UY218_.jpg,"₹10,999","₹14,999",
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=sr_1_4?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-4,https://m.media-amazon.com/images/I/71r0Ysx+oVL._AC_UY218_.jpg,"₹7,498","₹8,999",
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",https://www.amazon.in/realme-Storage-Chipset-Comfort-Display/dp/B0D3GYZ82S/ref=sr_1_5?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-5,https://m.media-amazon.com/images/I/71AUNTs39lL._AC_UY218_.jpg,"₹10,999","₹14,999",
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-6,https://m.media-amazon.com/images/I/71r0Ysx+oVL._AC_UY218_.jpg,"₹8,498","₹10,999",
"realme NARZO 70 Turbo 5G (Turbo Green, 8GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTZT8BY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-7,https://m.media-amazon.com/images/I/71GHoiLCpFL._AC_UY218_.jpg,"₹13,498","₹20,999",
"realme NARZO 80 Pro 5G (Nitro Orange,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",https://www.amazon.in/realme-Segments-Dimensity-HyperGlow-Waterproof/dp/B0F1DDJTSJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-8,https://m.media-amazon.com/images/I/71orZzBf2hL._AC_UY218_.jpg,"₹21,498","₹25,999",
"realme GT 6T 5G (Fluid Silver,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",https://www.amazon.in/realme-Storage-Flagship-Chipset-Brightest/dp/B0D3J9FN5C/ref=sr_1_9?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-9,https://m.media-amazon.com/images/I/61HyiMlCuTL._AC_UY218_.jpg,"₹24,998","₹35,999",
"realme NARZO 70 Turbo 5G (Turbo Green,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXW9WH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.aqN-D9jdeIElD9NSoTyOniTPA6pzmr4fPhfXW0EXN7g2a6b1FV9xK_hETD99EQQcYLFDbF_5AawJPOzwPj1IVYjcnbImP5o44eABiqqW9211g5Z7_42B8Ue5OzwMfnqmywh8iq_UBy79eEHELkdyAyzYRPerr5m4qNTM3n-3MfX03PtxQEEJyFaFVbP3_gQEzirvXEdUJXSljYTmWk2czne8b2aiIfZtsme74tnIrT0.-xJg3np_oDV9ooi4x7T4drrveQePlxySOA4cNcQG22M&dib_tag=se&keywords=realme&nsdOptOutParam=true&qid=1747733973&sr=8-10,https://m.media-amazon.com/images/I/71GHoiLCpFL._AC_UY218_.jpg,"₹13,998","₹19,999",
