Product Name,Product Link,Image URL,Price,Original Price
"KARCHER SC 2 EasyFix Steam Cleaner, 1500W, 3.2 Bar Pressure, 1200L Steam/L Water, Chemical Free Cleaning, Removes 99.99% Viruses & Bacteria, EasyFix Floor Kit, Ideal for Home Use, German Tech, White",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzY3NzgxNjE5OTg1ODE5OjE3NDc3Mzk2MTA6c3BfYXRmOjMwMDI4Njc2NDA0NjYzMjo6MDo6&url=%2FKARCHER-Pressure-Chemical-Cleaning-Bacteria%2Fdp%2FB0CN6R1L7J%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I%26dib_tag%3Dse%26keywords%3Dcleaning%26qid%3D1747739610%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/515uKzZ0TJL._AC_UL320_.jpg,"₹10,250","₹21,317"
"ILIFE A20 Pro Robot Vacuum Cleaner & Mopping,6500Pa Strong Suction,Advanced LiDAR Navigation,Customized Cleaning Upto 4500sft,5200mAh,WiFi App,Alexa,GH,Ideal for Cats,Dogs Hair",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzY3NzgxNjE5OTg1ODE5OjE3NDc3Mzk2MTA6c3BfYXRmOjMwMDQ3NTU4OTQ5MDEzMjo6MDo6&url=%2FILIFE-A20-Pro-Navigation-Customized%2Fdp%2FB0DG4PDTBK%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I%26dib_tag%3Dse%26keywords%3Dcleaning%26qid%3D1747739610%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/716ifqvHldL._AC_UL320_.jpg,"₹19,899","₹69,999"
"KARCHER WD 3 SV Wet & Dry Vacuum Cleaner, 23 kPa Suction Power, 17L Tank, Stainless Steel Body, 1000 W Blower Function, Cartridge Filter & Fleece Filter Bag, For Home, Car & Furniture Cleaning, German Tech",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzY3NzgxNjE5OTg1ODE5OjE3NDc3Mzk2MTA6c3BfYXRmOjMwMDQ1Nzc2MDcyNDMzMjo6MDo6&url=%2FKARCHER-Stainless-Container-Capacity-Efficient%2Fdp%2FB09MD8DBY6%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I%26dib_tag%3Dse%26keywords%3Dcleaning%26qid%3D1747739610%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51yB7T3A3yL._AC_UL320_.jpg,"₹7,399","₹15,399"
"VALITUDO® Microfiber Long Feather Duster- Bendable & Detachable Fan Cleaning Duster with 100 inches Expandable Pole Handle, Washable, Stainless Steel Handle for Ceiling, Wall, Window Blinds, Furniture",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzY3NzgxNjE5OTg1ODE5OjE3NDc3Mzk2MTA6c3BfYXRmOjMwMDU0MTgzNDMzMTczMjo6MDo6&url=%2FVALITUDO%25C2%25AE-Microfiber-Detachable-Expandable-Stainless%2Fdp%2FB0CWLD3R5Z%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I%26dib_tag%3Dse%26keywords%3Dcleaning%26qid%3D1747739610%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41Rfv-U9qsL._AC_UL320_.jpg,₹346,₹799
"Spotzero by Milton Prime Stainless Steel Wringer Spin Mop with Big Wheel, Puller Handle, Bucket Floor Cleaning and Mopping System 360° Flexible,2 Microfiber Refills, Big Size, Aqua Green",https://www.amazon.in/Spotzero-Milton-Stainless-Wringer-refills/dp/B07D4T4YT2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I&dib_tag=se&keywords=cleaning&qid=1747739610&sr=8-5,https://m.media-amazon.com/images/I/71RAA5qZoGL._AC_UL320_.jpg,"₹1,592","₹2,999"
VYOOx Toilet Cleaning Brush with Wiper Tiles Cleaning Bathroom Brush Floor Scrub Brush with Long Handle 120° Rotate 2IN1 Home Kitchen Bathroom Toilet Cleaning Brush Pack-1,https://www.amazon.in/VYOOx-Bathroom-Cleaning-Handle-Kitchen/dp/B0C74C6821/ref=sr_1_6?dib=eyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I&dib_tag=se&keywords=cleaning&qid=1747739610&sr=8-6,https://m.media-amazon.com/images/I/61PfQJSNmaL._AC_UL320_.jpg,₹168,₹599
"Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)",https://www.amazon.in/Scotch-Brite-Broom-Fibre-Green/dp/B07LC7LF9Y/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I&dib_tag=se&keywords=cleaning&qid=1747739610&sr=8-7,https://m.media-amazon.com/images/I/611JToXX49L._AC_UL320_.jpg,₹285,₹375
"HOMEXCEL Microfiber Cleaning Cloth,12 Pack Cleaning Rag,Cleaning Towels With 4 Color Assorted,11.5""X11.5""(Parrot Green/Sky Blue/Yellow/Pink)",https://www.amazon.in/Microfiber-Cleaning-Towels-Assorted-Yellow/dp/B098D79MQB/ref=sr_1_8?dib=eyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I&dib_tag=se&keywords=cleaning&qid=1747739610&sr=8-8,https://m.media-amazon.com/images/I/813-YxuWrrL._AC_UL320_.jpg,₹218,₹18.17
Hallstatt 2025 Upgraded Long Handle Microfiber Feather Ceiling Duster for Dust Cleaning with extendable Pole 100 Inch with Anti Scratch Bendable Brush for Cleaning High Cobweb Stick high Ceiling Fan,https://www.amazon.in/Microfiber-Feather-Ceiling-Duster-extendable/dp/B0C7CYBGMX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I&dib_tag=se&keywords=cleaning&qid=1747739610&sr=8-9,https://m.media-amazon.com/images/I/614BSL5MO9L._AC_UL320_.jpg,₹279,₹999
"TIDY FOX Vinegar for Cleaning, 8% Concentrated, 1 Ltr",https://www.amazon.in/TIDY-FOX-Cleaning-Vinegar-Limescales/dp/B096MMZVT6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.VrnSPxHjkNRVHPGryAiqr0p3p76wUjXkWdtXREQiHvHozv5LGNPHwPPqGjKRaWI_3fsPUTLXfNyNKt5gvzKS6Vqi4MC9VoENcb_2WLQzXqZ8bAzY5GSH6dgJwbs9g1_JGf1VcPpKXVIv9fnvcgv7bT-3dZpvMulzwHnOTeomaY0UP8pqVpoY7ZVO6SaY2hfQPNCYZw6qf2qMrr1nWd-MoAuYQWE-oFB91hF0wUbuphnocQAwBJ4bGKVpSUaLQeVUQcGSZTzq2HNdR_iCNRc5d1F19kmy3TRfuxNiWFLUWMA.xA5Clu48DzaF9NRLW8XbNsfkAr2pGE6HKgt9OoyDK0I&dib_tag=se&keywords=cleaning&qid=1747739610&sr=8-10,https://m.media-amazon.com/images/I/61SUjg0W8bL._AC_UL320_.jpg,₹258,₹258
