Product Name,Product Link,Image URL,Price,Original Price
"Ellementry Carbon Ceramic Mug with Wooden Lid (350 ml Each), Stylish Ceramic Mug for Coffee, Tea & Milk, Dishwasher Safe Trendy Everyday Use Coffee Cup for Office & Home, Perfect for Birthday Gift",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDI5NjA0MDk0MzA1MDk4OjE3NDc3Mzk2ODk6c3BfYXRmOjMwMDU1MTYxMTk0OTIzMjo6MDo6&url=%2FCeramic-Carbon-Tall-Mug-Coaster%2Fdp%2FB09VDP9SBS%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI%26dib_tag%3Dse%26keywords%3Dcoffee%2Bmugs%26qid%3D1747739689%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61x1o0YjulL._AC_UL320_.jpg,₹981,"₹1,090"
"Indulge Homes Ceramic Serving Black Matte Finish Coffee Mug Tea Cup - 300 ML (Matte Black, Pack of 6)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDI5NjA0MDk0MzA1MDk4OjE3NDc3Mzk2ODk6c3BfYXRmOjMwMDQ2ODUyMzkzMjUzMjo6MDo6&url=%2FIndulge-Homes-Ceramic-Serving-Matte%2Fdp%2FB0BQJ3KKRF%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI%26dib_tag%3Dse%26keywords%3Dcoffee%2Bmugs%26qid%3D1747739689%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81Y1AP8cslL._AC_UL320_.jpg,₹998,"₹1,999"
"The Earth Store Glam Green Studio 330ml Ceramic Coffee Mug Microwave & Dishwasher Safe, Coffee Mug for Gift | Ideal for Coffee, Tea, and More Ceramic Coffee Mug Set of 2",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDI5NjA0MDk0MzA1MDk4OjE3NDc3Mzk2ODk6c3BfYXRmOjMwMDUzOTQ0NzY2OTMzMjo6MDo6&url=%2FEarth-Store-Green-Studio-Coffee%2Fdp%2FB0CV7XTLD3%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI%26dib_tag%3Dse%26keywords%3Dcoffee%2Bmugs%26qid%3D1747739689%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/714-8o+jg6L._AC_UL320_.jpg,₹475,₹237.50
"The Earth Store Microwave Safe Pastel Fringe Pink Ceramic Coffee/Milk Mug with Handle Best Gift to Friends, Anniversary(Set of 6)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDI5NjA0MDk0MzA1MDk4OjE3NDc3Mzk2ODk6c3BfYXRmOjMwMDUzOTQ0NzY1OTEzMjo6MDo6&url=%2FEarth-Store-Pastel-Fringe-Mug%2Fdp%2FB09QX1HBMZ%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI%26dib_tag%3Dse%26keywords%3Dcoffee%2Bmugs%26qid%3D1747739689%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51JZt8MWAwL._AC_UL320_.jpg,"₹1,099","₹2,099"
SKDBPM Ice Juice Drinks Glass Can Mug with Straw for Milk/Coffee/Green Tea Cup Set of 1-510ml Transparent Printed Can Shape Cup (Pack of 1) (Wooden LID CAN),https://www.amazon.in/SKDBPM-Drinks-1-510ml-Transparent-Printed/dp/B0CF9FVLMJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI&dib_tag=se&keywords=coffee+mugs&qid=1747739689&sr=8-5,https://m.media-amazon.com/images/I/41pf4uVZTLL._AC_UL320_.jpg,₹140,₹999
"Larah by BOROSIL Orbit White Opalware Mug, Set of 2 Tea/Coffee Cups, 240 ml Each, Microwave & Dishwasher Safe, Bone-Ash Free, Crockery Set Ideal for Daily Use & Gifting",https://www.amazon.in/Larah-BOROSIL-Opalware-Microwave-Dishwasher/dp/B0CLYF83TY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI&dib_tag=se&keywords=coffee+mugs&qid=1747739689&sr=8-6,https://m.media-amazon.com/images/I/61-cQ8rwLZL._AC_UL320_.jpg,₹199,₹99.50
"V kraft ""My Coffee is Strong so am i Unique and Stylish Love Quote Printed Transparent Coffee Mug Tea Cup | Unique and Stylish | Gift for Anyone On Any Occasion | Pack of 1, 330ml",https://www.amazon.in/Coffee-Stylish-Printed-Transparent-Occasion/dp/B08X1H93HS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI&dib_tag=se&keywords=coffee+mugs&qid=1747739689&sr=8-7,https://m.media-amazon.com/images/I/51faXrq-8TL._AC_UL320_.jpg,₹229,₹699
"KiKiluxxa Glass Coffee Mug with Straw Green Tea Sipper Tumbler Mugs with Lid - Pack of 1- Travel Mug, Drinking Glass, Mason jar, Can Sipper,Milk Mugs,Juice Cup (Pattaya Can 1)",https://www.amazon.in/KiKiluxxa-Glass-Coffee-Sipper-Tumbler/dp/B0CS39B5QF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI&dib_tag=se&keywords=coffee+mugs&qid=1747739689&sr=8-8,https://m.media-amazon.com/images/I/61xpYAu9RaL._AC_UL320_.jpg,₹272,₹999
"Aastha Imagine Media Media Letter'S Name Initial Alphabet Inspiration Printed Black Inner Ceramic Printed Coffee Mug, Birthday | Anniversary | Best Gift | Hubby. (S), 350 ML",https://www.amazon.in/Aastha-Imagine-Media-Inspiration-Anniversary/dp/B0C8Z4VSVB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI&dib_tag=se&keywords=coffee+mugs&qid=1747739689&sr=8-9,https://m.media-amazon.com/images/I/51+JOHvQDkL._AC_UL320_.jpg,₹99,₹499
"XMART INDIA Insulated Stainless Steel Coffee Mug with Lid – 300ml Double Wall Tea & Milk Mug for Home, Office, Restaurant – Stylish, Leakproof, Drinkware Gift (1 Pc, Dark Green)",https://www.amazon.in/XMART-INDIA-Insulated-Coffee-Mug/dp/B0DWFYGQVN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.2jhJKqNxXALDTdvUI1z93d9-EPNaNMw2zNeW6XjXYemFKF0z0Uk7IDXt575ik5MmOG_Yt4zpOSRiuszAVzI4MD5SBUO--aOlNb-PWl_Mw6AB1sgspcaMwbo8S-WO_5IeQ4dbQ6Z-ZZlOxK_Xes6D-QFyfk9iNxmdOC4_S0gzUEAKBbt5Xm5fCUtrbjfrjgxAqsWgpYlgH7K0APLtwIjpMUyDWaFjMB8WdrJS4JVHZSkcrBPl4FSMGj3a2QZDuR0S_x_vMYBka-dYb5DB8rwxVsFNyMt2NZlgjSpfeT9PbHQ.nrLC6EnZZuLF6ZmWNiD_MwLiROgvwOMOBHQkYYhw-fI&dib_tag=se&keywords=coffee+mugs&qid=1747739689&sr=8-10,https://m.media-amazon.com/images/I/61InycGBJoL._AC_UL320_.jpg,₹149,₹179
