Product Name,Product Link,Image URL,Price,Original Price
"Alciono Silicone Kitchen Tool Set Cooking | Heat-Resistant Non-Stick Utensil Set Cooking Tools | Turner, Whisk, Spoon, Brush, Silicon Spatula Set, Ladle Slotted Tongs Pasta Fork- Set of 10 | Grey",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTE1NDI4NDcwMjc5ODM4OjE3NDc3Mzk5MTM6c3BfYXRmOjMwMDU2Njc4NDMyNTYzMjo6MDo6&url=%2FAlciono-Silicone-Utensils-Heat-Resistant-Non-Stick%2Fdp%2FB096FWZS51%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII%26dib_tag%3Dse%26keywords%3Dkitchen%2Btools%26qid%3D1747739912%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61UT8PB5vlS._AC_UL320_.jpg,"₹1,349",₹134.90
"JICOOT Hard Bristle Crevice Cleaning Brush - Cleaning Tools for Household Use, Multifunctional Gap Cleaning Supplies for Kitchen, Bathroom, Toilet, Window, Vehicle, Faucets, Grout, Home",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTE1NDI4NDcwMjc5ODM4OjE3NDc3Mzk5MTM6c3BfYXRmOjMwMDAyNjI4NjYxNjAzMjo6MDo6&url=%2FJICOOT-Cleaning-Bathroom-Multifunctional-Multi-Purpose%2Fdp%2FB0CD2RKMHZ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII%26dib_tag%3Dse%26keywords%3Dkitchen%2Btools%26qid%3D1747739912%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61INELI4GdL._AC_UL320_.jpg,₹147,₹73.50
"CASA Zura 304 Grade Stainless Steel Chopping Board - Food-Grade, Heavy-Duty, Dishwasher Safe, Rust-Proof & Hygienic Kitchen Cutting & Kneading Board (35.5x25.5x0.1 cm)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTE1NDI4NDcwMjc5ODM4OjE3NDc3Mzk5MTM6c3BfYXRmOjMwMDU1ODA1MDQ5MDIzMjo6MDo6&url=%2FGrade-Stainless-Steel-Chopping-Board%2Fdp%2FB0F7BQXDZB%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII%26dib_tag%3Dse%26keywords%3Dkitchen%2Btools%26qid%3D1747739912%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/615EC+GAWNL._AC_UL320_.jpg,₹658,"₹1,499"
"TWENTREE Kitchen APPLIANCES - MEDU WADA VADA Donut Maker Dispenser, MEDUWADA Stainless Steel MENDUVADA",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTE1NDI4NDcwMjc5ODM4OjE3NDc3Mzk5MTM6c3BfYXRmOjMwMDU0MjcwMzY1NTIzMjo6MDo6&url=%2FTWENTREE-Kitchen-APPLIANCES-Dispenser-Stainless%2Fdp%2FB0F5PTDKZB%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII%26dib_tag%3Dse%26keywords%3Dkitchen%2Btools%26qid%3D1747739912%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51hH727IcIL._AC_UL320_.jpg,₹242,₹486
"GANESH Stainless Steel Potato Crusher Vegetable Smasher Pav Bhaji Masher with Handle for Effortless Kitchen Uses (Pack of 1, Assorted)",https://www.amazon.in/Stainless-Potato-Vegetable-Masher-Effortless/dp/B0BRSXGY2J/ref=sr_1_6?dib=eyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII&dib_tag=se&keywords=kitchen+tools&qid=1747739912&sr=8-6,https://m.media-amazon.com/images/I/31R+zHQ1K8L._AC_UL320_.jpg,₹79,₹109
"Ganesh Spark Gas Lighter for Kitchen Use Restaurants Metal Gas Stove Lighter Regular Size Easy Grip Long Lasting, Rust Proof",https://www.amazon.in/Spark-Lighter-Kitchen-Restaurants-Regular/dp/B0CNW8YPK4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII&dib_tag=se&keywords=kitchen+tools&qid=1747739912&sr=8-7,https://m.media-amazon.com/images/I/61A2OYtJ3OL._AC_UL320_.jpg,₹68,₹96
"JustLatest Dry Fruit Cutter & Slicer Gadgets (3 in 1, Mix Colour) Kitchen Tools Kitchen Gadgets Dryfruit Choppers for Kitchen, Stainless Steel Blade, Green, Blue, Red",https://www.amazon.in/Cutter-Gadgets-Kitchen-Dryfruit-Choppers/dp/B0B853XRLJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII&dib_tag=se&keywords=kitchen+tools&qid=1747739912&sr=8-8,https://m.media-amazon.com/images/I/71MbwrhpzlL._AC_UL320_.jpg,₹79,₹199
Gala Sponge Wipe for Kitchen 5 Pcs Pack (Multipurpose) (148995),https://www.amazon.in/Gala-Sponge-Wipe-Multicolor-Pieces/dp/B00M6P68NU/ref=sr_1_9?dib=eyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII&dib_tag=se&keywords=kitchen+tools&qid=1747739912&sr=8-9,https://m.media-amazon.com/images/I/81ZaEOi43nL._AC_UL320_.jpg,₹189,₹37.80
"Atom 10Kg Kitchen Weight Machine 6 Months Warranty, Digital Scale with LCD Display, Scale for Home Baking, Cooking & Balance Diet. Weighing Machine with capacity 10Kg, SF400/A121,Color May Vary",https://www.amazon.in/Weighing-Balanced-Batteries-Included-A121/dp/B083C6XMKQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII&dib_tag=se&keywords=kitchen+tools&qid=1747739912&sr=8-10,https://m.media-amazon.com/images/I/71775fRr+gL._AC_UL320_.jpg,₹205,₹599
MIORAH 10 Pack Steel Scrubber for Kitchen Utensils Non-Scratch Dishwash Scrub for Kitchen Cleaning | Utensil Cleaner Scrub & Vessel Cleaning Tool Silver,https://www.amazon.in/MIORAH-10-Scrubber-Utensils-Non-Scratch/dp/B0D7MNBWJT/ref=sr_1_12?dib=eyJ2IjoiMSJ9.F_xvPZtO9DMqSzl-8kYLMybXCMN7Uxf4I905dMUtOzVj7ZEEGc-uk_5YV2ab3x7Uo4RI97woByaFkhEklcRCUm2Wx-4D7xrB8dhTYvUY3wDHuguvalLGnp6TWMDQ-HmHPuix65sPHYo4lW5ionjXa-kkIbjnkIRQ5RInH1VQDii9HojntsXM29AHjTd8K9OsLpFm9Xugq_g6QBZJRpy3Vk90-ddBroIKdO-LTJS90ujwde5oIDIBziS0ujZ7UqPSw8cNXPwM3UB8Tg7i-bIqVZwiEJTPa5P87oq6xBWLBlw.XJtRYvRho6YnWIJWuGQzVNKB8cNhgUHRa63lk5TUXII&dib_tag=se&keywords=kitchen+tools&qid=1747739912&sr=8-12,https://m.media-amazon.com/images/I/81W7g0CCdXL._AC_UL320_.jpg,₹99,₹9.90
