Product Name,Product Link,Image URL,Price,Original Price
"Butterfly Cordial 2, 3 & 5 Litres Outer Lid SS Pressure Cookers | Induction & Gas Stove Compatible | ISI Certified | 2 Years Manufacturer's Warranty | Stainless steel | Silver",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4MzU0MTg5MzU1ODg6MTc0Nzc0MDA0MzpzcF9hdGY6MzAwMzM4NDk0Nzg2MDMyOjowOjo&url=%2FButterfly-Cordial-Stainless-Pressure-Cooker%2Fdp%2FB097DLHMY6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY%26dib_tag%3Dse%26keywords%3Dpressure%2Bcookers%26qid%3D1747740042%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71kh3eARwwS._AC_UL320_.jpg,"₹3,149","₹1,049.67"
"Hawkins Contura Black Pressure Cooker, 5 Litre, Black (CB50)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4MzU0MTg5MzU1ODg6MTc0Nzc0MDA0MzpzcF9hdGY6MzAwMTQ3NDIyMDU1NzMyOjowOjo&url=%2FHawkins-Contura-Anodised-Aluminium-Pressure%2Fdp%2FB00OFLK9F6%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY%26dib_tag%3Dse%26keywords%3Dpressure%2Bcookers%26qid%3D1747740042%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61CHpkemxeL._AC_UL320_.jpg,"₹2,768","₹2,925"
"Hawkins Classic 3 Litre Inner Lid Aluminium Pressure Cooker, Induction Cooker, Wide Design Pan Cooker, Best Cooker, Silver (Icl3W), 3 Liter",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4MzU0MTg5MzU1ODg6MTc0Nzc0MDA0MzpzcF9hdGY6MzAwMzQ3MzM2MzYzNTMyOjowOjo&url=%2FHawkins-Aluminium-Pressure-Induction-ICL3W%2Fdp%2FB09RMJFFDY%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY%26dib_tag%3Dse%26keywords%3Dpressure%2Bcookers%26qid%3D1747740042%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61QX2b5Oa3L._AC_UL320_.jpg,"₹1,575","₹1,750"
"Butterfly Cordial 2 L, 3 L Non Induction Bottom Pressure Cooker (Aluminium), Small",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4MzU0MTg5MzU1ODg6MTc0Nzc0MDA0MzpzcF9hdGY6MzAwNTI0MzU3MDkzMjMyOjowOjo&url=%2FButterfly-Cordial-Induction-Pressure-Aluminium%2Fdp%2FB08RWYSK6P%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY%26dib_tag%3Dse%26keywords%3Dpressure%2Bcookers%26qid%3D1747740042%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/711FoSxQINL._AC_UL320_.jpg,"₹1,099",₹549.50
"Pigeon by Stovekraft Favourite Outer Lid Non Induction Aluminium Pressure Cooker, 3 Litres, Silver",https://www.amazon.in/Pigeon-Favourite-Induction-Aluminium-Pressure/dp/B00VK5MCMI/ref=sr_1_5?dib=eyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY&dib_tag=se&keywords=pressure+cookers&qid=1747740042&sr=8-5,https://m.media-amazon.com/images/I/51xCU5ylKAL._AC_UL320_.jpg,₹699,"₹1,395"
"Pigeon By Stovekraft Special Aluminium Pressure Cooker Combo with Outer Lid Gas Stove Compatible 2, 3, 5 Litre Capacity for Healthy Cooking (Silver)",https://www.amazon.in/Pigeon-Induction-Pressure-Stainless-Special/dp/B085G6LTTT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY&dib_tag=se&keywords=pressure+cookers&qid=1747740042&sr=8-6,https://m.media-amazon.com/images/I/51ZLJK6FRzL._AC_UL320_.jpg,"₹1,699","₹2,635"
"Pigeon By Stovekraft Special Stainless Steel Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 2, 3, 5 Litre Capacity for Healthy Cooking (Silver)",https://www.amazon.in/Pigeon-Stovekraft-12739-Induction-Stainless/dp/B08RWLYYXJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY&dib_tag=se&keywords=pressure+cookers&qid=1747740042&sr=8-7,https://m.media-amazon.com/images/I/51jiWuHA07L._AC_UL320_.jpg,"₹2,799",₹933
"Butterfly Curve Stainless Steel Pressure Cooker, 2 Litre, Silver",https://www.amazon.in/Butterfly-Curve-Stainless-Pressure-Cooker/dp/B00JTWSNSG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY&dib_tag=se&keywords=pressure+cookers&qid=1747740042&sr=8-8,https://m.media-amazon.com/images/I/716bnsxqhmL._AC_UL320_.jpg,"₹1,369","₹3,012"
"Butterfly Cordial 2, 3 & 5 Litres Outer Lid SS Pressure Cookers | Induction & Gas Stove Compatible | ISI Certified | 2 Years Manufacturer's Warranty | Stainless steel | Silver",https://www.amazon.in/Butterfly-Cordial-Stainless-Pressure-Cooker/dp/B097DLHMY6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY&dib_tag=se&keywords=pressure+cookers&qid=1747740042&sr=8-9,https://m.media-amazon.com/images/I/71kh3eARwwS._AC_UL320_.jpg,"₹3,149","₹1,049.67"
Pigeon by Stovekraft 3 Litre Special Aluminium Inner Lid Non-Induction base Pressure Cooker (Silver) BIS Certified,https://www.amazon.in/Pigeon-Stovekraft-14459-Induction-Aluminium/dp/B08RW8VRGX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.rV3tFWiICXFGG0W18ypd16o0zfqtv7B1EPs2DZ1AxSBg7KbsXteGL1aHlqvSQ_SqG0cNh9RFCrd5IUA6uS3AxMTS9-CTS97_g01LAPYpH7A5b4aHlIbGx7FYzr-iwrLUtDmWd_-CfUNF7VwW7hV1XUcm4bGujsLf70VjFd9-BPkJsWhXLd4nzqoYi1ZSTyrcXHQMp9RmowUaV3d1ofarn4vM7uRd98b99G8fUx6vLXL64rI78jAW2wqjKMbrFWt5JF44O893yP8JG_O0VSUSehJj3EoezCr2yEH8Nx6jyJw.uN-21jyyegXNe4spbM_BGK-n9NsRoUfJOaFaWrwvGlY&dib_tag=se&keywords=pressure+cookers&qid=1747740042&sr=8-10,https://m.media-amazon.com/images/I/51n2CVREDKL._AC_UL320_.jpg,₹649,"₹1,395"
