Product Name,Product Link,Image URL,Price,Original Price
"MILTON Gen'Z Water Bottle 1 ltr (Stay Strong), Motivational Water Bottles With Leak Proof Flip-Top Cap & Capacity Mark, Gym Bottle Sipper Water Bottle For Adults, Plastic, Pink",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTU0MTU1MzUzNjY2MTA0OjE3NDc3NDAxNTk6c3BfYXRmOjMwMDUwNTY5OTQ2MzIzMjo6MDo6&url=%2FMILTON-Motivational-Stay-Strong-Pink%2Fdp%2FB0D9VQRLDX%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk%26dib_tag%3Dse%26keywords%3Dwater%2Bbottles%26qid%3D1747740159%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81gmUO+USLL._AC_UL320_.jpg,₹399,₹495
"Sumeet Thermo1000 Stainless Steel 24 Hours Hot & Cold ISI Certified Double Walled Leak Proof Vacuum Flask/Water Bottle for Office/School/College/Gym/Picnic/Home/Trekking- 1000ml, Silver",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTU0MTU1MzUzNjY2MTA0OjE3NDc3NDAxNTk6c3BfYXRmOjMwMDA2MjA5NzY3MjEzMjo6MDo6&url=%2FSumeet-Stainless-Double-Walled-Bottle%2Fdp%2FB0913GX9PW%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk%26dib_tag%3Dse%26keywords%3Dwater%2Bbottles%26qid%3D1747740159%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51oEuYO1A1L._AC_UL320_.jpg,₹580,"₹1,560"
"MuscleBlaze Plastic Gallon Water Bottle For Gym, Office, Home & Travel | Gallon Water Bottle For Adults (2 L, Grey)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTU0MTU1MzUzNjY2MTA0OjE3NDc3NDAxNTk6c3BfYXRmOjMwMDQ4NzYwNDQ4OTEzMjo6MDo6&url=%2FMuscleBlaze-Plastic-Gallon-Bottle-Office%2Fdp%2FB0CMD6NPXM%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk%26dib_tag%3Dse%26keywords%3Dwater%2Bbottles%26qid%3D1747740159%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51xrPto8J4L._AC_UL320_.jpg,₹695,₹0.35
"MuscleBlaze stainless steel Sports Insulated Bottle for Gym, Office, Home & Travel|Insulated Bottle for Adults (1 L, Blizzard White)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTU0MTU1MzUzNjY2MTA0OjE3NDc3NDAxNTk6c3BfYXRmOjMwMDQ5NTE3NzQ1MzYzMjo6MDo6&url=%2FMuscleBlaze-stainless-Sports-Insulated-Blizzard%2Fdp%2FB0DFMFDQRS%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk%26dib_tag%3Dse%26keywords%3Dwater%2Bbottles%26qid%3D1747740159%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/417g0+ofKVL._AC_UL320_.jpg,₹995,"₹1,499"
"MILTON Helix 1000 Pet Water Bottle 1 Litre Each BPA Free, Leak Proof, Office Bottle Home Kitchen Travel Bottle, Set of 4, Assorted",https://www.amazon.in/Milton-Bottle-Assorted-Kitchen-Treking/dp/B098KGQC7M/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk&dib_tag=se&keywords=water+bottles&qid=1747740159&sr=8-5,https://m.media-amazon.com/images/I/818EOU7f4PS._AC_UL320_.jpg,₹299,₹74.75
"PEXPO Craft Pro 1000 ISI Certified Stainless Steel Sports/Fridge Water Bottle with Sipper Cap, 950ml, Purple-Pink Ombre |Eco friendly | BPA Free | Water Bottle for Office, Gym, School, Yoga",https://www.amazon.in/PEXPO-Certified-Stainless-Purple-Pink-friendly/dp/B0DRCYP93L/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk&dib_tag=se&keywords=water+bottles&qid=1747740159&sr=8-6,https://m.media-amazon.com/images/I/51KoFtDZxLL._AC_UL320_.jpg,₹299,₹649
"AQUAWARE Frosty Plastic Food Grade Fridge Square Water Bottle Gift Set(6 pieces, 1L,Assorted) | 950 milliliter",https://www.amazon.in/AQUAWARE-Frosty-Plastic-Assorted-milliliter/dp/B0CVL1N6J6/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk&dib_tag=se&keywords=water+bottles&qid=1747740159&sr=8-7,https://m.media-amazon.com/images/I/51sF1z2PSMS._AC_UL320_.jpg,₹489,₹81.50
"CELLO Venice Plastic Water Bottle | Unbreakable and Hygienic | Perfect for staying hydrated at the school,college, work, gym and outdoor adventures Water Bottle | 1 Litre | Set of 5, Assorted",https://www.amazon.in/Cello-Venice-Plastic-Bottle-Assorted/dp/B07BFBNFSF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk&dib_tag=se&keywords=water+bottles&qid=1747740159&sr=8-8,https://m.media-amazon.com/images/I/61Krpl7FGyL._AC_UL320_.jpg,₹408,₹675
"MILTON Pacific Pack of 6 Water Bottles, 1 Litre Each, Reusable Plastic Fridge Bottle Set, BPA Free and Leak Proof Bottles for Travel, Work, Blue",https://www.amazon.in/Milton-201502-BOTTLE-Pacific-Green/dp/B01BSY2ZTU/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk&dib_tag=se&keywords=water+bottles&qid=1747740159&sr=8-9,https://m.media-amazon.com/images/I/71R266B8mqL._AC_UL320_.jpg,₹257,₹42.83
"MILTON Comet 1000 Stainless Steel Water Bottle 980 ml, Single Walled, ISI Certified I Leak Proof Lid, Rust Proof I For School, Office, Gym I Black",https://www.amazon.in/MILTON-Single-Stainless-Bottle-Leakproof/dp/B0CXNSCCVW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FtDfzaFocRPPQU_r2h_lSyAsTr4eHMBiUxV7beklIJEDybiE57FJyzDBV5COXYu79Obs3yfdLTRVhOmxM8UKIk_3gsLf_55DsL7s9jyJWHLWq4tlqfjXwELDI18V1gord02IYy85p6VQzKM3fhr-gxGGLk8xqXrPRHyC__vkJEdA796II8cWhiqYMTHs5hAiNzwd4XXe9q5V_yiXEis28Ioom2QBiUgvb6xsDwtVOVwZ7DRVX4k9nQ4o75iewERP85G4MX7ZEbYGAFxh55cNXOQpVhKVUqqX5dg5kH195wU.C8rYsIUYGPxaseLuMTM5MfZW59grh3uM3-MK6o1pQmk&dib_tag=se&keywords=water+bottles&qid=1747740159&sr=8-10,https://m.media-amazon.com/images/I/51HrJO56iFL._AC_UL320_.jpg,₹283,₹430
