Product Name,Product Link,Image URL,Price,Original Price
DOCTOR EXTRA SOFT,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTk1NDk2NTczMjg1MTk5OjE3NDc3Mzc0MDc6c3BfYXRmOjMwMDEyOTc0MzQ5NzkzMjo6MDo6&url=%2FDOCTOR-EXTRA-SOFT-Comfortable-D-508%2Fdp%2FB0CTXM6D7Y%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o%26dib_tag%3Dse%26keywords%3Dflip%2Bflops%26qid%3D1747737406%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51TBG383iUL._AC_UL320_.jpg,₹599,"₹1,799"
SVAAR,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTk1NDk2NTczMjg1MTk5OjE3NDc3Mzc0MDc6c3BfYXRmOjMwMDIxNTE3NDM0NDIzMjo6MDo6&url=%2FSVAAR-Authentic-Slippers-Waterproof-Everyday%2Fdp%2FB0D4XLJMM1%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o%26dib_tag%3Dse%26keywords%3Dflip%2Bflops%26qid%3D1747737406%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71a-UnYJgvL._AC_UL320_.jpg,₹699,"₹2,299"
hummel,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTk1NDk2NTczMjg1MTk5OjE3NDc3Mzc0MDc6c3BfYXRmOjMwMDQ5NTc0NjA0ODAzMjo6MDo6&url=%2Fhummel-Comfortable-Cushioned-Lightweight-Flexible%2Fdp%2FB0DY1J1TN4%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o%26dib_tag%3Dse%26keywords%3Dflip%2Bflops%26qid%3D1747737406%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/513j2qUP2NL._AC_UL320_.jpg,₹499,₹999
Puma,https://www.amazon.in/Puma-Unisex-Adult-Slide-Black-Time/dp/B0BYSR576L/ref=sr_1_5?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-5,https://m.media-amazon.com/images/I/51YBeRGjAQL._AC_UL320_.jpg,₹999,"₹2,499"
SPARX,https://www.amazon.in/Sparx-Mens-Flip-Flops-House-Slippers/dp/B00IZ932WG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-6,https://m.media-amazon.com/images/I/51p0u1pv2DL._AC_UL320_.jpg,₹297,₹300
FLITE,https://www.amazon.in/FLITE-White-Flops-Sandals-9-FL0245G/dp/B07DRW1672/ref=sr_1_7?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-7,https://m.media-amazon.com/images/I/51xK+DVgzSL._AC_UL320_.jpg,₹269,₹499
PERY-PAO,https://www.amazon.in/PERY-PAO-Sliders-Printed-Design-Slippers/dp/B0F3D319Z4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-8,https://m.media-amazon.com/images/I/51EuWnMM5FL._AC_UL320_.jpg,₹275,₹599
SPARX,https://www.amazon.in/Sparx-Black-Flip-Flops-House-Slippers/dp/B00LGMNR06/ref=sr_1_9?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-9,https://m.media-amazon.com/images/I/41nC89rf5iL._AC_UL320_.jpg,₹280,₹329
Liberty,https://www.amazon.in/Liberty-BEACHTIME-GREEN-CASUAL-Slippers-7/dp/B0B9ZHYTLZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-10,https://m.media-amazon.com/images/I/51-Gi5wwoxL._AC_UL320_.jpg,₹349,₹399
SPARX,https://www.amazon.in/Sparx-mens-SF0549G-Blackwhite-Flip-Flop/dp/B07QQDJ7G9/ref=sr_1_11?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-11,https://m.media-amazon.com/images/I/51DXCtrdijL._AC_UL320_.jpg,₹337,₹374
Bata,https://www.amazon.in/Bata-Mens-ALFRED-Black-Slipper/dp/B09W5Y2YZ3/ref=sr_1_12?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-12,https://m.media-amazon.com/images/I/71KoxPew5yL._AC_UL320_.jpg,₹298,₹399
FLITE,https://www.amazon.in/FLITE-Mens-Slides-SlipperS-Red-Black/dp/B0CJ6S91WW/ref=sr_1_13?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-13,https://m.media-amazon.com/images/I/71y7L6ajN5L._AC_UL320_.jpg,₹299,₹349
Puma,https://www.amazon.in/Puma-Softride-Persian-Blue-Clyde-Royal-White/dp/B0D6VMBGS1/ref=sr_1_14?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-14,https://m.media-amazon.com/images/I/41BpBu-XMyL._AC_UL320_.jpg,"₹1,899","₹3,799"
SPARX,https://www.amazon.in/SPARX-mens-SF0517G-Blackbrown-Flip-Flop/dp/B00IZ94K54/ref=sr_1_15?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-15,https://m.media-amazon.com/images/I/61zlIikIroL._AC_UL320_.jpg,₹312,₹449
Puma,https://www.amazon.in/Puma-Unisex-Adult-Royalcat-Comfort-White-Black/dp/B0CBPDC3VQ/ref=sr_1_16?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-16,https://m.media-amazon.com/images/I/51nqf-tekAL._AC_UL320_.jpg,"₹2,239","₹2,799"
DOCTOR EXTRA SOFT,https://www.amazon.in/DOCTOR-EXTRA-SOFT-Comfortable-Waterproof/dp/B0CLZR957L/ref=sr_1_17?dib=eyJ2IjoiMSJ9.qKF-Ks61nLD5h9DNlWNQ1J2oKSkX8WgDhoToUWMlmKo783-P_Kg6Dd-f1JNnmaMs8jKiZWUVBtkeG5LnNRARF06ZWm7S6_bPkfec6u-pmytbFWPGwpbcBBsU81FZPRTJsrnXsH483OkjxOLNmnvOhalaRWOiB94MAQprIX2pzYGtGXvtZ_CDfkOkhLkZ520rMsNIsHiZn8PXgo-fvbfP13XlZTadAVRxjn2XH5Uz2YONzl6IcbkqeK6wQOwiF3f-jE7TDbuwHd8jZfiqAxzcqJ2CHui_QNQv3dD0ItqBq1E.BRVK8mtJJWFNiLalc-Lk-yuk6tXmBCuPk-PJYPrHn3o&dib_tag=se&keywords=flip+flops&qid=1747737406&sr=8-17,https://m.media-amazon.com/images/I/61HA3-8XMIL._AC_UL320_.jpg,₹694,"₹1,799"
