Product Name,Product Link,Image URL,Price,Original Price
Symbol Premium,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODk1OTkzNzk1NDA4NjQ3OjE3NDc3Mzc0NTk6c3BfYXRmOjMwMDQ3NjQwOTMzMzYzMjo6MDo6&url=%2FSymbol-Premium-Wrinkle-Resistant-SS23-SMP-FS-01_Bottle-Green_40%2Fdp%2FB0D7VF7TLJ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0%26dib_tag%3Dse%26keywords%3Dformal%2Bshirts%26qid%3D1747737459%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71NSKiybqpL._AC_UL320_.jpg,"₹1,699","₹2,599"
THE FORMAL CLUB,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODk1OTkzNzk1NDA4NjQ3OjE3NDc3Mzc0NTk6c3BfYXRmOjMwMDU0MDM1NTgwMjIzMjo6MDo6&url=%2FFORMAL-CLUB-Breeze-Sleeve-Cotton%2Fdp%2FB0F2Z2F1XD%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0%26dib_tag%3Dse%26keywords%3Dformal%2Bshirts%26qid%3D1747737459%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/718R1zbkEwL._AC_UL320_.jpg,"₹1,849","₹4,399"
Arvind,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODk1OTkzNzk1NDA4NjQ3OjE3NDc3Mzc0NTk6c3BfYXRmOjMwMDM0NjI3MzU0NDIzMjo6MDo6&url=%2FAD-Arvind-Oxford-Formal-8904290707464%2Fdp%2FB0C6MTGDVQ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0%26dib_tag%3Dse%26keywords%3Dformal%2Bshirts%26qid%3D1747737459%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61ZWbjLxX6L._AC_UL320_.jpg,₹854,"₹1,999"
FireFish,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODk1OTkzNzk1NDA4NjQ3OjE3NDc3Mzc0NTk6c3BfYXRmOjMwMDUyMjUzODAyNzgzMjo6MDo6&url=%2FFireFish-Green-Color-Cotton-Formal%2Fdp%2FB0DJH6TRYH%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0%26dib_tag%3Dse%26keywords%3Dformal%2Bshirts%26qid%3D1747737459%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61sWUpHBPbL._AC_UL320_.jpg,₹408,"₹1,999"
Pinkmint,https://www.amazon.in/Pinkmint-Sleeve-Button-Collared-Casual/dp/B0CW1YFRPY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0&dib_tag=se&keywords=formal+shirts&qid=1747737459&sr=8-5,https://m.media-amazon.com/images/I/61WswLTIRqL._AC_UL320_.jpg,₹399,"₹1,999"
NexaFlair,https://www.amazon.in/Cotton-Summer-Regular-Stylish-Everyday-Regular/dp/B0DXCZ8FCH/ref=sr_1_6?dib=eyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0&dib_tag=se&keywords=formal+shirts&qid=1747737459&sr=8-6,https://m.media-amazon.com/images/I/81qh45dSlgL._AC_UL320_.jpg,₹499,"₹1,999"
DEELMO,https://www.amazon.in/DEELMO-Stylish-Solid-Casual-Sleeves/dp/B0DPL662FF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0&dib_tag=se&keywords=formal+shirts&qid=1747737459&sr=8-7,https://m.media-amazon.com/images/I/61QNtMusgVL._AC_UL320_.jpg,₹499,"₹1,799"
Parcel Yard,https://www.amazon.in/Parcel-Yard-Stylish-Regular-Airforce/dp/B0DR2Z8B3B/ref=sr_1_8?dib=eyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0&dib_tag=se&keywords=formal+shirts&qid=1747737459&sr=8-8,https://m.media-amazon.com/images/I/71dvy9dI5uL._AC_UL320_.jpg,₹399,"₹1,999"
The Indian Garage Co,https://www.amazon.in/Indian-Garage-Co-Shirt-0619-SH04-04/dp/B087S7688N/ref=sr_1_9?dib=eyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0&dib_tag=se&keywords=formal+shirts&qid=1747737459&sr=8-9,https://m.media-amazon.com/images/I/71BfHmJgTtL._AC_UL320_.jpg,₹542,"₹1,649"
Peter England,https://www.amazon.in/Peter-England-Mens-Shirt-PESFOSLP489629_Medium/dp/B0BHW69KW3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.MTos9kxrAEjwFfn3TOxIiMU932bbVjxtQ-9JaIwSptzKTLAebvlmFGzC4dCN1xIJkKs_-5PSYjFF2F7cfjn_o_3RNK3Z6aG0CrXh81XZeEOYEg4K7_vYrEG4ynLztGzuPAP-Lw98aQK-G0OKrCnF-mzOP5518ubR_sGthG57UlUzvFIg1Z7saGHu5A_Nkto7lU2mSI1632B3vFT7mq-sNPw53whA5Y2H5Mvp2wG9h36-eTRr-bqc3K2JVOfgiMP0opne1cYoC4pylHjnR98P1rYNdGMhxyye-ZnaAFFdXZE.S3gWkkJMe-rNt6bCSc-Q4ZJzvGB_oC8TPWY3iyQ7rN0&dib_tag=se&keywords=formal+shirts&qid=1747737459&sr=8-10,https://m.media-amazon.com/images/I/71MiAW4DsPL._AC_UL320_.jpg,₹719.10,"₹1,399"
