Product Name,Product Link,Image URL,Price,Original Price
Amazon Brand - Symbol,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjc3NjI3NTU4NDM5OTEzOjE3NDc3Mzc1NjI6c3BfYXRmOjMwMDEyOTQ3NzAzODIzMjo6MDo6&url=%2FAmazon-Brand-Stretchable-Trousers-SY-AW19-MFT-052_Navy_34W%2Fdp%2FB07YT1GKKQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0%26dib_tag%3Dse%26keywords%3Dformal%2Btrouser%26qid%3D1747737562%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61a3gI3oj5L._AC_UL320_.jpg,₹799,"₹2,299"
Louis Philippe,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjc3NjI3NTU4NDM5OTEzOjE3NDc3Mzc1NjI6c3BfYXRmOjMwMDM0NTc2OTk5NDQzMjo6MDo6&url=%2FLouis-Philippe-Mens-Pants-LYTFCSLPT20394_Navy%2Fdp%2FB0D4YZ53PD%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0%26dib_tag%3Dse%26keywords%3Dformal%2Btrouser%26qid%3D1747737562%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51QCxUR06cL._AC_UL320_.jpg,"₹1,474","₹2,499"
Louis Philippe,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjc3NjI3NTU4NDM5OTEzOjE3NDc3Mzc1NjI6c3BfYXRmOjMwMDU0MzcyOTk1NzgzMjo6MDo6&url=%2FLouis-Philippe-Formal-Trousers-LPTFMSLPO93481_Grey_32W%2Fdp%2FB08KSW8QB6%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0%26dib_tag%3Dse%26keywords%3Dformal%2Btrouser%26qid%3D1747737562%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61Iyd1wC97L._AC_UL320_.jpg,"₹1,199","₹2,599"
Symbol Premium,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjc3NjI3NTU4NDM5OTEzOjE3NDc3Mzc1NjI6c3BfYXRmOjMwMDM1MzczNDIxNDMzMjo6MDo6&url=%2FSymbol-Premium-Stretchable-SP-M-S24-FT-001_Light-Grey_30%2Fdp%2FB0D7VM7HNX%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0%26dib_tag%3Dse%26keywords%3Dformal%2Btrouser%26qid%3D1747737562%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/712uA9qBPZL._AC_UL320_.jpg,"₹1,799","₹3,999"
TOPLOT,https://www.amazon.in/TOPLOT-Trousers-Stretchable-Trouser-Formal-5068-Black-34/dp/B0DK9GY6TQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0&dib_tag=se&keywords=formal+trouser&qid=1747737562&sr=8-5,https://m.media-amazon.com/images/I/51JvyNGP6xL._AC_UL320_.jpg,₹499,"₹2,999"
Peter England,https://www.amazon.in/Peter-England-Utility-Pants-PETFONSPY44152_Cream_32/dp/B0BKQ8SH5L/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0&dib_tag=se&keywords=formal+trouser&qid=1747737562&sr=8-6,https://m.media-amazon.com/images/I/615LfhxEUuL._AC_UL320_.jpg,₹986,"₹1,799"
Mehrang,https://www.amazon.in/Mehrang-Stretchable-Trousers-Stylish-Polycotton/dp/B0DGL9F6SN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0&dib_tag=se&keywords=formal+trouser&qid=1747737562&sr=8-7,https://m.media-amazon.com/images/I/71Ssu9XqHrL._AC_UL320_.jpg,₹299,"₹1,499"
Peter England,https://www.amazon.in/Peter-England-Utility-Pants-PETFONSPA80080_Khaki_38/dp/B0BKQ7NS59/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0&dib_tag=se&keywords=formal+trouser&qid=1747737562&sr=8-8,https://m.media-amazon.com/images/I/51zDsSTduPL._AC_UL320_.jpg,₹800,"₹1,599"
MALENO,https://www.amazon.in/MALENO-Cotton-Blend-Formal-Trouser/dp/B0B3Y4P7XJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0&dib_tag=se&keywords=formal+trouser&qid=1747737562&sr=8-9,https://m.media-amazon.com/images/I/71PsC9BiwnL._AC_UL320_.jpg,₹499,"₹1,599"
Amazon Brand - Symbol,https://www.amazon.in/Amazon-Brand-Stretchable-Trousers-SY-AW19-MFT-049_Light/dp/B07YT179J4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3WNQZbxdfV0uWhwVp9Q7cU6dRo65g86NdueGIYnSSwpPa6Mt84s3iUjj5kfYzFdmEB6sfnEgnG9xed0u0zjAiPLukwWeEmy5fwwAscnivhLjXKSFXFSoLCKRK6mw7whreZU93vUtHAZmIerslrRaicpAHJJn3k_vKwrO0tyy4zjBjYxIjXNDdukmnVpRxZtcQbf24A56m86HICpMOCAMQxQoHhpiTk4c2Tb98Vienl-ggL_fPWnXgVzPsMDPM3O_ByIGkY_O5bvXy1ebPsVSgSLr-8up1zy6LBmnIjbyTaY.QCRCdBOx1NnIc4dJkCA_ykVJ5YVyPW1p0d2IS3nhQL0&dib_tag=se&keywords=formal+trouser&qid=1747737562&sr=8-10,https://m.media-amazon.com/images/I/717-WaIUi9L._AC_UL320_.jpg,₹799,"₹2,499"
