Product Name,Product Link,Image URL,Price,Original Price
RIDEGEARS,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQ2ODk1MDE3MzYyNTMzOjE3NDc3Mzc2MTM6c3BfYXRmOjMwMDM0Mzc3MDI4MjQzMjo6MDo6&url=%2FRiding-Jacket-Ventilated-Protection-Polyester%2Fdp%2FB0D9W85BX7%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w%26dib_tag%3Dse%26keywords%3Djackets%26qid%3D1747737612%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/7122KB-5GVL._AC_UL320_.jpg,"₹3,850","₹5,500"
BLUE TYGA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQ2ODk1MDE3MzYyNTMzOjE3NDc3Mzc2MTM6c3BfYXRmOjMwMDM0NzE1NTk5NjEzMjo6MDo6&url=%2FBLUE-TYGA-Sunscreen-Standard-Length%2Fdp%2FB0D39WC5DJ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w%26dib_tag%3Dse%26keywords%3Djackets%26qid%3D1747737612%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/712UDW7pnEL._AC_UL320_.jpg,"₹1,199","₹2,999"
Symbol Premium,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQ2ODk1MDE3MzYyNTMzOjE3NDc3Mzc2MTM6c3BfYXRmOjMwMDM3ODQ0MzUxMDYzMjo6MDo6&url=%2FSymbol-Premium-Festive-SP-M-A24-501_Black%2Fdp%2FB0DG2GKFTR%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w%26dib_tag%3Dse%26keywords%3Djackets%26qid%3D1747737612%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/6179llYm-BL._AC_UL320_.jpg,"₹2,999","₹5,999"
United Colors of Benetton,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODQ2ODk1MDE3MzYyNTMzOjE3NDc3Mzc2MTM6c3BfYXRmOjMwMDQ2OTY1OTQ5MTQzMjo6MDo6&url=%2FUNITED-COLORS-BENETTON-Sleeveless-Standard%2Fdp%2FB0DV5HJHRG%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w%26dib_tag%3Dse%26keywords%3Djackets%26qid%3D1747737612%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51Lp3ngJHXL._AC_UL320_.jpg,"₹3,199","₹3,499"
Boldfit,https://www.amazon.in/Boldfit-Mens-Padded-Jacket-BomberJacket504XL_BlackGrey/dp/B0CJRPZT76/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w&dib_tag=se&keywords=jackets&qid=1747737612&sr=8-5,https://m.media-amazon.com/images/I/61j2FBMg2LL._AC_UL320_.jpg,₹999,"₹3,999"
Generic,https://www.amazon.in/LEATHER-JACKET-MEN-SUEDE-Alpha/dp/B0DZV117CY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w&dib_tag=se&keywords=jackets&qid=1747737612&sr=8-6,https://m.media-amazon.com/images/I/614HziI9oQL._AC_UL320_.jpg,"₹1,799","₹3,999"
MIA FASHION,https://www.amazon.in/MIA-FASHION-Jackets-Lightweight-Regular/dp/B0DS69BT6Y/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w&dib_tag=se&keywords=jackets&qid=1747737612&sr=8-7,https://m.media-amazon.com/images/I/61ux7FZUs-L._AC_UL320_.jpg,₹899,"₹3,999"
LEOTUDE,https://www.amazon.in/LEOTUDE-Sleeve-Regular-Loopknit-JKT_0002_P_Black_L/dp/B0CPJ3NHWP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w&dib_tag=se&keywords=jackets&qid=1747737612&sr=8-8,https://m.media-amazon.com/images/I/51XWUBbfe7L._AC_UL320_.jpg,₹399,"₹1,599"
Leather Retail,https://www.amazon.in/Leather-Retail-Solid-Jacket-LRM33BLLA13_Black_L/dp/B099243SKH/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w&dib_tag=se&keywords=jackets&qid=1747737612&sr=8-9,https://m.media-amazon.com/images/I/61pCn6DowvS._AC_UL320_.jpg,"₹1,999","₹3,999"
MiraMichi,https://www.amazon.in/MiraMichi-Jackets_012_Green_M-Mens-Blouson/dp/B0DT75B8GH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8zYqkksMeFMcseXaVnQ2wMXu9FsHUaZJTu5uvs5AY8Uiw_lrhScFXzWuQ-IHomHh7ts1WzYn9PrH7CAQd2zFAmyNVAmUJhkEkeAscutzafoO32nZebDgdCt-BfoX3mVMsRp_woYvPYRmh7lxO_C8AQMC0IM7NJsygRh1JvPAhHZKCglWjDYro3mAvUt1wPbso-fo-fCecP2rwpDYeIwDW6fffd_NRXrNvJlz9LBw7f-ydVGe27csdKYEfE9JKa1m5stcBXdRXslxj1I-h4r4fpFTCHvIvwb47X0USn0rTNE.8ToT4ULUMJG25CSU5kEcMkIqRnBrHjJJmHZc9d3XI8w&dib_tag=se&keywords=jackets&qid=1747737612&sr=8-10,https://m.media-amazon.com/images/I/51dK2Qklp9L._AC_UL320_.jpg,₹499,₹999
