Product Name,Product Link,Image URL,Price,Original Price
Ben Martin,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTI4ODEwNjE2NDAzMzc3OjE3NDc3Mzc2NjI6c3BfYXRmOjIwMDg0MzE5NDI3ODA0OjowOjo&url=%2FBen-Martin-Relaxed-BMW-JJ3-DARK-p4-32_Dark-Blue_32%2Fdp%2FB019XSHB7O%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8%26dib_tag%3Dse%26keywords%3Djeans%2Bmens%26qid%3D1747737662%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/616xchp1ECL._AC_UL320_.jpg,₹649,"₹2,499"
Symbol Premium,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTI4ODEwNjE2NDAzMzc3OjE3NDc3Mzc2NjI6c3BfYXRmOjMwMDM0MTI2MzYwODkzMjo6MDo6&url=%2FSymbol-Premium-Airlite-Stretch-SP-S24-M-DNM-102_Black_30%2Fdp%2FB0CSSCJMVJ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8%26dib_tag%3Dse%26keywords%3Djeans%2Bmens%26qid%3D1747737662%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61zYTL6iyhL._AC_UL320_.jpg,"₹1,599","₹3,599"
Symbol Premium,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTI4ODEwNjE2NDAzMzc3OjE3NDc3Mzc2NjI6c3BfYXRmOjMwMDUyMzQxNjg3OTgzMjo6MDo6&url=%2FSymbol-Premium-Stretch-Regular-Blue_36%2Fdp%2FB0DPKKNSFZ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8%26dib_tag%3Dse%26keywords%3Djeans%2Bmens%26qid%3D1747737662%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/719HYwjdEML._AC_UL320_.jpg,"₹1,499","₹2,999"
STUDIO NEXX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTI4ODEwNjE2NDAzMzc3OjE3NDc3Mzc2NjI6c3BfYXRmOjMwMDA3MjEwNzE3MzQzMjo6MDo6&url=%2FSTUDIO-NEXX-Regular-Dark-Jeans%2Fdp%2FB0C4G3H4Q6%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8%26dib_tag%3Dse%26keywords%3Djeans%2Bmens%26qid%3D1747737662%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61xrNuld0iL._AC_UL320_.jpg,₹629,"₹1,499"
KOTTY,https://www.amazon.in/KOTTY-Regular-Distressed-Fashionable-Trendy/dp/B0DWJVWR89/ref=sr_1_5?dib=eyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8&dib_tag=se&keywords=jeans+mens&qid=1747737662&sr=8-5,https://m.media-amazon.com/images/I/61dFcpPdJkL._AC_UL320_.jpg,₹476.10,"₹1,999"
TAGAS,https://www.amazon.in/TAGAS-Relaxed-Denim-JeansPant-MDJ-22/dp/B0DZXHB6NX/ref=sr_1_6?dib=eyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8&dib_tag=se&keywords=jeans+mens&qid=1747737662&sr=8-6,https://m.media-amazon.com/images/I/51mpNhYjOnL._AC_UL320_.jpg,₹779,"₹2,499"
London Hills,https://www.amazon.in/London-Hills-Regular-Jeans-Light/dp/B0F1CY8YT7/ref=sr_1_7?dib=eyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8&dib_tag=se&keywords=jeans+mens&qid=1747737662&sr=8-7,https://m.media-amazon.com/images/I/410PYnaudiL._AC_UL320_.jpg,₹599,"₹1,999"
Ben Martin,https://www.amazon.in/Ben-Martin-Relaxed-BMW-JJ3-DARK-p4-38_Dark-Blue_38/dp/B01FPI967Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8&dib_tag=se&keywords=jeans+mens&qid=1747737662&sr=8-8,https://m.media-amazon.com/images/I/616xchp1ECL._AC_UL320_.jpg,₹649,"₹2,499"
QNIM,https://www.amazon.in/Jeans-Pants-Pant-Q-18-20-Numeric/dp/B0DNN16ZC1/ref=sr_1_9?dib=eyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8&dib_tag=se&keywords=jeans+mens&qid=1747737662&sr=8-9,https://m.media-amazon.com/images/I/6189cX8rr3L._AC_UL320_.jpg,₹679,"₹4,999"
Peter England,https://www.amazon.in/Peter-England-Skinny-Jeans-PJDNASKF704235_Navy_34/dp/B0C1RZ6F15/ref=sr_1_10?dib=eyJ2IjoiMSJ9.viIhmgazTXUXfQkdFTtPH0PT2XfyBb9LZvWisjLW0URpLvXjehUpWAHvkxGlXmjW5rOZg76zWwWQydrOlhgE_duwnyxsuua2eOYNsxaYWfPV9YokBZ_QypEgWx-RAVvVwWmWNY2g8cVFeJkblTDzKxey8JFtJc0w3IZF0I-rR8-Y5ZKApTNZ7zPYlK5_69ySP7hUdHM2KBx8Nfvz46wPSq9O6uiHpee9x08ILOkdFgy-JaoPP3EZJoR2yw54FCw1smSpdKpnykOLxLBj7sschUUDDZ_W1eoB1rWseuKX8Xc.X8BzIgK1ppCjtcfUEvSJ0wBqCUXZ56v4uAOPUsL-jN8&dib_tag=se&keywords=jeans+mens&qid=1747737662&sr=8-10,https://m.media-amazon.com/images/I/71sditc5d6L._AC_UL320_.jpg,"₹1,049","₹1,999"
