Product Name,Product Link,Image URL,Price,Original Price
MADHAVISTA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTc0NDc0MjcwMDc5MzA3OjE3NDc3Mzc3MDg6c3BfYXRmOjMwMDQ3NDMyNTM4NzAzMjo6MDo6&url=%2FMADHAVISTA-Regular-Cotton-Blend-Casual%2Fdp%2FB0DCKD4V7M%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q%26dib_tag%3Dse%26keywords%3Dkurtas%2Bmens%26qid%3D1747737708%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61NloRw77IL._AC_UL320_.jpg,₹471,"₹1,499"
More & More,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTc0NDc0MjcwMDc5MzA3OjE3NDc3Mzc3MDg6c3BfYXRmOjMwMDQ5NzYzNDMzMTIzMjo6MDo6&url=%2FMore-Cottan-Blend-Kurta-Yellow%2Fdp%2FB0B7HRN72W%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q%26dib_tag%3Dse%26keywords%3Dkurtas%2Bmens%26qid%3D1747737708%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71vikKBhSPL._AC_UL320_.jpg,₹473,"₹2,199"
Studio Shringaar,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTc0NDc0MjcwMDc5MzA3OjE3NDc3Mzc3MDg6c3BfYXRmOjMwMDQ0MzY2MDM5NDEzMjo6MDo6&url=%2FStudio-Shringaar-Cotton-Bohemian-Printed%2Fdp%2FB0DPKWF3GQ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q%26dib_tag%3Dse%26keywords%3Dkurtas%2Bmens%26qid%3D1747737708%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81vTMymYp7L._AC_UL320_.jpg,₹622,"₹1,995"
Zombom,https://www.amazon.in/Zombom-Cotton-Regular-Mandarin-Chinese/dp/B0D3XJVWTX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q&dib_tag=se&keywords=kurtas+mens&qid=1747737708&sr=8-5,https://m.media-amazon.com/images/I/61htv62052L._AC_UL320_.jpg,₹499,"₹1,699"
ROYALSCOUT,https://www.amazon.in/ROYALSCOUT-Cotton-Polyester-Regular-Sleeve/dp/B0DHXHZK8F/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q&dib_tag=se&keywords=kurtas+mens&qid=1747737708&sr=8-6,https://m.media-amazon.com/images/I/51UXax-RL4L._AC_UL320_.jpg,₹496,"₹1,499"
Majestic Man,https://www.amazon.in/Majestic-Man-Cotton-Mandarin-Printed/dp/B0CQX84CMM/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q&dib_tag=se&keywords=kurtas+mens&qid=1747737708&sr=8-7,https://m.media-amazon.com/images/I/71CpD7IuKFL._AC_UL320_.jpg,₹699,"₹2,499"
Zombom,https://www.amazon.in/Zombom-Combo-Cotton-Sleeve-Straight/dp/B0D9GSHWXN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q&dib_tag=se&keywords=kurtas+mens&qid=1747737708&sr=8-8,https://m.media-amazon.com/images/I/71muOo4My7L._AC_UL320_.jpg,₹799,"₹2,549"
Generic,https://www.amazon.in/Printed-Premium-Comfort-Festivals-White_1/dp/B0F2HFVYP4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q&dib_tag=se&keywords=kurtas+mens&qid=1747737708&sr=8-9,https://m.media-amazon.com/images/I/61RqnOKajsL._AC_UL320_.jpg,₹299,₹999
LATEST CHIKAN,https://www.amazon.in/Latest-Chikan-Regular-Textured-Sleeves/dp/B08SQHT225/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q&dib_tag=se&keywords=kurtas+mens&qid=1747737708&sr=8-10,https://m.media-amazon.com/images/I/71XDQhvvEUL._AC_UL320_.jpg,₹548,"₹1,999"
DEELMO,https://www.amazon.in/DEELMO-Cotton-Mandarin-Collar-Regular/dp/B0CNM3MR56/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Ee9oRE1Z3xa-UQFx8dwsW27ICS3912sV6wWl652IVH1jJH3upKLsejsSrRBGhvsC8wvNYXJPYBdETZC1ZEUat4TSZS-E8UCTkBDfKK3Tl9XUJDtOsoL1fLkq4daoA4QCFHDh_JigEuYfDsexYn5ywofLuyRGfaB1HAuwXatosxqPqiMRgBnr7L1AI0xLv853eAtmE09ycZzsXZCtt7dQjaSQepfhJ-bwYIHWNpwWo-SaWZD6P-XGhHP6_dfmr1u_yueydjePJh8TR4U1-DCc0eBtwULYROTyTf-oC4RfdIw.SdlB_XUTHAsZCPLZMFaSCxLGae10yq9lvXLjMF6SW9Q&dib_tag=se&keywords=kurtas+mens&qid=1747737708&sr=8-11,https://m.media-amazon.com/images/I/61SDTiZdvHL._AC_UL320_.jpg,₹494,"₹2,199"
