Product Name,Product Link,Image URL,Price,Original Price
SPARX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjU5NjAxNzE0MzM3MDE3OjE3NDc3Mzc4MDk6c3BfYXRmOjMwMDQzMDg4MTE1OTczMjo6MDo6&url=%2FSparx-mens-SS0453G-Bluegrey-Sandal%2Fdp%2FB075FV2Z4C%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE%26dib_tag%3Dse%26keywords%3Dsandals%2Band%2Bfloaters%26qid%3D1747737809%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51VtiRvv3rL._AC_UL320_.jpg,₹717,₹875
SPARX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjU5NjAxNzE0MzM3MDE3OjE3NDc3Mzc4MDk6c3BfYXRmOjMwMDM1Mzg1NjU2MDAzMjo6MDo6&url=%2FSparx-Black-Orange-Sandal-SS0561G%2Fdp%2FB08ZNJDTT2%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE%26dib_tag%3Dse%26keywords%3Dsandals%2Band%2Bfloaters%26qid%3D1747737809%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71iMEw5KOcL._AC_UL320_.jpg,₹922.50,"₹1,025"
HARIE,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjU5NjAxNzE0MzM3MDE3OjE3NDc3Mzc4MDk6c3BfYXRmOjMwMDQ3MDk1NjY4NTIzMjo6MDo6&url=%2FHARIE-Fisherman-Grass-Floater-Sandals%2Fdp%2FB0CVYDWPMC%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE%26dib_tag%3Dse%26keywords%3Dsandals%2Band%2Bfloaters%26qid%3D1747737809%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71heqYX+yhL._AC_UL320_.jpg,₹999,"₹2,500"
FUEL,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjU5NjAxNzE0MzM3MDE3OjE3NDc3Mzc4MDk6c3BfYXRmOjMwMDU2NjI3MzkwNDUzMjo6MDo6&url=%2FFUEL-Comfortable-Lightweight-Dailywear-Breathable%2Fdp%2FB0D45NGNMM%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE%26dib_tag%3Dse%26keywords%3Dsandals%2Band%2Bfloaters%26qid%3D1747737809%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91P0VBLPNhL._AC_UL320_.jpg,₹899,"₹1,799"
SPARX,https://www.amazon.in/Sparx-mens-Ss0453g-BLUE-SANDAL/dp/B075G5HC8P/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE&dib_tag=se&keywords=sandals+and+floaters&qid=1747737809&sr=8-5,https://m.media-amazon.com/images/I/51VtiRvv3rL._AC_UL320_.jpg,₹717,₹949
Campus,https://www.amazon.in/Campus-Navy-BLK-TBLU-Outdoor-Sandals-6-3K-SD-057A/dp/B08FDK1FX5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE&dib_tag=se&keywords=sandals+and+floaters&qid=1747737809&sr=8-6,https://m.media-amazon.com/images/I/61YbycJj2+L._AC_UL320_.jpg,₹779,₹799
Campus,https://www.amazon.in/Campus-GC-10-D-GRY-Outdoor-Sandals/dp/B0974X89W9/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE&dib_tag=se&keywords=sandals+and+floaters&qid=1747737809&sr=8-7,https://m.media-amazon.com/images/I/61jj2Ubfy4L._AC_UL320_.jpg,₹888,"₹1,049"
SPARX,https://www.amazon.in/Sparx-Forest-Green-Sandal-SS0561G/dp/B08ZNGTV1D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE&dib_tag=se&keywords=sandals+and+floaters&qid=1747737809&sr=8-8,https://m.media-amazon.com/images/I/61UBTAFEHFS._AC_UL320_.jpg,₹766,"₹1,025"
SPARX,https://www.amazon.in/SPARX-Latest-Stylish-Floaters-Yellow/dp/B07VP5PKSQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE&dib_tag=se&keywords=sandals+and+floaters&qid=1747737809&sr=8-9,https://m.media-amazon.com/images/I/512eCANrsEL._AC_UL320_.jpg,₹872,"₹1,099"
SPARX,https://www.amazon.in/Sparx-Orange-Athletic-Outdoor-Sandals/dp/B00N2G066M/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Zy4LDvQhvBZdpegj3mrcgmX5qSMbqAAAEBw5yRovq4yIqYZiNNdyKklh99c15beyDeSqTkXe3oECzFvCkP0Zm74C8iAub3gJXR1V7vw0MMCISqbr7sj9a5_amAEuvMYD3u8VthoBfSkt4hMmENsND8UUZx-O0AxaUSxZabOoVJU90oY7r1cB7xMNb066-q451gNb5HGzuj8QXPxUG7xgblxbiWfS_cJYiOfn-h5BaNG9XcUN221gR20DMhnLWZiFBx49ykOCjNSCMGkFnk3Q1JniFHT3klQ8H9wLmmA5FUQ.cQ0Ms7q1YgqLVRKD2l-g-dsfI40P9dr1um4rWeGNcGE&dib_tag=se&keywords=sandals+and+floaters&qid=1747737809&sr=8-10,https://m.media-amazon.com/images/I/51swjhugxbL._AC_UL320_.jpg,₹551,₹649
