Product Name,Product Link,Image URL,Price,Original Price
BRUTON,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzI5NjA4MjUxMjAxMzIwOjE3NDc3Mzc4NTg6c3BfYXRmOjMwMDM0ODg2MTg0NzgzMjo6MDo6&url=%2FBRUTON-Sneakers-Casual-Walking-Men-Grey%2Fdp%2FB0CWP8XQPQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1747737858%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61VHvg7wvCL._AC_UL320_.jpg,₹498,"₹2,499"
Generic,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzI5NjA4MjUxMjAxMzIwOjE3NDc3Mzc4NTg6c3BfYXRmOjMwMDUxODI4MTY3ODkzMjo6MDo6&url=%2FLorvens-Shoe-Cleaning-Wipes-Sneaker%2Fdp%2FB0DRW3WMBP%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1747737858%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51urd-n8Q5L._AC_UL320_.jpg,₹299,₹699
hummel,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzI5NjA4MjUxMjAxMzIwOjE3NDc3Mzc4NTg6c3BfYXRmOjMwMDQ5NTcyMDMyMjkzMjo6MDo6&url=%2Fhummel-Lightweight-Breathable-Cushioned-Slip-Resistant%2Fdp%2FB0DRD8RZNJ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1747737858%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61NtJ1WYHTL._AC_UL320_.jpg,"₹1,784","₹3,499"
hummel,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzI5NjA4MjUxMjAxMzIwOjE3NDc3Mzc4NTg6c3BfYXRmOjMwMDQ2NjM0MDcyNzczMjo6MDo6&url=%2Fhummel-Classic-Enhanced-Cushioned-Slip-Resistant%2Fdp%2FB0DQP5GDS8%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1747737858%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61JHYNS3ycL._AC_UL320_.jpg,"₹1,799","₹3,999"
ASIAN,https://www.amazon.in/ASIAN-MEXICO-11-Synthetic-Lightweight-Comfortable/dp/B0DBD6L65N/ref=sr_1_5?dib=eyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8&dib_tag=se&keywords=sneakers&qid=1747737858&sr=8-5,https://m.media-amazon.com/images/I/81R6YbNKOzL._AC_UL320_.jpg,₹799,"₹1,499"
ASIAN,https://www.amazon.in/ASIAN-TARZAN-04-Sneaker-Synthetic-Lightweight/dp/B0DJD89THD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8&dib_tag=se&keywords=sneakers&qid=1747737858&sr=8-6,https://m.media-amazon.com/images/I/71ivYMOzncL._AC_UL320_.jpg,₹719,"₹1,499"
BRUTON,https://www.amazon.in/BRUTON-Premium-Synthetic-Lightweight-Comfortable/dp/B0D7CDMDQ5/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8&dib_tag=se&keywords=sneakers&qid=1747737858&sr=8-7,https://m.media-amazon.com/images/I/613b+S2+FbL._AC_UL320_.jpg,₹498,"₹2,499"
Campus,https://www.amazon.in/Campus-Mens-OG-17-L-Gry-Sneakers/dp/B0DHRKM877/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8&dib_tag=se&keywords=sneakers&qid=1747737858&sr=8-8,https://m.media-amazon.com/images/I/61dPiu1fAUL._AC_UL320_.jpg,₹999,"₹1,599"
SPARX,https://www.amazon.in/Sparx-Mens-White-Sneakers-SD0439G_WHWH0010/dp/B07Y4Y3DGB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8&dib_tag=se&keywords=sneakers&qid=1747737858&sr=8-9,https://m.media-amazon.com/images/I/5149DvbNzIL._AC_UL320_.jpg,₹749,₹849
Cruiser,https://www.amazon.in/Cruiser-Lightweight-Comfortable-Footwear-2630-2/dp/B0DSC6TXKC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xLaDvNRTNCaG2x_2RG_Dd1XrjEhfnQDeTtJhs4OC8YpFl2lxb3rrZsMIVgqsbKcxyCIQ1G88vVHILPx6taMo48BRwQiIxCLV3YfGkMwTIZxH-2FlSHvLMkQ5XuuI5YL8vc7HfoTW47EyLnp5poV4DJqCmaMO48o53Ww5IlFoLmHIpx21t5qmezqWrRKuoFQZzdQ_Lv6rtrdoJESN-nDlWsQ2VskaZ6ZRGTeyPvH8Ry8-ke6b0xDb0iTbtY4clLVJlXQ6QdVRVtKgkGUB0T5C9B0d9Wm_mDvEk10lEWrXOjg.-gEMGuRXyx2pp333WVjuzmAiM8L28O6fQhUW_N9o0f8&dib_tag=se&keywords=sneakers&qid=1747737858&sr=8-10,https://m.media-amazon.com/images/I/717cuQbVMKL._AC_UL320_.jpg,₹999,"₹2,499"
