Product Name,Product Link,Image URL,Price,Original Price
Fastrack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDkwMjcyMzc1MTk1NjQzOjE3NDc3Mzc5NTM6c3BfYXRmOjMwMDUzNjMxOTc2ODQzMjo6MDo6&url=%2FFastrack-Protected-Wayfarer-Mens-Sunglasses%2Fdp%2FB07FM7TPPY%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg%26dib_tag%3Dse%26keywords%3Dsunglasses%26qid%3D1747737952%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61xbGkFmwvL._AC_UL320_.jpg,"₹1,029","₹1,150"
Fastrack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDkwMjcyMzc1MTk1NjQzOjE3NDc3Mzc5NTM6c3BfYXRmOjMwMDUzNjMxOTc2OTAzMjo6MDo6&url=%2FFastrack-Protected-Square-Mens-Sunglasses%2Fdp%2FB071D85FJL%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg%26dib_tag%3Dse%26keywords%3Dsunglasses%26qid%3D1747737952%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/313a79CkfAL._AC_UL320_.jpg,₹849,₹899
Fastrack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDkwMjcyMzc1MTk1NjQzOjE3NDc3Mzc5NTM6c3BfYXRmOjMwMDQzOTUzMzk5MzQzMjo6MDo6&url=%2FFastrack-Protected-Rectangular-Sunglasses-P477PR1V%2Fdp%2FB0C2VWH73D%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg%26dib_tag%3Dse%26keywords%3Dsunglasses%26qid%3D1747737952%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/612rT1Ktk5L._AC_UL320_.jpg,"₹1,609","₹1,900"
Fastrack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDkwMjcyMzc1MTk1NjQzOjE3NDc3Mzc5NTM6c3BfYXRmOjMwMDUzNjMxOTc2ODkzMjo6MDo6&url=%2FFastrack-Protected-Square-Mens-Sunglasses%2Fdp%2FB08BGVWJDZ%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg%26dib_tag%3Dse%26keywords%3Dsunglasses%26qid%3D1747737952%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/513Dbd97tKL._AC_UL320_.jpg,₹849,₹899
Sheomy,https://www.amazon.in/Sheomy-glasses-MC-Rectangle-Sunglasses/dp/B0C28SKXYM/ref=sr_1_5?dib=eyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg&dib_tag=se&keywords=sunglasses&qid=1747737952&sr=8-5,https://m.media-amazon.com/images/I/41RT0y6mxLL._AC_UL320_.jpg,₹399,₹99.75
VINCENT CHASE EYEWEAR,https://www.amazon.in/Polarized-Protected-Sunglasses-VC-S13973/dp/B0999SJPWC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg&dib_tag=se&keywords=sunglasses&qid=1747737952&sr=8-6,https://m.media-amazon.com/images/I/41Dr9I4x1EL._AC_UL320_.jpg,₹660,"₹2,500"
IFLASH,https://www.amazon.in/IFLASH-Octagonal-Polarized-Sunglasses-Protection/dp/B0CVDX3MGG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg&dib_tag=se&keywords=sunglasses&qid=1747737952&sr=8-7,https://m.media-amazon.com/images/I/515DtL0icvL._AC_UL320_.jpg,₹249,"₹1,999"
Tommy Hilfiger,https://www.amazon.in/Tommy-Hilfiger-Sunglasses-TH-MIGUEL/dp/B0DK71WDQN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg&dib_tag=se&keywords=sunglasses&qid=1747737952&sr=8-8,https://m.media-amazon.com/images/I/512xZ-ysjYL._AC_UL320_.jpg,"₹4,670","₹8,490"
ARZONAI,https://www.amazon.in/ARZONAI-Wayfarer-Protection-Classic-Sunglasses/dp/B0CGJCX3R7/ref=sr_1_9?dib=eyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg&dib_tag=se&keywords=sunglasses&qid=1747737952&sr=8-9,https://m.media-amazon.com/images/I/31NvXL-aMrL._AC_UL320_.jpg,₹179,₹999
VINCENT CHASE EYEWEAR,https://www.amazon.in/Sunglasses-Polarized-Protected-VC-5158/dp/B08VGMBLQW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.95xRb4b0aFEzE8XmkqdG0H7q59g3Al4tODCpN_6NPiu5owSHfw2x3EzoTCgw6ovsP2H7rMEIe-RQo3ZxGxq5RZ9tHH4yDOACLkF_IceuLrReb4UbCSdiB_33oD2d2QZTvdjS98GAxqoQkNo1K2CcUjISMdizh-y_wISgzrnvOyeJOd9VTbect_B3NGQfc2JCGDOjG-PY9bMta7DARPsF0ZsrLWcsULSH7y7SZKJiWxWe6CMqTurzgfl_XDNOO1kOYKoaTL_sZ9GEJmSCLuvzbsEPkPvQuEzOiPU_hn2vFio.5BGtKic6RxnQxd6z5douuUXhX4l_nhTOOYz50eUDiHg&dib_tag=se&keywords=sunglasses&qid=1747737952&sr=8-10,https://m.media-amazon.com/images/I/41ZX47JRNML._AC_UL320_.jpg,₹569,"₹1,999"
