Product Name,Product Link,Image URL,Price,Original Price
Boldfit,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTQyNjIzODk4OTUyOTc2OjE3NDc3MzgwMDc6c3BfYXRmOjMwMDQxNDQ2MTQxNzkzMjo6MDo6&url=%2FBoldfit-Tailored-Sweatshirts-Anti-Pilling-Sweatshirt%2Fdp%2FB0DKNXWHDB%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM%26dib_tag%3Dse%26keywords%3Dsweat%2Bshirts%26qid%3D1747738007%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71J66iD28pL._AC_UL320_.jpg,₹449,"₹1,299"
TeeWink,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTQyNjIzODk4OTUyOTc2OjE3NDc3MzgwMDc6c3BfYXRmOjMwMDU2MDUxMTY5NjIzMjo6MDo6&url=%2FTeewink-Premium-Stylish-Zipper-Sweatshirt%2Fdp%2FB0DJY7FW52%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM%26dib_tag%3Dse%26keywords%3Dsweat%2Bshirts%26qid%3D1747738007%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31YN9tlHfYL._AC_UL320_.jpg,₹499,"₹1,999"
Boldfit,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTQyNjIzODk4OTUyOTc2OjE3NDc3MzgwMDc6c3BfYXRmOjMwMDQxNDY5NjgxNDgzMjo6MDo6&url=%2FBoldfit-Polyester-Tailored-Sweatshirt-BFTBM4010SBKS_Black_Small%2Fdp%2FB0DKNWZ8M8%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM%26dib_tag%3Dse%26keywords%3Dsweat%2Bshirts%26qid%3D1747738007%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61KLaIOGd8L._AC_UL320_.jpg,₹449,"₹1,499"
O2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTQyNjIzODk4OTUyOTc2OjE3NDc3MzgwMDc6c3BfYXRmOjMwMDUyNDk4NjM5MjUzMjo6MDo6&url=%2FO2-Mens-Womens-Sleeve-Sweatshirt%2Fdp%2FB0DNMMZC8T%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM%26dib_tag%3Dse%26keywords%3Dsweat%2Bshirts%26qid%3D1747738007%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71CDBETvF9L._AC_UL320_.jpg,₹649,₹999
Trillion,https://www.amazon.in/Trillion-Half-Zipper-Solid-Sweatshirt/dp/B0DNZXMQCT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM&dib_tag=se&keywords=sweat+shirts&qid=1747738007&sr=8-5,https://m.media-amazon.com/images/I/51CRDDG6s4L._AC_UL320_.jpg,₹799,"₹1,999"
Allen Solly,https://www.amazon.in/Allen-Solly-Sweatshirt-ASSTORGPM88973L_Maroon-19-1726/dp/B07DPV9NRP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM&dib_tag=se&keywords=sweat+shirts&qid=1747738007&sr=8-6,https://m.media-amazon.com/images/I/71G-VJLjPaL._AC_UL320_.jpg,₹749,"₹1,499"
DENIMHOLIC,https://www.amazon.in/DENIMHOLIC-Cotton-Sweater-Knitted-Sweaters/dp/B0DL4H8M2Z/ref=sr_1_7?dib=eyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM&dib_tag=se&keywords=sweat+shirts&qid=1747738007&sr=8-7,https://m.media-amazon.com/images/I/71gvk+PdtEL._AC_UL320_.jpg,₹895,"₹1,999"
JVX,https://www.amazon.in/JVX-Sweatshirts-Unisex-Hoodie-SWEATSHIRT-02/dp/B0DGTZG1M6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM&dib_tag=se&keywords=sweat+shirts&qid=1747738007&sr=8-8,https://m.media-amazon.com/images/I/51sSJUx8mwL._AC_UL320_.jpg,₹529,"₹2,999"
LEOTUDE,https://www.amazon.in/LEOTUDE-Regular-Loopknit-Sweatshirt-W11_BlackGrey_P_Black_M/dp/B07KYXFB87/ref=sr_1_9?dib=eyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM&dib_tag=se&keywords=sweat+shirts&qid=1747738007&sr=8-9,https://m.media-amazon.com/images/I/51qrnOaA7oL._AC_UL320_.jpg,₹399,"₹1,599"
Van Heusen,https://www.amazon.in/Van-Heusen-Regular-Sweat-Shirt/dp/B0D4TTNML5/ref=sr_1_10?dib=eyJ2IjoiMSJ9.f8PRoVF2w5nbMbv6FKQFS97EuTNJX_ZZ0urEZtWW3GqBWKlj5Y385fDYDehzQUTGzntz0OAJEH79wnM7Am6K697_90SGuW8bFsYXlNGV_JxffWekcoTX6wBnJ2VXIWFvolzW12SJneWXqvjeqkcaKoBZsX7dmFhQy_1i8isuRtAPoyqf2cKur2lAxLO5ojb8MwVsxph_1M8N0UGnq5-v2FO0YwP6UB8X6419gZVyts5pz3zCduWOjsktn6QLDuKuJihxcFi01TrVB1mScLk-DuRN9BZjrtcms062Pi6yuvA.zrKe8lZklRv220EzjfacVvIULRd5InhsFsAd86awgyM&dib_tag=se&keywords=sweat+shirts&qid=1747738007&sr=8-10,https://m.media-amazon.com/images/I/61uR0UFSxnL._AC_UL320_.jpg,"₹1,120.29","₹1,579"
