Product Name,Product Link,Image URL,Price,Original Price
Boldfit,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTYyMTM0NDU4NjQ5ODMzOjE3NDc3MzgwNTQ6c3BfYXRmOjMwMDUzNTc5Nzk1NTUzMjo6MDo6&url=%2FBoldfit-Everyday-Multipurpose-Training-Trousers%2Fdp%2FB0DXKJ68TP%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34%26dib_tag%3Dse%26keywords%3Dtrack%2Bpants%26qid%3D1747738054%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51QcRza6TfL._AC_UL320_.jpg,"₹1,499","₹1,999"
U.S. POLO ASSN.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTYyMTM0NDU4NjQ5ODMzOjE3NDc3MzgwNTQ6c3BfYXRmOjMwMDA1MDA5NTM1NTMzMjo6MDo6&url=%2FU-S-POLO-ASSN-Comfort-Polyester%2Fdp%2FB0819WPCTG%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34%26dib_tag%3Dse%26keywords%3Dtrack%2Bpants%26qid%3D1747738054%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/615PGrEr-cL._AC_UL320_.jpg,"₹1,169","₹1,299"
DAMENSCH,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTYyMTM0NDU4NjQ5ODMzOjE3NDc3MzgwNTQ6c3BfYXRmOjMwMDQzMDc3Njk0NDUzMjo6MDo6&url=%2FDAMENSCH-Regular-Microfibre-Elastane-Comfortable%2Fdp%2FB0DK99SBXC%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34%26dib_tag%3Dse%26keywords%3Dtrack%2Bpants%26qid%3D1747738054%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61nXHo7YpdL._AC_UL320_.jpg,"₹1,454","₹1,499"
Amazon Brand - Symbol,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTYyMTM0NDU4NjQ5ODMzOjE3NDc3MzgwNTQ6c3BfYXRmOjMwMDQ5MTEwNzcxMzQzMjo6MDo6&url=%2FAmazon-Brand-Symbol-KP17-01_Black-_XX-Large%2Fdp%2FB079W2PLZY%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34%26dib_tag%3Dse%26keywords%3Dtrack%2Bpants%26qid%3D1747738054%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61DqgkPEkSL._AC_UL320_.jpg,₹519,"₹1,299"
Mehrang,https://www.amazon.in/Mehrang-Joggers-Running-Multipurpose-Activewear/dp/B0DHD9VT62/ref=sr_1_5?dib=eyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34&dib_tag=se&keywords=track+pants&qid=1747738054&sr=8-5,https://m.media-amazon.com/images/I/51-AsxvFYxL._AC_UL320_.jpg,₹375,"₹2,999"
Urban Buccachi,https://www.amazon.in/Urban-Buccachi-TRK-001-XXL-Dark-Grey/dp/B0F222T5YY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34&dib_tag=se&keywords=track+pants&qid=1747738054&sr=8-6,https://m.media-amazon.com/images/I/51qTU3VBxlL._AC_UL320_.jpg,₹351,₹999
Generic,https://www.amazon.in/Athletic-Stripes-Drawstring-Regular-Standard/dp/B0DY6J1VX1/ref=sr_1_7?dib=eyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34&dib_tag=se&keywords=track+pants&qid=1747738054&sr=8-7,https://m.media-amazon.com/images/I/61HAFl8on3L._AC_UL320_.jpg,₹299,"₹2,499"
QUIXEL,https://www.amazon.in/QUIXEL-Track-Cotton-Regular-Alpha/dp/B0D9N7FYLH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34&dib_tag=se&keywords=track+pants&qid=1747738054&sr=8-8,https://m.media-amazon.com/images/I/51I6CzoQFVL._AC_UL320_.jpg,₹474,₹999
GRECIILOOKS,https://www.amazon.in/GRECIILOOKS-Regular-Track-Pant-Gl-Tp-1012-M-Black/dp/B0CXPW2X2K/ref=sr_1_9?dib=eyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34&dib_tag=se&keywords=track+pants&qid=1747738054&sr=8-9,https://m.media-amazon.com/images/I/51dBRYK6ZEL._AC_UL320_.jpg,₹499,"₹1,999"
Samfor,https://www.amazon.in/Samfor-Stylish-Multiple-Pockets-Regular/dp/B0DV3RGM39/ref=sr_1_10?dib=eyJ2IjoiMSJ9.47NojHEljKCCs6ZhlaJR9zWVXV0KcYFYSx5spHATvOFE8tDa60-_tyrIidcb14qA4SY3cE44DhNHAO-cgLiP-oMg1Qyh5sk9llCTqzGphQWqwCXBS8Q2xLCHMFLoU43ZU2P8GQDh0hmpNU0eez7CcL3R1Lll2ZjBOf9mLRXSqd2FD7x0QxkjzA98i3BjFwdbliP0u95YGKznml4h3Jdqd43nLV0fA2FygghFeUz7JUKtiWgv9T3LALT6EshXSkmpg7ycYb6DzwSRtFoVQCoC14s0ulrkdSa9lILrDmY1Gug.08FNHPFwFSwyZhkhrDg7hrqrdW9WGdL_IHbEW2Kcv34&dib_tag=se&keywords=track+pants&qid=1747738054&sr=8-10,https://m.media-amazon.com/images/I/4120-Rs51YL._AC_UL320_.jpg,₹459,"₹1,999"
