Product Name,Product Link,Image URL,Price,Original Price
CreativiT,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTA4NTUwMTQyNzE4NjAyOjE3NDc3MzgxNTE6c3BfYXRmOjMwMDU2NDA1NDAyNTMzMjo6MDo6&url=%2FCreativiT-Unisex-T-Shirt-Recycled-Multicolour%2Fdp%2FB0F7LDGZWW%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E%26dib_tag%3Dse%26keywords%3Dt-shirts%26qid%3D1747738151%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/6177Vz8mpoL._AC_UL320_.jpg,₹699,₹233
Troit,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTA4NTUwMTQyNzE4NjAyOjE3NDc3MzgxNTE6c3BfYXRmOjMwMDU1MjU2MTEzMTYzMjo6MDo6&url=%2FTroit-T-Shirt-T-Shirts-Breathable-Stylish%2Fdp%2FB0F7FDY7V6%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E%26dib_tag%3Dse%26keywords%3Dt-shirts%26qid%3D1747738151%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51rexGfS9nL._AC_UL320_.jpg,₹749,₹3.75
Mack Jonney,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTA4NTUwMTQyNzE4NjAyOjE3NDc3MzgxNTE6c3BfYXRmOjMwMDU2MTg3NTY1MjUzMjo6MDo6&url=%2FMack-Jonney-Regular-Sleeves-Men-M833%2Fdp%2FB0F7FFPQZN%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E%26dib_tag%3Dse%26keywords%3Dt-shirts%26qid%3D1747738151%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61s8QIvjk4L._AC_UL320_.jpg,₹329,₹999
Generic,https://www.amazon.in/Irregular-Geometric-Pattern-Alphabet-Polo-Blue-L/dp/B0DMWNS728/ref=sr_1_5?dib=eyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E&dib_tag=se&keywords=t-shirts&qid=1747738151&sr=8-5,https://m.media-amazon.com/images/I/61HS4sTDnPL._AC_UL320_.jpg,₹379,"₹1,499"
BULLMER,https://www.amazon.in/BULLMER-Trendy-Printed-Cotton-Sleeve/dp/B0DK4VQ5N9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E&dib_tag=se&keywords=t-shirts&qid=1747738151&sr=8-6,https://m.media-amazon.com/images/I/61wQoH2CoTL._AC_UL320_.jpg,₹299,₹149.50
Lux Cozi,https://www.amazon.in/Lux-Cozi-Regular-Sleeve-T-Shirt/dp/B0C96YMKS3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E&dib_tag=se&keywords=t-shirts&qid=1747738151&sr=8-7,https://m.media-amazon.com/images/I/61Fh0EZ3oYL._AC_UL320_.jpg,₹349,₹380
boffi ...,https://www.amazon.in/boffi-Oversized-T-Shirt-Shoulder-Regular/dp/B0DNBJ2W2X/ref=sr_1_8?dib=eyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E&dib_tag=se&keywords=t-shirts&qid=1747738151&sr=8-8,https://m.media-amazon.com/images/I/41h1CpignKL._AC_UL320_.jpg,₹249,₹799
BULLMER,https://www.amazon.in/BULLMER-Trendy-Printed-Oversized-T-Shirt/dp/B0CC33LSMD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E&dib_tag=se&keywords=t-shirts&qid=1747738151&sr=8-9,https://m.media-amazon.com/images/I/612Rl6GKHoL._AC_UL320_.jpg,₹279,"₹1,499"
Allen Solly,https://www.amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_Large/dp/B06Y2FG6R7/ref=sr_1_10?dib=eyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E&dib_tag=se&keywords=t-shirts&qid=1747738151&sr=8-10,https://m.media-amazon.com/images/I/71eUwDk8z+L._AC_UL320_.jpg,₹656.10,"₹1,099"
Lymio,https://www.amazon.in/Lymio-T-Shirt-Shirt-polo-30-33-Chiku/dp/B0D6N2SHT9/ref=sr_1_11?dib=eyJ2IjoiMSJ9.d9dzIslGtOn6c1OBEbFFHS3K3Hxa5xyJ5CDwtxQzvigB3KfZmHFGvseYdenvOijyj5SeQ8fSmrIHl7GGc3hooyd20Ud_M7J2eKXRxFLo4j42sRTENGSXwvBuozq2jF0M4gx2U-hEvQdRDECoiSCeSooxvBxWXPig3AayCAW3razSH8_cts5W9FRRvKl6Pwhrd-RTJVo4XQ892Usytlg68hLOoWoQm4pBBupOJFA-K3G3OUOZyTazDj-iFdUlEt1CshUFu3USuJXfMONWyZNz41PGsBToa0pA_bPa76dn1DA.wVvH_boytUGv4hp9WwM4uoJwVjmrSd2l_QHmNT5c11E&dib_tag=se&keywords=t-shirts&qid=1747738151&sr=8-11,https://m.media-amazon.com/images/I/61J70J3DBwL._AC_UL320_.jpg,₹399,"₹2,999"
