Product Name,Product Link,Image URL,Price,Original Price
LAZINA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTg4MDQ2ODI2NDkzMDA5OjE3NDc3MzgyMDE6c3BfYXRmOjMwMDU2MTMzMzA2NTEzMjo6MDo6&url=%2FLAZINA-Leather-Confidence-Everyday-Functionality%2Fdp%2FB0F7RQ2YZ6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA%26dib_tag%3Dse%26keywords%3Dwallets%26qid%3D1747738201%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71wL4dPp7sL._AC_UL320_.jpg,₹425,"₹2,300"
Tommy Hilfiger,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTg4MDQ2ODI2NDkzMDA5OjE3NDc3MzgyMDE6c3BfYXRmOjMwMDM1NTYyODEwNzYzMjo6MDo6&url=%2FTommy-Hilfiger-Wallet-TH-FELIXGCW03%2Fdp%2FB07Z9LD5KR%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA%26dib_tag%3Dse%26keywords%3Dwallets%26qid%3D1747738201%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71TPFlJ5FjL._AC_UL320_.jpg,"₹1,219","₹2,499"
Custom,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTg4MDQ2ODI2NDkzMDA5OjE3NDc3MzgyMDE6c3BfYXRmOjMwMDIxMjU0MzU4ODEzMjo6MDo6&url=%2FThebaegift-Personalized-Customized-Anniversary-Employees%2Fdp%2FB0CVQHQPML%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA%26dib_tag%3Dse%26keywords%3Dwallets%26qid%3D1747738201%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/615rYZ2qzSL._AC_UL320_.jpg,₹474,"₹1,999"
HORNBULL,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTg4MDQ2ODI2NDkzMDA5OjE3NDc3MzgyMDE6c3BfYXRmOjIwMDM5NTY0NzE3NzA0OjowOjo&url=%2FHornbull-Denial-Navy-Leather-Wallet%2Fdp%2FB085LFPKQB%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA%26dib_tag%3Dse%26keywords%3Dwallets%26qid%3D1747738201%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81zszsf9IWL._AC_UL320_.jpg,₹439,"₹2,499"
WildHorn,https://www.amazon.in/WildHorn-Brown-Wallet-WH2052-Crackle/dp/B07C3VH84K/ref=sr_1_5?dib=eyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA&dib_tag=se&keywords=wallets&qid=1747738201&sr=8-5,https://m.media-amazon.com/images/I/71DROq1OPlL._AC_UL320_.jpg,₹299,"₹1,499"
WildHorn,https://www.amazon.in/WildHorn-Brown-Mens-Wallet-WH2066A/dp/B07BMT1VSS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA&dib_tag=se&keywords=wallets&qid=1747738201&sr=8-6,https://m.media-amazon.com/images/I/71vftL1RylL._AC_UL320_.jpg,₹298,"₹1,499"
URBAN FOREST,https://www.amazon.in/Forest-Oliver-Blocking-Leather-Wallet/dp/B07XTJDJHN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA&dib_tag=se&keywords=wallets&qid=1747738201&sr=8-7,https://m.media-amazon.com/images/I/71jCRAMYlRL._AC_UL320_.jpg,₹599,"₹2,000"
NAPA HIDE,https://www.amazon.in/NAPA-HIDE-Handcrafted-Compartments-Transparent/dp/B083ZMYK85/ref=sr_1_8?dib=eyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA&dib_tag=se&keywords=wallets&qid=1747738201&sr=8-8,https://m.media-amazon.com/images/I/71rjl9zaCDL._AC_UL320_.jpg,₹299,"₹1,499"
Storite,https://www.amazon.in/Storite-Leather-Vertical-Credit-Holder/dp/B098QN3Y5P/ref=sr_1_9?dib=eyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA&dib_tag=se&keywords=wallets&qid=1747738201&sr=8-9,https://m.media-amazon.com/images/I/81hwmX0eDqL._AC_UL320_.jpg,₹299,"₹1,999"
WildHorn,https://www.amazon.in/WILDHORN%C2%AE-Carter-Leather-Wallet-Oliver/dp/B08P5M592H/ref=sr_1_10?dib=eyJ2IjoiMSJ9.laje_yMNXp62Tidm3clmpqdRK3A_m9C9qrMSQcgzJa3gvQN2KMn9SQurmIXSndc7QxqB7FDvGkVC9DZ4e5-QP91v9H8TuyYlG85Vhlv1XVyqTG9YmRg_p2Rg36T0O9tu_ZOrnFhN522csBZRxY4QMR0D1VJgpRPGwPyX6W-a98u6N62odQ3__NlB67k60nIaqpgck2KGM0hmvqtUje8lO1eUAW7tkuqx8J94zrBm2kgDAvHmGbaQ8ChewSOOJbxNC5j7wm4QrrM0GcvhAljYWyP036yYd0k9HIFv3xVpTu0.06HdRO4y1ztkp6h6AT_wVYSxZ0R-rup79Z97eQ11HjA&dib_tag=se&keywords=wallets&qid=1747738201&sr=8-10,https://m.media-amazon.com/images/I/71KGA1PZeLL._AC_UL320_.jpg,₹478,"₹2,499"
