Product Name,Product Link,Image URL,Price,Original Price
Fire-Boltt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODUzMjkzODQwNzQzODM1OjE3NDc3MzgyNTE6c3BfYXRmOjMwMDIwMjI5ODg3ODEzMjo6MDo6&url=%2FFire-Boltt-Bluetooth-Calling-Assistance-Resolution%2Fdp%2FB0BF563HB4%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88%26dib_tag%3Dse%26keywords%3Dwatches%26qid%3D1747738251%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61VvQWExD0L._AC_UL320_.jpg,"₹1,399","₹19,999"
Fire-Boltt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODUzMjkzODQwNzQzODM1OjE3NDc3MzgyNTE6c3BfYXRmOjMwMDE4ODc5NDQ5MjQzMjo6MDo6&url=%2FFire-Boltt-Calling-Display-Nano-SIM-Battery%2Fdp%2FB0CXXDG3LS%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88%26dib_tag%3Dse%26keywords%3Dwatches%26qid%3D1747738251%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71aJJQtVnoL._AC_UL320_.jpg,"₹1,949","₹19,999"
boAt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODUzMjkzODQwNzQzODM1OjE3NDc3MzgyNTE6c3BfYXRmOjMwMDUxNDY2NDEwNjczMjo6MDo6&url=%2FboAt-Infinity-Extensive-Battery-Functional%2Fdp%2FB0DZ2PDXLS%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88%26dib_tag%3Dse%26keywords%3Dwatches%26qid%3D1747738251%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71FFa3U4SzL._AC_UL320_.jpg,"₹1,599","₹5,999"
Fire-Boltt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODUzMjkzODQwNzQzODM1OjE3NDc3MzgyNTE6c3BfYXRmOjMwMDMwMjE1MjMxMTEzMjo6MDo6&url=%2FFire-Boltt-Dominian-Stainless-Resolution-Bluetooth%2Fdp%2FB0D8KW13MY%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88%26dib_tag%3Dse%26keywords%3Dwatches%26qid%3D1747738251%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71dbqX65GLL._AC_UL320_.jpg,"₹1,899","₹21,000"
TIMEWEAR,https://www.amazon.in/TIMEWEAR-Functioning-White-Chain-Watch/dp/B07MDGSP8F/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88&dib_tag=se&keywords=watches&qid=1747738251&sr=8-6,https://m.media-amazon.com/images/I/81nj6IlZpVL._AC_UL320_.jpg,₹299,"₹1,799"
LOUIS DEVIN,https://www.amazon.in/LOUIS-DEVIN-Silicone-Analog-LD-BK054-BLACK/dp/B0BD5R89RQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88&dib_tag=se&keywords=watches&qid=1747738251&sr=8-7,https://m.media-amazon.com/images/I/61LO6l4zB4L._AC_UL320_.jpg,₹369,"₹2,199"
Matrix,https://www.amazon.in/Matrix-Minimalist-Colour-Softest-Silicone/dp/B0F2FD5VCD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88&dib_tag=se&keywords=watches&qid=1747738251&sr=8-8,https://m.media-amazon.com/images/I/61V9NlP5unL._AC_UL320_.jpg,₹199,"₹1,999"
Matrix,https://www.amazon.in/Matrix-Antique-Softest-Silicone-Analog/dp/B0CK6N9VDC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88&dib_tag=se&keywords=watches&qid=1747738251&sr=8-9,https://m.media-amazon.com/images/I/711NXCmUfbL._AC_UL320_.jpg,₹298,"₹1,999"
TIMEWEAR,https://www.amazon.in/TIMEWEAR-Analog-Hands-Brown-Leather/dp/B07DN93B9R/ref=sr_1_11?dib=eyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88&dib_tag=se&keywords=watches&qid=1747738251&sr=8-11,https://m.media-amazon.com/images/I/81CwsCvUWqL._AC_UL320_.jpg,₹299,"₹2,199"
Noise,https://www.amazon.in/Noise-Launched-Bluetooth-Calling-Tracking/dp/B0BJ72WZQ7/ref=sr_1_12?dib=eyJ2IjoiMSJ9.FLn1Ts5CejXl8olGBtsGhLo-xKyOj8AooTZKVnSPKmja3s1wAbMIffTUI7ilAp9eWW_YdU2Z6019OLPucVpYac3Rbh8n3k9ACfPq6v3a09HhdwUNUNlA8M4qEhFIIKKeas-hbeCheRNU_-ycQMWhmu0O5_MtQlTRWefvozaYVMYFUGspVo3P4L7TFzpivXxMbEjh405z_tYiBlsFtsi_KGag7ee5OhUFmc-eUIYHj5wuYSSWPs8rTB5pCHxfGTC4zE114ME4iiUlPPl4q77kXTtK11d8LWqPcsXpCs7VYIg.mF2GeopKz64Tt6VN5pg3KN046BfZRgp3I_7daaELZ88&dib_tag=se&keywords=watches&qid=1747738251&sr=8-12,https://m.media-amazon.com/images/I/61-vRq2ulOL._AC_UL320_.jpg,"₹1,399","₹4,999"
