Product Name,Product Link,Image URL,Price,Original Price
"HUNDRED Aluminium Powertek 100 (Set of 2) Badminton Racket with Full Cover (115G, White/Black)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTczNDUyOTg4ODYxMjkxOjE3NDc3MzkzNjI6c3BfYXRmOjMwMDUzMjkxOTY5NTMzMjo6MDo6&url=%2FHUNDRED-Aluminium-Powertek-Badminton-Racket%2Fdp%2FB0CGNC6XCW%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0%26dib_tag%3Dse%26keywords%3Dbadminton%26qid%3D1747739362%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/616SuizSPTL._AC_UL320_.jpg,₹579,"₹28,950"
HUNDRED POWERTEK 1000 PRO Graphite Strung Badminton Racket with Full Racket Cover for Intermediate Players,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTczNDUyOTg4ODYxMjkxOjE3NDc3MzkzNjI6c3BfYXRmOjMwMDUyOTQxNTM3NDMzMjo6MDo6&url=%2FHUNDRED-POWERTEK-Graphite-Badminton-Intermediate%2Fdp%2FB0BT2BFQH6%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0%26dib_tag%3Dse%26keywords%3Dbadminton%26qid%3D1747739362%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61sd9FUebQL._AC_UL320_.jpg,₹882,"₹2,290"
"HUNDRED Graphite Powertek 2000 Pro Badminton Racket with Full Cover (90G, White)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTczNDUyOTg4ODYxMjkxOjE3NDc3MzkzNjI6c3BfYXRmOjMwMDUyOTQxNTM3NDczMjo6MDo6&url=%2FHUNDRED-POWERTEK-Badminton-Racket-Cover%2Fdp%2FB0CGNFTDYS%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0%26dib_tag%3Dse%26keywords%3Dbadminton%26qid%3D1747739362%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61P-aDr7M6L._AC_UL320_.jpg,₹999,"₹99,900"
Konex Lightweight Aluminium Badminton Racquet for Beginners & Intermediates | Durable Frame with Full Cover Bag - Yellow (Pack of 1),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTczNDUyOTg4ODYxMjkxOjE3NDc3MzkzNjI6c3BfYXRmOjMwMDUyNzAzMDE3MjkzMjo6MDo6&url=%2FLightweight-Aluminium-Badminton-Beginners-Intermediates%2Fdp%2FB0DWN6NNX1%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0%26dib_tag%3Dse%26keywords%3Dbadminton%26qid%3D1747739362%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81dSAOjwTsL._AC_UL320_.jpg,₹399,₹599
YONEX ZR 100 light Aluminium Strung Badminton Racket with Full Racket Cover (Red/White) | For Beginners | 95 grams | Maximum String Tension - 26lbs,https://www.amazon.in/ZR-Aluminum-Strung-Badminton-Racquet/dp/B07QWSNTVY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0&dib_tag=se&keywords=badminton&qid=1747739362&sr=8-5,https://m.media-amazon.com/images/I/71fbmu0JIeL._AC_UL320_.jpg,₹529,₹849
Jager-Smith PB 1000 Combo & Featherlite 2 (Pack of 3) Feather Shuttles with Steel Shaft & Full Body Cover,https://www.amazon.in/Jager-Smith-Combo-Featherlite-Feather-Shuttles/dp/B0BT862X9N/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0&dib_tag=se&keywords=badminton&qid=1747739362&sr=8-7,https://m.media-amazon.com/images/I/71ZasK7lWvL._AC_UL320_.jpg,₹399,"₹1,240"
"Silver's Micro Badminton Kit (2 Racquets with Full Cover, 1 Box Feather Shuttlecock Pack of 3), Multicolor",https://www.amazon.in/Silvers-Badminton-Racquets-Shuttlecock-Multicolor/dp/B0D9H14F4L/ref=sr_1_8?dib=eyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0&dib_tag=se&keywords=badminton&qid=1747739362&sr=8-8,https://m.media-amazon.com/images/I/81t8f1jtzJL._AC_UL320_.jpg,₹449,₹999
"HUNDRED Aluminium Powertek 100 (Set of 2) Badminton Racket with Full Cover (115G, White/Black)",https://www.amazon.in/HUNDRED-Aluminium-Powertek-Badminton-Racket/dp/B0CGNC6XCW/ref=sr_1_9?dib=eyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0&dib_tag=se&keywords=badminton&qid=1747739362&sr=8-9,https://m.media-amazon.com/images/I/616SuizSPTL._AC_UL320_.jpg,₹579,"₹28,950"
"FEROC 2 Pieces Aluminium Badminton Racket with 3 Pieces Feather Shuttles with Full-Cover Set,Aluminum, Multicolor (Multicolor)",https://www.amazon.in/FEROC-Aluminium-Badminton-Full-Cover-Multicolor/dp/B0838FSMPM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0&dib_tag=se&keywords=badminton&qid=1747739362&sr=8-10,https://m.media-amazon.com/images/I/71KfSXQ8doL._AC_UL320_.jpg,₹500,₹999
Hipkoo Sports Badminton Racket Set of 2-2 Multi-Coloured Wide Body Aluminium Badminton Rackets with Cover 1 Net and 3 Shuttlecocks Lightweight and Sturdy Ideal for Beginners,https://www.amazon.in/Badminton-Multi-Coloured-Aluminium-Shuttlecocks-Lightweight/dp/B07NC83BDH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.VN8LMMz4cvRbxheNIKJcwzEMHP8I3yTNL4kPysQu7NdGoh1SgiNv-X4vy2sf_OitpxwKuRNIsa2e-FQyXeBJiX9CwM2LUYHX_2I1OkldIyS9mXyRuXUSErFYyLrYCm1aukKl3hc1Im7UrDaa72oXkGJP4HgCpUMauuupPWmAYAM8v054fZOCV8m4LqGhhxyGNzP4gAJDQ92buMN8q3JUU20oC29R9vsYsHL6plvhpFKs8t8hDii2Enrk85E7jzSph23V6qFQIN3m38AVRZ6LvQZdjSIO8xogZBhzgLsuffk.NTUiAql-ZiKoCqoImBLB2R0IYeT8pVY8caurnMyuci0&dib_tag=se&keywords=badminton&qid=1747739362&sr=8-11,https://m.media-amazon.com/images/I/618syzceBsL._AC_UL320_.jpg,₹499,₹4.99
