Product Name,Product Link,Image URL,Price,Original Price
EK Anokha,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MzQ2Njk1ODY2MjA0MTUyOjE3NDc3MzY0ODE6c3BfYXRmOjMwMDQwOTAwNzMxOTczMjo6MDo6&url=%2FEK-Anokha-Stylish-Sandals-Crescent%2Fdp%2FB0D96KD3QR%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ%26dib_tag%3Dse%26keywords%3Dflats%26qid%3D1747736480%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81N9EQl9-sL._AC_UL320_.jpg,"₹1,699","₹2,399"
DRUNKEN,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MzQ2Njk1ODY2MjA0MTUyOjE3NDc3MzY0ODE6c3BfYXRmOjMwMDQwMjgzNDE3NDczMjo6MDo6&url=%2FDRUNKEN-Slippers-Footwear-Chappals-Flamingo%2Fdp%2FB0CQD7BM4P%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ%26dib_tag%3Dse%26keywords%3Dflats%26qid%3D1747736480%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81y7lNY3TLL._AC_UL320_.jpg,₹785,"₹3,299"
HEALTH FIT,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MzQ2Njk1ODY2MjA0MTUyOjE3NDc3MzY0ODE6c3BfYXRmOjMwMDM1NDkxNDY0NzAzMjo6MDo6&url=%2FHEALTH-FIT-Diabetic-Orthopedic-FootwearWomen%2Fdp%2FB0B4JTSDTY%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ%26dib_tag%3Dse%26keywords%3Dflats%26qid%3D1747736480%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51GDFDtEEIL._AC_UL320_.jpg,₹725,₹999
tresmode,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MzQ2Njk1ODY2MjA0MTUyOjE3NDc3MzY0ODE6c3BfYXRmOjMwMDQ3NzkwNzAxMzIzMjo6MDo6&url=%2Ftresmode-AGLAD-Womens-Sandals-Champagne%2Fdp%2FB0DDJ7GQF8%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ%26dib_tag%3Dse%26keywords%3Dflats%26qid%3D1747736480%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61V6dcyXLCL._AC_UL320_.jpg,"₹1,999","₹4,500"
Nowry,https://www.amazon.in/Nowry-Stylish-Fashion-Wedding-Sandals/dp/B0C5N9ZMVN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ&dib_tag=se&keywords=flats&qid=1747736480&sr=8-5,https://m.media-amazon.com/images/I/61gTAaB642L._AC_UL320_.jpg,₹299,₹999
Shoetopia,https://www.amazon.in/Shoetopia-Cross-Strap-Cream-Sandals/dp/B0C6TYJ1XW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ&dib_tag=se&keywords=flats&qid=1747736480&sr=8-6,https://m.media-amazon.com/images/I/51BsMwYc-6L._AC_UL320_.jpg,₹499,"₹1,999"
Shoestail,https://www.amazon.in/Shoestail-Embellished-Fashion-Sandals-Brown40/dp/B0CY2292RX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ&dib_tag=se&keywords=flats&qid=1747736480&sr=8-7,https://m.media-amazon.com/images/I/51HaVGMsSYL._AC_UL320_.jpg,₹499,₹999
WALKAROO,https://www.amazon.in/WALKAROO-Sandal-Womens-Comfortable-Footbed/dp/B0CXY31R92/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ&dib_tag=se&keywords=flats&qid=1747736480&sr=8-8,https://m.media-amazon.com/images/I/71eKO6QWMaL._AC_UL320_.jpg,₹377,₹379
ZaySoo,https://www.amazon.in/ZaySoo-Stylish-Sandals-Footwear-Numeric/dp/B0DS9N5HJN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ&dib_tag=se&keywords=flats&qid=1747736480&sr=8-9,https://m.media-amazon.com/images/I/61rsEgmKTUL._AC_UL320_.jpg,₹459,"₹1,999"
CANVI - TAKE CHANGE TO MAKE CHANGE,https://www.amazon.in/CANVI-Sandals-Synthetic-Leather-numeric_4/dp/B09RPQSGPL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8D5L2n1s8f7tDJAmePtjQ3noUgdVPZArOuBOUn8K7CQ9X1ymdWJVc5Xm_7aZvPinpnBdqjaJfwGud2lnF8901KpG6i5g0jT-XRAlukYaczWiMHChTWeXAQ83lFtY421DC2A_q7I93fRs7pNxHjEhcmFrHOeFgGB6We3YlP7PVSBt64zzZ93iW-pUDUgGsnhfw184SHyCzeV-SwBxueQYj4mLiSU64iFB1ViksXb0ApStnsWr51YrmKKUf3aX5JYcYp1L42mGSUx559P7u2p3ug42_Cdbt4o4isQzGImYU7U.BsxsPyTCaTB3bdt6DdezA5GGQcLj5HzBPnhcnSRv2KQ&dib_tag=se&keywords=flats&qid=1747736480&sr=8-10,https://m.media-amazon.com/images/I/61ZLrNSnihL._AC_UL320_.jpg,₹579,"₹1,499"
