Product Name,Product Link,Image URL,Price,Original Price
Indulekha Bringha Ayurvedic Hair Oil 100 ml|| Hair Fall Control and Hair Growth with Bringharaj & Coconut Oil - Comb Applicator Bottle for Men & Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDgwNTc4NzUyMDQwNDE5OjE3NDc3MzYzNzE6c3BfYXRmOjMwMDI3NTQ4ODE5OTkzMjo6MDo6&url=%2FIndulekha-Bringha-Ayurvedic-Control-Bringharaj%2Fdp%2FB00S850C5C%2Fref%3Dsr_1_1_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI%26dib_tag%3Dse%26keywords%3Dhair%2Bcare%26qid%3D1747736371%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61IxF1ljJHL._AC_UL320_.jpg,₹367,₹367
"Dove Intense Repair Hair Conditioner, For Damaged And Frizzy Hair, 175 ml",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDgwNTc4NzUyMDQwNDE5OjE3NDc3MzYzNzE6c3BfYXRmOjMwMDAxOTU4NDU3NTMzMjo6MDo6&url=%2FDove-Therapy-Intense-Repair-Conditioner%2Fdp%2FB07H9Y6YHX%2Fref%3Dsr_1_2_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI%26dib_tag%3Dse%26keywords%3Dhair%2Bcare%26qid%3D1747736371%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41E3A9tMO0L._AC_UL320_.jpg,₹143,₹81.71
"L'Oréal Professionnel Absolut Repair Mask for Dry & Damaged Hair - 250ml | Professional mask for Strengthening and Repairing Hair, With Protein & Omega-9, For Men & Women",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDgwNTc4NzUyMDQwNDE5OjE3NDc3MzYzNzE6c3BfYXRmOjMwMDUyOTkyNDIxMTUzMjo6MDo6&url=%2FLOr%25C3%25A9al-Professionnel-Absolut-Repair-Damaged%2Fdp%2FB07NDXJGF8%2Fref%3Dsr_1_3_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI%26dib_tag%3Dse%26keywords%3Dhair%2Bcare%26qid%3D1747736371%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51zm4luUSTL._AC_UL320_.jpg,₹891,₹356.40
"L'Oreal Paris Shampoo, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, 340ml",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDgwNTc4NzUyMDQwNDE5OjE3NDc3MzYzNzE6c3BfYXRmOjMwMDUwOTQ3MzYyMzkzMjo6MDo6&url=%2FLOreal-Paris-Advanced-Repairing-Shampoo%2Fdp%2FB008KH31QU%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI%26dib_tag%3Dse%26keywords%3Dhair%2Bcare%26qid%3D1747736371%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61rnvBCum4L._AC_UL320_.jpg,₹239,₹70.29
"Hair & Care Damage Repair Non-Sticky Hair Oil with Aloe Vera, Olive Oil & Green Tea, 500 ml",https://www.amazon.in/Hair-Care-Fruit-Oils-Green/dp/B00CBRJ6H8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI&dib_tag=se&keywords=hair+care&qid=1747736371&sr=8-5,https://m.media-amazon.com/images/I/61XP45+BZFL._AC_UL320_.jpg,₹230,₹46
"Ross Round Scalp Massager & Shampoo Brush – Soft Bristles for Gentle Scalp Care, Deep Cleaning, Dandruff Prevention, Oil Control, Relaxing Head Massage, and Enhanced Hair Wash Experience (Textured White)",https://www.amazon.in/Ross-Massager-Bristles-Exfoliating-Anti-Dandruff/dp/B0CFHKV1X1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI&dib_tag=se&keywords=hair+care&qid=1747736371&sr=8-6,https://m.media-amazon.com/images/I/61yqVLIKscL._AC_UL320_.jpg,₹149,₹199
Soulflower Rosemary Water Spray for Hair Growth | Niacinamide & Mint | Hair Regrowth Spray | Instant Shine | Strengthens Hair Roots & Strand | Anti Hair Fall Cooling & Relaxing | All Hair Types 100ml,https://www.amazon.in/Soulflower-Rosemary-protection-Niacinamide-peppermint/dp/B0D2XH28NC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI&dib_tag=se&keywords=hair+care&qid=1747736371&sr=8-7,https://m.media-amazon.com/images/I/71MR7o25rKL._AC_UL320_.jpg,₹149,₹149
"L'Oreal Paris Hyaluron Moisture Hydra Filling Leave-in Night Cream, Powered by Hyaluronic Acid, For Dry & Dehydrated Hair, Volume-180ml, Makes hair frizz-free, bouncy and hydrated for up to 72HR",https://www.amazon.in/Paris-Hyaluronic-Dehydrated-Hyaluron-Moisture/dp/B0B6XZBQ1G/ref=sr_1_8_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI&dib_tag=se&keywords=hair+care&qid=1747736371&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-8,https://m.media-amazon.com/images/I/41uM2GNXefL._AC_UL320_.jpg,₹384,₹213.33
"L'Oreal Paris Serum, Protection and Shine, For Dry, Flyaway & Frizzy Hair, With 6 Rare Flower Oils, Extraordinary Oil, 100ml",https://www.amazon.in/LOreal-Paris-Extraordinary-Serum-Women/dp/B08FW1GJ4F/ref=sr_1_9_mod_primary_new?dib=eyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI&dib_tag=se&keywords=hair+care&qid=1747736371&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-9,https://m.media-amazon.com/images/I/61GGg1vs3DL._AC_UL320_.jpg,₹430,₹430
Hipster Round Hair Brush & Manual Scalp Massager - Shampoo Hair Brush with Super Soft Bristles for Exfoliating & Anti-Dandruff (Aqua),https://www.amazon.in/Hipster-Round-Brush-Manual-Massager/dp/B0CL4FZGBH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.vag4768Rs_fzvBNF4LfxFCDkcpFKLbBA0GvTEPyFeyHlR7eu8FpEymbyPGkCslOWnMRiuHNCxo2a1JZWhm5miGf6c4oz9OA88xG2XKKs3kxjhG6Rk7Ms2MGSFB5CSwID74T99Udh7bTJBrUXNNTlh2ts2-W-WNXYR5F6w09UB52hw0SxlnOtsjxeHrLM3yLwZibFd9AXqQjdwKssSl7hDDUqeysLvEiTENfyJqaruaEqQYnObqTUvHj10imOo2q2lRTGaJuWX3GXClmEuQKC29DDA8Jx3AIJpxmADWpZQOY.Hyat8w7LKBj54hj5NpP2RuiVQEg34oWdQpF3CugxdZI&dib_tag=se&keywords=hair+care&qid=1747736371&sr=8-10,https://m.media-amazon.com/images/I/71691683RrL._AC_UL320_.jpg,₹79,₹110
