Product Name,Product Link,Image URL,Price,Original Price
Lavie,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjExODYzNTM1MDI3MTc4OjE3NDc3MzYzOTk6c3BfYXRmOjMwMDU0ODk1OTE1MzYzMjo6MDo6&url=%2FLavie-Betula-Womens-Tote-Bag%2Fdp%2FB08HWFWGNW%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18%26dib_tag%3Dse%26keywords%3Dhand%2Bbags%26qid%3D1747736399%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/611akdMn+nL._AC_UL320_.jpg,₹899,"₹3,499"
Lavie,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjExODYzNTM1MDI3MTc4OjE3NDc3MzYzOTk6c3BfYXRmOjMwMDU0ODk1OTE1NDUzMjo6MDo6&url=%2FLavie-Spring-Summer-Womens-Tote%2Fdp%2FB081KGGL8V%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18%26dib_tag%3Dse%26keywords%3Dhand%2Bbags%26qid%3D1747736399%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71snBOUnNGS._AC_UL320_.jpg,₹900,"₹3,599"
Lavie,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjExODYzNTM1MDI3MTc4OjE3NDc3MzYzOTk6c3BfYXRmOjMwMDU0OTg0NTEzOTEzMjo6MDo6&url=%2FLavie-Womens-Ushawu-Satchel-Handbag%2Fdp%2FB0B3J937SY%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18%26dib_tag%3Dse%26keywords%3Dhand%2Bbags%26qid%3D1747736399%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91DLEpPrCNL._AC_UL320_.jpg,₹999,"₹4,199"
Lavie,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjExODYzNTM1MDI3MTc4OjE3NDc3MzYzOTk6c3BfYXRmOjMwMDU0ODk1OTE1MzczMjo6MDo6&url=%2FLavie-Extra-Large-Malnov-Womens%2Fdp%2FB097MVY21T%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18%26dib_tag%3Dse%26keywords%3Dhand%2Bbags%26qid%3D1747736399%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61Ig5jiQfpL._AC_UL320_.jpg,₹999,"₹3,599"
SIJJEEL,https://www.amazon.in/SIJJEEL-Ladies-Single-Shoulder-Bags/dp/B0F5N396KK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18&dib_tag=se&keywords=hand+bags&qid=1747736399&sr=8-5,https://m.media-amazon.com/images/I/41nRYAxJFuL._AC_UL320_.jpg,₹299,₹999
LEGAL BRIBE,https://www.amazon.in/LEGAL-BRIBE-Textured-Tote-Beige/dp/B0CP84GDFW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18&dib_tag=se&keywords=hand+bags&qid=1747736399&sr=8-6,https://m.media-amazon.com/images/I/71iHbv5vkqL._AC_UL320_.jpg,₹569,"₹2,558"
DANIEL CLARK,https://www.amazon.in/DANIEL-CLARK-Handbags-Women-single/dp/B0DSQLY2YY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18&dib_tag=se&keywords=hand+bags&qid=1747736399&sr=8-7,https://m.media-amazon.com/images/I/71DoyQ38ovL._AC_UL320_.jpg,₹199,₹499
Carrylux,https://www.amazon.in/Carrylux-Croco-Pattern-Tote-Handbag/dp/B0CP9GGP5X/ref=sr_1_8?dib=eyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18&dib_tag=se&keywords=hand+bags&qid=1747736399&sr=8-8,https://m.media-amazon.com/images/I/71M7n4XqWCL._AC_UL320_.jpg,₹474,"₹1,999"
Lavie,https://www.amazon.in/Lavie-Womens-Ushawu-Satchel-Handbag/dp/B0B3J937SY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18&dib_tag=se&keywords=hand+bags&qid=1747736399&sr=8-9,https://m.media-amazon.com/images/I/91DLEpPrCNL._AC_UL320_.jpg,₹999,"₹4,199"
EXOTIC,https://www.amazon.in/EXOTIC-HB-424-Punched-Sling/dp/B09RW3DK6W/ref=sr_1_10?dib=eyJ2IjoiMSJ9.TPLYsfbuO9ct6XgqL6qe4gL0OiwPRUr1zsvenTUUH8Yj0kQwB-0b36p8V6HG6SLmp9_lE7M851c4Sn-VgEEKBGkzty2CzXIGwOINuOAYAI5RIjD_KakiX2JXDXi22AG4Ur3k4stF-7vCWvvV-snIhU3iZ7jeyWZzeCBUOEjQ44SB4i4FlMVA-D_QpIk6T5hJSq5SuWCXg3v_pi0elRJtW-mHZVLy2PfNXyn9tddhi9gqX8mEfFoTRokido5JqLcwtWdz3kLrqLjwNdSrqr0afdXx1tlMyZvjcwoIgGG52E0.iJOGN7DhO9DhyljeLWGBoFJwu_ec_cbf24ykzhZIS18&dib_tag=se&keywords=hand+bags&qid=1747736399&sr=8-10,https://m.media-amazon.com/images/I/71oW9ddfGsL._AC_UL320_.jpg,"₹1,279","₹2,999"
