Product Name,Product Link,Image URL,Price,Original Price
Theater,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDQ5NDUwODE1OTM5NTM5OjE3NDc3MzY0MjU6c3BfYXRmOjMwMDU1MzA1MTcyNjQzMjo6MDo6&url=%2FTheater-Twiggy-Comfortable-Stylish-Sandal%2Fdp%2FB0CV4YPJ5X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ%26dib_tag%3Dse%26keywords%3Dheels%26qid%3D1747736425%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DAMCQRAFFSB8ID,https://m.media-amazon.com/images/I/6136r7OSPvL._AC_UL320_.jpg,"₹2,362","₹2,990"
Shoetopia,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDQ5NDUwODE1OTM5NTM5OjE3NDc3MzY0MjU6c3BfYXRmOjMwMDU0MTgxMTY0NDQzMjo6MDo6&url=%2FShoetopia-Retro-Style-White-Platform%2Fdp%2FB0BV6YR9YT%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ%26dib_tag%3Dse%26keywords%3Dheels%26qid%3D1747736425%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51IYZTpubfL._AC_UL320_.jpg,₹699,"₹1,999"
Shoetopia,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDQ5NDUwODE1OTM5NTM5OjE3NDc3MzY0MjU6c3BfYXRmOjMwMDQ0Mzc2MzEyNDUzMjo6MDo6&url=%2FShoetopia-womens-Rose-Gold-Heeled-Sandal%2Fdp%2FB0CQLLDP6D%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ%26dib_tag%3Dse%26keywords%3Dheels%26qid%3D1747736425%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61KABnOaJ1L._AC_UL320_.jpg,₹699,"₹1,999"
Shoetopia,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDQ5NDUwODE1OTM5NTM5OjE3NDc3MzY0MjU6c3BfYXRmOjMwMDU0MTgxMTY0MzYzMjo6MDo6&url=%2FShoetopia-Womens-Wedge-Heel-Pumps%2Fdp%2FB0CXJ3NH1F%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ%26dib_tag%3Dse%26keywords%3Dheels%26qid%3D1747736425%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61mlzkp0TXL._AC_UL320_.jpg,"₹1,199","₹2,999"
Generic,https://www.amazon.in/sandal-Footwear-System-Numeric-Medium/dp/B0F8N3D8LL/ref=sr_1_5?dib=eyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ&dib_tag=se&keywords=heels&qid=1747736425&sr=8-5,https://m.media-amazon.com/images/I/31IgLZPtxWL._AC_UL320_.jpg,₹249,₹999
Shoetopia,https://www.amazon.in/Shoetopia-Women-Girls-Fashion-Sandal/dp/B0BRG4DL4P/ref=sr_1_6?dib=eyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ&dib_tag=se&keywords=heels&qid=1747736425&sr=8-6,https://m.media-amazon.com/images/I/51uS6hzuhrL._AC_UL320_.jpg,₹599,"₹1,999"
Todhwear,https://www.amazon.in/Double-Cut-Sandals-Fashion-Block/dp/B0CKTX2G98/ref=sr_1_7?dib=eyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ&dib_tag=se&keywords=heels&qid=1747736425&sr=8-7,https://m.media-amazon.com/images/I/519t0YrAlXL._AC_UL320_.jpg,₹399,₹899
Shoetopia,https://www.amazon.in/Shoetopia-Casual-Heeled-Sandals-Heel-1700/dp/B0BSCBFJSG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ&dib_tag=se&keywords=heels&qid=1747736425&sr=8-8,https://m.media-amazon.com/images/I/71SrUojOHYL._AC_UL320_.jpg,₹485,₹999
JM LOOKS,https://www.amazon.in/JM-LOOKS-Adjustable-Comfortable-Occasions/dp/B0DK3BB91B/ref=sr_1_9?dib=eyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ&dib_tag=se&keywords=heels&qid=1747736425&sr=8-9,https://m.media-amazon.com/images/I/51u0QYLK-lL._AC_UL320_.jpg,₹689,"₹1,995"
Shoetopia,https://www.amazon.in/Shoetopia-Casual-Heeled-Sandals-Heel-1900/dp/B0BSCB2RD1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.GR8Njjbbjwc-cIPkDnc00lGXF63dXz6zDbi1Y8z3suGaMyWKN8NyiaxJTQmH2__GZPpaxaz39hAVaR5R1o-mtd2Qop65xkSZtRrcJFDvSasMCaMpMTqiQdeg0hy1HnLkNAseu51tIn0Bl3tkLYLx98fghlg6qPeEw_mlCgVOa7lTAlP9ui1zDlZw1HkZbNtm8NDbnAvXbv1F1_I_1h2nENf8lDbOU4_ahkN4B2-pnOnzWJiNVfWsG5Q24biCoSl62Nqpm9AQPn7nQm6-camBCa-BTE6iKWtO3kTvUtvXHzg.yEiu55QUAQ38m3SQ-TVdn2-MewRqoNSFKQjGiz1vyHQ&dib_tag=se&keywords=heels&qid=1747736425&sr=8-10,https://m.media-amazon.com/images/I/71Mp+Yo+vuL._AC_UL320_.jpg,₹599,₹999
