Product Name,Product Link,Image URL,Price,Original Price
TURMS,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjc0OTYwOTAxMTQxMTUzOjE3NDc3MzY0NTI6c3BfYXRmOjMwMDUyMjYyNTA2MTMzMjo6MDo6&url=%2FTURMS-Adventure-Stretchable-Breathable-Availbale%2Fdp%2FB0CG6MMJX6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY%26dib_tag%3Dse%26keywords%3Djeans%26qid%3D1747736452%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71qHJdo50gL._AC_UL320_.jpg,"₹3,134","₹3,999"
INKD,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjc0OTYwOTAxMTQxMTUzOjE3NDc3MzY0NTI6c3BfYXRmOjMwMDQxMzMzNTU0MDMzMjo6MDo6&url=%2FINKD-Mens-Relaxed-Jeans-INKAW24MJN-501_Yale%2Fdp%2FB0DGY1KNK9%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY%26dib_tag%3Dse%26keywords%3Djeans%26qid%3D1747736452%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/710SzpXCqzL._AC_UL320_.jpg,₹599,"₹1,579"
INKD,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjc0OTYwOTAxMTQxMTUzOjE3NDc3MzY0NTI6c3BfYXRmOjMwMDQzMjA0MTY3OTUzMjo6MDo6&url=%2FINKD-Stretchable-Jogger-Jeans-Divine%2Fdp%2FB0C1GRNB3X%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY%26dib_tag%3Dse%26keywords%3Djeans%26qid%3D1747736452%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61tpRIpPoYL._AC_UL320_.jpg,₹849,"₹1,999"
Symbol Premium,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjc0OTYwOTAxMTQxMTUzOjE3NDc3MzY0NTI6c3BfYXRmOjMwMDM0ODU4NzE1ODAzMjo6MDo6&url=%2FSymbol-Premium-Straight-SBP-AW24-WJNS-507_Ice-Blue_30%2Fdp%2FB0DB5G4SNJ%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY%26dib_tag%3Dse%26keywords%3Djeans%26qid%3D1747736452%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/710hsMOWagL._AC_UL320_.jpg,"₹1,999","₹3,499"
KOTTY,https://www.amazon.in/KOTTY-Regular-Distressed-Fashionable-Trendy/dp/B0DWK2B887/ref=sr_1_5?dib=eyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY&dib_tag=se&keywords=jeans&qid=1747736452&sr=8-5,https://m.media-amazon.com/images/I/61dFcpPdJkL._AC_UL320_.jpg,₹476.10,"₹1,999"
Ben Martin,https://www.amazon.in/Ben-Martin-Relaxed-BMW-JJ3-DARK-p4-36_Dark-Blue_36/dp/B019XSHDL8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY&dib_tag=se&keywords=jeans&qid=1747736452&sr=8-6,https://m.media-amazon.com/images/I/616xchp1ECL._AC_UL320_.jpg,₹699,"₹2,499"
TAGAS,https://www.amazon.in/TAGAS-Relaxed-Denim-JeansPant-MDJ-22/dp/B0DZXDCPZT/ref=sr_1_7?dib=eyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY&dib_tag=se&keywords=jeans&qid=1747736452&sr=8-7,https://m.media-amazon.com/images/I/51yBtgTlleL._AC_UL320_.jpg,₹779,"₹2,999"
Ben Martin,https://www.amazon.in/Ben-Martin-Light-Cotton-Oversized/dp/B0D2P78QRT/ref=sr_1_8?dib=eyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY&dib_tag=se&keywords=jeans&qid=1747736452&sr=8-8,https://m.media-amazon.com/images/I/71OBVZ-69WL._AC_UL320_.jpg,₹749,"₹2,999"
London Hills,https://www.amazon.in/London-Hills-Regular-Jeans-Pants/dp/B0D988X95G/ref=sr_1_9?dib=eyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY&dib_tag=se&keywords=jeans&qid=1747736452&sr=8-9,https://m.media-amazon.com/images/I/61PIAyOPNaL._AC_UL320_.jpg,₹599,"₹1,999"
JVX,https://www.amazon.in/JVX-DenimJeans-BaggyJeans-NJJ-04-Numeric/dp/B0DVZGB4BZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.huxHn6Y-3yEdkPugzxJi8JlnX_pRzLN5Ppr0R5cM5KD_aPf5z83Dtl38IhMpBkYuRGxqUpqNDaqQ9n0A18_wknxvIhbtYBv2f8Ry5FltZhs9q_xSb3cx8mno_nbqrRVieQ7VWaibggUOw_Lx3COBai9Po27S1wyuxmeQQKJWy58AR7rOnQTbzYqKaSKWblFspgPMLfg1-1hdaNM9YcFexApWRouqiSJq4hMU4y3CDron8T-wIkfL8dTnud8ZMad-jL3kissqY76Ha3QDdtvXiqnB5gPGBV1YOOOKHSg1TAI.ii6xH7tgn_Qldntbrk7S18CNq7VSyDZdfPlU0hj5XDY&dib_tag=se&keywords=jeans&qid=1747736452&sr=8-10,https://m.media-amazon.com/images/I/51-RX2zyQDL._AC_UL320_.jpg,₹799,"₹3,999"
