Product Name,Product Link,Image URL,Price,Original Price
Selin apparel,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTk5MjE1NjA2NjczMTUwOjE3NDc3MzY4NTE6c3BfYXRmOjMwMDU2NTk5NTE2OTkzMjo6MDo6&url=%2FTrendy-Short-Kurtis-Women-Effortless%2Fdp%2FB0D7TW1YBV%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM%26dib_tag%3Dse%26keywords%3Dkurti%26qid%3D1747736851%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81QeuUCg81L._AC_UL320_.jpg,₹299,₹999
JIMORY,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTk5MjE1NjA2NjczMTUwOjE3NDc3MzY4NTE6c3BfYXRmOjMwMDU1ODEwMTQ3MjYzMjo6MDo6&url=%2FJIMORY-Mandarin-Hip-Length-Pullover-Comfortable%2Fdp%2FB0DZW5SNSG%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM%26dib_tag%3Dse%26keywords%3Dkurti%26qid%3D1747736851%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41dJmiSlR9L._AC_UL320_.jpg,₹749,"₹1,799"
Aurelia,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTk5MjE1NjA2NjczMTUwOjE3NDc3MzY4NTE6c3BfYXRmOjMwMDU0NzU4MzE4NzIzMjo6MDo6&url=%2FAurelia-Womens-Viscose-Regular-23JUA30315-214576_Black%2Fdp%2FB0CJ54N5JK%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM%26dib_tag%3Dse%26keywords%3Dkurti%26qid%3D1747736851%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71mqhEvTCdL._AC_UL320_.jpg,₹799,"₹1,599"
Generic,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTk5MjE1NjA2NjczMTUwOjE3NDc3MzY4NTE6c3BfYXRmOjMwMDU1ODM0MjI3NDkzMjo6MDo6&url=%2FSkyBlue-White-Flower-Printed-Regular%2Fdp%2FB0F7FPZV4Q%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM%26dib_tag%3Dse%26keywords%3Dkurti%26qid%3D1747736851%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51ssAdujvfL._AC_UL320_.jpg,₹299,₹399
GoSriKi,https://www.amazon.in/GoSriKi-Anarkali-Printed-Dupatta-Yellow-GS_L_Yellow_Large/dp/B0DD75GDSL/ref=sr_1_5?dib=eyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM&dib_tag=se&keywords=kurti&qid=1747736851&sr=8-5,https://m.media-amazon.com/images/I/71mX4WATh-L._AC_UL320_.jpg,₹799,"₹2,599"
ANNI DESIGNER,https://www.amazon.in/ANNI-DESIGNER-Straight-DEEKSHA-RED_M_Red_Medium/dp/B0DMT5NY3N/ref=sr_1_6?dib=eyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM&dib_tag=se&keywords=kurti&qid=1747736851&sr=8-6,https://m.media-amazon.com/images/I/51fz-fVBi6L._AC_UL320_.jpg,₹499,"₹2,599"
Max,https://www.amazon.in/Max-Womens-Cotton-Straight-WWDR31006BLUE_Blue/dp/B0CCNTZDKH/ref=sr_1_7?dib=eyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM&dib_tag=se&keywords=kurti&qid=1747736851&sr=8-7,https://m.media-amazon.com/images/I/612fwFvQwqL._AC_UL320_.jpg,₹549,₹699
Sun Fashion And Lifestyle,https://www.amazon.in/Sun-Fashion-Lifestyle-Chanderi-Kt25_Blue_L/dp/B0DQ8D7YR9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM&dib_tag=se&keywords=kurti&qid=1747736851&sr=8-8,https://m.media-amazon.com/images/I/61VXwHSGEuL._AC_UL320_.jpg,₹499,"₹1,499"
ANNI DESIGNER,https://www.amazon.in/ANNI-DESIGNER-Straight-Kozikod-Yellow_M_Yellow_Medium/dp/B0DVLT14TJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM&dib_tag=se&keywords=kurti&qid=1747736851&sr=8-9,https://m.media-amazon.com/images/I/611SIw6KI6L._AC_UL320_.jpg,₹684,"₹2,599"
rytras,https://www.amazon.in/rytras-Womens-Printed-Palazzo-RYT583/dp/B0DBDTJRGR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.RWKm7SqoNvNAGJArO2xmLCntHr6SvH4UN2Qe-NlgKEfOmCrDdn8ur-vvn6kDsD56pspy_wK9PgBOjAL1F0SonS88ZMQJ3DTD_RPs7Pk2JOP5tkL31Dqamt1cfFr3PjDETa7JHE8a6jEAjREMhKe87rpP8fRD_aeMyDHo6LEa9P5rYMpMrx8LxBXOVcDdWM6nHyUMDhJXjJi_2SuEFNVhI_q9QzEDmUjRlzmXRxZU3m-DlDejIDXM00UIhSU6x74wHRjS9U4vbsZ9vve3kJpydWsbzW2eKfTOHsqbpyrRjjk.xNCa7pmpDZyGyP4xOGjWsSGm3XPgBIwjH31Ps0bL0MM&dib_tag=se&keywords=kurti&qid=1747736851&sr=8-10,https://m.media-amazon.com/images/I/61r67q9q9FL._AC_UL320_.jpg,₹659,"₹2,999"
