Product Name,Product Link,Image URL,Price,Original Price
"Lacto Calamine Micellar Water Make Up Remover Liquid | 100ml each - Pack of 2 | Aloe Vera, Green Tea & Niacinamide |Cleansing Water For Face That Removes Make-Up, Excess Oil & Impurities |Alcohol Free",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODUwNTY1NTk1NjgzMjI6MTc0NzczNjUxMTpzcF9hdGY6MzAwMDc1Mjg3NjQxNTMyOjowOjo&url=%2FLacto-Calamine-Micellar-Remover-Liquid%2Fdp%2FB0CFFR2T24%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU%26dib_tag%3Dse%26keywords%3Dmakeup%26qid%3D1747736511%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61RKS6R4C1L._AC_UL320_.jpg,₹194,₹97
"RENEE Midnight Kohl Kajal Pencil | Waterproof, Smudgeproof With Sharpener | 24 Hours Long Stay | Darkest Black | One Swipe Application | Vitamin E, Olive Oil and Castor Oil | Matte Finish |1.5 Gm",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODUwNTY1NTk1NjgzMjI6MTc0NzczNjUxMTpzcF9hdGY6MzAwMzI4OTg5MjkwMjMyOjowOjo&url=%2FRENEE-Midnight-Kohl-Pencil-Smudgeproof%2Fdp%2FB0CQJTM6TW%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU%26dib_tag%3Dse%26keywords%3Dmakeup%26qid%3D1747736511%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61moPB8PnNL._AC_UL320_.jpg,₹378,₹450
"Just Herbs 3 in 1 Pore-Refining,Minimizer Mattifying & Hydrating Primer for Face Makeup Normal Oily,Dry and Combination Skin Types 20g",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODUwNTY1NTk1NjgzMjI6MTc0NzczNjUxMTpzcF9hdGY6MjAxMTkxMTM0NTMwOTg6OjA6Og&url=%2FJust-Herbs-Pore-Refining-Mattifying-Combination%2Fdp%2FB0BT8127T7%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU%26dib_tag%3Dse%26keywords%3Dmakeup%26qid%3D1747736511%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61Jo8DLT3AL._AC_UL320_.jpg,₹299,₹575
"Just Herbs Lip Honey Plumping Gloss with Plant Vitamin C & Peppermint Oil (Honey Bunny, 4 ml)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODUwNTY1NTk1NjgzMjI6MTc0NzczNjUxMTpzcF9hdGY6MzAwNDYyMDkyNDg4ODMyOjowOjo&url=%2FJust-Herbs-Plumping-Vitamin-Peppermint%2Fdp%2FB0DK9325TP%2Fref%3Dsr_1_4_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU%26dib_tag%3Dse%26keywords%3Dmakeup%26qid%3D1747736511%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51yQciWM+XL._AC_UL320_.jpg,₹431,₹545
"Maybelline New York Fit Me Compact Powder, Matte + Poreless Compact Powder, upto 16 hours of Oil Control with SPF 32 PA+++ and UV filters & ideal for normal to oily skin - 128 Warm Nude|6g",https://www.amazon.in/Maybelline-York-12Hr-Control-Compact/dp/B08QSWPZS5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU&dib_tag=se&keywords=makeup&qid=1747736511&sr=8-6,https://m.media-amazon.com/images/I/61FDV10Re5L._AC_UL320_.jpg,₹168.78,₹249
"Garnier Skin Naturals, Cleansing Water, Hydrating & Soothing, Micellar Cleansing Water, 125 ml",https://www.amazon.in/Garnier-Naturals-Micellar-Cleansing-Water/dp/B06ZZ5XVR7/ref=sr_1_7_mod_primary_new?dib=eyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU&dib_tag=se&keywords=makeup&qid=1747736511&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-7,https://m.media-amazon.com/images/I/41yAKxKqv4L._AC_UL320_.jpg,₹162,₹129.60
"Maybelline New York Colossal Kajal, Intense Colour, Waterproof, Long lasting 24Hrs Stay, Black, 0.35g",https://www.amazon.in/Maybelline-Colossal-Kajal-Black-0-35g/dp/B06WGZP21B/ref=sr_1_8_mod_primary_new?dib=eyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU&dib_tag=se&keywords=makeup&qid=1747736511&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-8,https://m.media-amazon.com/images/I/61b2tDBxhlL._AC_UL320_.jpg,₹134.83,₹180
"Maybelline New York Mascara, Curls Lashes, Highly Pigmented Colour, Long-lasting, Waterproof, Hypercurl , Black, 9.2ml",https://www.amazon.in/Maybelline-Hypercurl-Mascara-Waterproof-Black/dp/B0079Z0AMM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU&dib_tag=se&keywords=makeup&qid=1747736511&sr=8-9,https://m.media-amazon.com/images/I/51Y2UGLW+bL._AC_UL320_.jpg,₹270,₹335
Swiss Beauty Natural Makeup Fixer | Natural Dewy Finish | With Vitamin E and Aloe Vera | Long-Lasting | Hydrating & Refreshing Setting Spray | 70 ml,https://www.amazon.in/Natural-Fixer-Long-Lasting-Hydrating-Refreshing/dp/B07SR3WV5N/ref=sr_1_10?dib=eyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU&dib_tag=se&keywords=makeup&qid=1747736511&sr=8-10,https://m.media-amazon.com/images/I/51ZtF7SAYqL._AC_UL320_.jpg,₹217,₹289
MARS Makeup Remover Wet Wipes for Face | 30 Cotton Soft Wipes | Hydrating & Refreshing | Enriched with Green Tea & Aloe Vera Extract | Soothing & Maintains pH Balance | Gentle on Skin,https://www.amazon.in/MARS-Hydrating-Refreshing-Enriched-Maintains/dp/B0CVS2HFKJ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU&dib_tag=se&keywords=makeup&qid=1747736511&sr=8-11,https://m.media-amazon.com/images/I/51ZVtvs+ozL._AC_UL320_.jpg,₹109,₹109
"HUDA GIRL Beauty Rose Gold Remastered + Nude Edition Eyeshadow Palette Combo Kit - 36 Matte and Shimmer Finishes, Includes Black Eyeshadow - Complete Eye Shadow Palette Set",https://www.amazon.in/HUDA-GIRL-Beauty-Remastered-Eyeshadow/dp/B098R74DJT/ref=sr_1_12?dib=eyJ2IjoiMSJ9.hzvWPj0eJ2GiDreSHMgV0wOoQkfHgsyFTu9i2R-AvFvviBlZCP9ZVVdTaycSizgFtV2PRCybmnWK6CBrBdJ1tsha7bEkMjkgyKs7Nn6JiN7SGPKAhVowNjKaOErZuxeBc_riTchhaPg0UodFLj_jwQ8NGDblA-gEsKzRLGESEw-TqMKbxlDzh6oEphBatIqYkfICTK7CNMk89rB1rjnXDY5BE3CbZN5KunvNdjjqdZ1hkaFqsnrjQxex5Kpr5kwuExcv1qKGHEK6n2aiCxspYxpEkewxNuT6kr3TqplsyFs.f7vNIEJU4RT8iW4R7oo06BVyjGVjlCOlmYVl_nqe3FU&dib_tag=se&keywords=makeup&qid=1747736511&sr=8-12,https://m.media-amazon.com/images/I/81oQJwz0ZiS._AC_UL320_.jpg,₹299,"₹1,199"
