Product Name,Product Link,Image URL,Price,Original Price
"Park Avenue Euphoria Eau De Parfum For Men, 100ml",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQ3NTUzODAxNDQ4NjAwOjE3NDc3MzY1NDM6c3BfYXRmOjMwMDA4NTQ4NTY0ODQzMjo6MDo6&url=%2FPark-Avenue-Perfume-Euphoria-100ml%2Fdp%2FB07845BYSZ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w%26dib_tag%3Dse%26keywords%3Dperfumes%26qid%3D1747736543%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71FYgvmvNAL._AC_UL320_.jpg,₹319,₹3.19
"Park Avenue Gift Set For Men Euphoria And Harmony, Liquid Eau De Parfum Men, 200ml | Gift for Valentine's Day | Perfume For Men | Valentine Gift for Husband | Valentine Gift for Boyfriend | Premium Luxury Fragrance Scent | Long-Lasting Aroma Perfume",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQ3NTUzODAxNDQ4NjAwOjE3NDc3MzY1NDM6c3BfYXRmOjMwMDM3MzQwNTc5NjYzMjo6MDo6&url=%2FPark-Avenue-Perfume-Valentines-Euphoria%2Fdp%2FB0BD8Z9PSB%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w%26dib_tag%3Dse%26keywords%3Dperfumes%26qid%3D1747736543%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61RFWO7ec7L._AC_UL320_.jpg,₹599,"₹1,399"
"Park Avenue Luxury Perfume Gift Set For Men,4X20 Ml|Euphoria,Conquer,Harmony & Discoverer Perfume|Eau De Parfum|Premium Luxury Perfume For Corporate Man|Valentine Gift For Husband,Boyfriend",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQ3NTUzODAxNDQ4NjAwOjE3NDc3MzY1NDM6c3BfYXRmOjMwMDI1NTE4MjQ2NjUzMjo6MDo6&url=%2FPark-Avenue-Discoverer-Corporate-Anniversary%2Fdp%2FB0D7C4Q817%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w%26dib_tag%3Dse%26keywords%3Dperfumes%26qid%3D1747736543%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61dCtimxXXL._AC_UL320_.jpg,₹322,₹849
"Bella Vita Luxury Men Ocean Aquatic Eau De Parfum With Marine, Orchid & Musk|Long Lasting Fresh Citrusy & Woody Edp Fragrance Scent Liquid Perfume,100 Ml",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQ3NTUzODAxNDQ4NjAwOjE3NDc3MzY1NDM6c3BfYXRmOjMwMDEwNjEzMDU3ODIzMjo6MDo6&url=%2FBella-Vita-Luxury-Aquatic-Fragrance%2Fdp%2FB0CB8R8GKL%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w%26dib_tag%3Dse%26keywords%3Dperfumes%26qid%3D1747736543%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61uV03wxlrL._AC_UL320_.jpg,₹899,₹8.99
Park Avenue Voyage Signature Collection | Perfume for Men | Fresh Long-lasting Aroma Amazon Woods Premium Perfume | 120ml,https://www.amazon.in/Park-Avenue-Voyage-Amazon-Perfume/dp/B084V46KGT/ref=sr_1_5_mod_primary_new?dib=eyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w&dib_tag=se&keywords=perfumes&qid=1747736543&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-5,https://m.media-amazon.com/images/I/711eP6dPXeL._AC_UL320_.jpg,₹191,₹1.59
"Wild Stone Ultra Sensual Long Lasting Perfume for Men, 100ml, A Sensory Treat for Casual Encounters, Aromatic Blend of Masculine Fragrances",https://www.amazon.in/Wild-Stone-Ultra-Sensual-Perfume/dp/B08TGY698Y/ref=sr_1_6?dib=eyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w&dib_tag=se&keywords=perfumes&qid=1747736543&sr=8-6,https://m.media-amazon.com/images/I/51M73SOIdhL._AC_UL320_.jpg,₹305,₹3.05
"Wild Stone Edge Perfume for Men, 50ml",https://www.amazon.in/Wild-Stone-Edge-Perfume-50ml/dp/B07KS1ZKV3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w&dib_tag=se&keywords=perfumes&qid=1747736543&sr=8-7,https://m.media-amazon.com/images/I/6159kYfD0KL._AC_UL320_.jpg,₹219,₹4.38
"Park Avenue Voyage Obsession Signature Collection, Liquid Eau De Parfum Men, 50Ml | Long Lasting Perfume for Men | Diwali Gift | Premium Luxury Fragrance Scent | Aromatic Blend of Amber & Musk",https://www.amazon.in/Park-Avenue-Voyage-Obsession-Parfum/dp/B084ZGRVX7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w&dib_tag=se&keywords=perfumes&qid=1747736543&sr=8-8,https://m.media-amazon.com/images/I/71Z1HUEjX-L._AC_UL320_.jpg,₹171,₹3.42
"BELLAVITA CEO Man & White Oud Unisex | Long Lasting Perfume for Man and Woman | EDP 2x20ml | Tonka, Agarwood & Orange | Woody, Spicy, Citrus Premium Fragrance for Men & Women",https://www.amazon.in/Bella-Vita-Luxury-Agarwood-Fragrance/dp/B0CHW268JT/ref=sr_1_9?dib=eyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w&dib_tag=se&keywords=perfumes&qid=1747736543&sr=8-9,https://m.media-amazon.com/images/I/519mdAYKTQL._AC_UL320_.jpg,₹225,₹5.63
"Bella Vita Luxury Long Lasting Perfume Gift Set for Woman | 4x20ml | Gifts for Women | Floral, Fruity, Premium Fragrance Scent | Date, Senorita, Glam, Rose",https://www.amazon.in/Bella-Vita-Organic-Perfumes-Fragrance/dp/B09232XNTX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.vjPXvssu7vO45FiZx7RY2DLyDspP8KHbg0WCBYMc8qMaa1edPSA2sXOwmhRbP5rFaHKzJtgAMPzrL2dKCUzM8vo_V3JZe9TaQ5DtTviarXYl7XiaGHdbLWwCNRXXloGaGAr8bOAPsJAmYD3APgp9koumTF1q-c4b3bLOzYXQaXJywQ0fSePGZ6lgh8T_-xX_ipw2J2QGYVo9ZHxszngjxrVCn8hX0zZAe4Db5bgTLCQsktp-hEYWKO13DIiiI_qhYOdgOBBwvNjhzNEve9_sLLdTobbQ5tbR2XMbFt-Skic._MkSmKVPlx9dONlz-oAoSwSQGCgCOcSdJhSY5A5fu_w&dib_tag=se&keywords=perfumes&qid=1747736543&sr=8-10,https://m.media-amazon.com/images/I/61Z0HyOvTfL._AC_UL320_.jpg,₹560,₹849
