Product Name,Product Link,Image URL,Price,Original Price
Centrino,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE2OTY1MTUzNzQ0MjEzOjE3NDc3MzY1NzU6c3BfYXRmOjMwMDQ0NTIyOTAzODkzMjo6MDo6&url=%2FCentrino-Stability-Adjustable-Comfortable-Versatile%2Fdp%2FB0CCJTSTK5%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI%26dib_tag%3Dse%26keywords%3Dsandals%26qid%3D1747736574%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71eSmlEhIrL._AC_UL320_.jpg,₹749,"₹2,499"
Centrino,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE2OTY1MTUzNzQ0MjEzOjE3NDc3MzY1NzU6c3BfYXRmOjMwMDQ3MDE2MzgxOTczMjo6MDo6&url=%2FCentrino-Mens-Black-Sandals_10-7313-1%2Fdp%2FB0D1VGNL11%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI%26dib_tag%3Dse%26keywords%3Dsandals%26qid%3D1747736574%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61gkiVtXXUL._AC_UL320_.jpg,₹849,"₹2,499"
Centrino,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE2OTY1MTUzNzQ0MjEzOjE3NDc3MzY1NzU6c3BfYXRmOjMwMDQ3MDIzMTE2MTkzMjo6MDo6&url=%2FCentrino-Chiku-Fisherman-Sandals-6113-01%2Fdp%2FB08C39TTF4%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI%26dib_tag%3Dse%26keywords%3Dsandals%26qid%3D1747736574%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81YGP5ZLhPL._AC_UL320_.jpg,₹849,"₹2,499"
Centrino,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzE2OTY1MTUzNzQ0MjEzOjE3NDc3MzY1NzU6c3BfYXRmOjMwMDQ3MDIyNjMyODMzMjo6MDo6&url=%2FCentrino-Black-Fisherman-Sandals-10-6108-02%2Fdp%2FB08C3BLR35%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI%26dib_tag%3Dse%26keywords%3Dsandals%26qid%3D1747736574%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71tWuiDeOEL._AC_UL320_.jpg,₹999,"₹2,499"
SPARX,https://www.amazon.in/Sparx-mens-Ss0453g-BLUE-SANDAL/dp/B075GCYS36/ref=sr_1_5?dib=eyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI&dib_tag=se&keywords=sandals&qid=1747736574&sr=8-5,https://m.media-amazon.com/images/I/51VtiRvv3rL._AC_UL320_.jpg,₹723,₹949
Generic,https://www.amazon.in/Woodman-Outdoor-Breathable-Protective-SAN_07_Beige_8/dp/B0F4XQ2C7S/ref=sr_1_7?dib=eyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI&dib_tag=se&keywords=sandals&qid=1747736574&sr=8-7,https://m.media-amazon.com/images/I/6106Fh8mF3L._AC_UL320_.jpg,₹699,"₹1,299"
SPARX,https://www.amazon.in/Sparx-mens-Ss0119g-BLACK-Sandal/dp/B07C15SY4D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI&dib_tag=se&keywords=sandals&qid=1747736574&sr=8-8,https://m.media-amazon.com/images/I/71rMYJS7JGL._AC_UL320_.jpg,₹638,₹749
Woodland,https://www.amazon.in/Woodland-Olive-Sandal-11-GD-2185116NW/dp/B0BR5S9DF7/ref=sr_1_9?dib=eyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI&dib_tag=se&keywords=sandals&qid=1747736574&sr=8-9,https://m.media-amazon.com/images/I/81392jKef1L._AC_UL320_.jpg,"₹1,945","₹2,595"
Bata,https://www.amazon.in/Power-Stricker-Athletic-Outdoor-Sandals/dp/B00O32BYNS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI&dib_tag=se&keywords=sandals&qid=1747736574&sr=8-10,https://m.media-amazon.com/images/I/61zT0z6RfEL._AC_UL320_.jpg,₹517,₹699
SPARX,https://www.amazon.in/SPARX-Black-Sports-Sandals-Size/dp/B0CCV59GR5/ref=sr_1_11?dib=eyJ2IjoiMSJ9.qA7Xye7gvjqhZ0Hv2S__zDpahuu0albEjGP5sFO6AC1hgbxSSRzRTVOSyej3ZmS2qB0-BGE42GXwQ7vrueFVWVvrygwrgnBRklzoZWxqTnC0T_nqfojf3ORVkix4XwueqZskCjJ3TU8cgH-ZZEQKs88i05LunaI8g3FRbh8c-XSiDZV_Upbs46_PcQt8nnXB0CWSHkA9xYDLCXajpBvguz_XdfH_LN1xslAqR-IhCnvvatjx8eJx-mONofi57NCG2XVyFWz5caxXoWkPuJhOH1eBtnd6kbQg6UwohOF3vPw.12wJrNd12GtMv-YGBuWsQcyHXuA1RJTPt7OyIDk54fI&dib_tag=se&keywords=sandals&qid=1747736574&sr=8-11,https://m.media-amazon.com/images/I/51XZTRaAAGL._AC_UL320_.jpg,₹679,₹799
