Product Name,Product Link,Image URL,Price,Original Price
SHANVIKA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjkxMDYyMTAwNzcwMDA4OjE3NDc3MzY2MDU6c3BfYXRmOjMwMDU2MTExMzIxNDczMjo6MDo6&url=%2FSHANVIKA-Womens-Saree-Ethnic-Without-Snv-IconButti-02%2Fdp%2FB0F6VMGQ5S%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE%26dib_tag%3Dse%26keywords%3Dsarees%26qid%3D1747736605%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/615bQNNA6pL._AC_UL320_.jpg,"₹1,039","₹2,049"
SHANVIKA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjkxMDYyMTAwNzcwMDA4OjE3NDc3MzY2MDU6c3BfYXRmOjMwMDU2MTExMzIxODYzMjo6MDo6&url=%2FSHANVIKA-Womens-Saree-Batik-Without-Snv-JaipuriBatiq-03%2Fdp%2FB0F6VJ4HHB%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE%26dib_tag%3Dse%26keywords%3Dsarees%26qid%3D1747736605%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/516Clk6HtKL._AC_UL320_.jpg,"₹1,039","₹2,049"
REELIV,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjkxMDYyMTAwNzcwMDA4OjE3NDc3MzY2MDU6c3BfYXRmOjMwMDU1NjczODcyNjUzMjo6MDo6&url=%2FREELIV-Luxurious-Breathable-Traditional-Embroidery%2Fdp%2FB0F548D6HX%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE%26dib_tag%3Dse%26keywords%3Dsarees%26qid%3D1747736605%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41DjkD3CKZL._AC_UL320_.jpg,"₹2,250","₹4,500"
Generic,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjkxMDYyMTAwNzcwMDA4OjE3NDc3MzY2MDU6c3BfYXRmOjMwMDU2NDAxNzQ5NzYzMjo6MDo6&url=%2FTraditional-Saree-Diamond-Motifs-Border%2Fdp%2FB0F7RN15FY%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE%26dib_tag%3Dse%26keywords%3Dsarees%26qid%3D1747736605%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41tiAQeJ9sL._AC_UL320_.jpg,₹900,"₹1,599"
C J Enterprise,https://www.amazon.in/Enterprise-Banarasi-Kanjivaram-collections-Wedding/dp/B0C1SPQJH1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE&dib_tag=se&keywords=sarees&qid=1747736605&sr=8-5,https://m.media-amazon.com/images/I/61t5Rq80yeL._AC_UL320_.jpg,₹499,₹999
SGF11,https://www.amazon.in/SGF11-Womens-Kanjivaram-Unstitched-Blouse/dp/B0B521JQX6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE&dib_tag=se&keywords=sarees&qid=1747736605&sr=8-6,https://m.media-amazon.com/images/I/617YAcTci7L._AC_UL320_.jpg,₹598,"₹8,999"
C J Enterprise,https://www.amazon.in/Enterprise-Kanjivaram-Wedding-Banarasi-Vruksh-50/dp/B0D8GYHB4M/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE&dib_tag=se&keywords=sarees&qid=1747736605&sr=8-7,https://m.media-amazon.com/images/I/510uneopBkL._AC_UL320_.jpg,₹499,₹999
SGF11,https://www.amazon.in/SGF11-Womens-Kanjivaram-Cotton-Lavender/dp/B0C9CGBMRR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE&dib_tag=se&keywords=sarees&qid=1747736605&sr=8-8,https://m.media-amazon.com/images/I/51cckrJyXpL._AC_UL320_.jpg,₹499,"₹5,999"
C J Enterprise,https://www.amazon.in/Enterprise-Banarasi-Kanjivaram-Kanchipuram-Shiv-1/dp/B0F6JFLCJ9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE&dib_tag=se&keywords=sarees&qid=1747736605&sr=8-9,https://m.media-amazon.com/images/I/51NbyetaNFL._AC_UL320_.jpg,₹549,₹999
Sidhidata,https://www.amazon.in/Sidhidata-Boarder-Unstitched-Chhaava-Mustard_Mustard_Free/dp/B0DXC83M5D/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ZNh6DI7FGIyLzrasHJGEg5iK-nU73SbPXwd6tCVwAd69rUyjXJ_RrAznz2qWNNHOFG0--sLBDknrfixu7c-r8hDbLAfRwPRWFyWEyoH2UiBFjttZRkVkK_mxrxPEfLhTS1xRkKMtoLvVG_XzmLp_Ll09JzWiE-81vYjtim6ZB5tv7m5PvE3N7L3DcucfBgIys5Q0B7xMgvL-bEOdloD82xEB2LbWTFOAfvsDrAkMrURUCRi_6qKcnoIWwzMmMXJm0lQJ2Kh4xVkqeMKfUDd-uewYY0AoXEVvPiqN-wg3nqQ.k25qsNwitOvdG6D5bgHg7T7OdBzJamK0ig8fOHs23GE&dib_tag=se&keywords=sarees&qid=1747736605&sr=8-10,https://m.media-amazon.com/images/I/61PczzN3qTL._AC_UL320_.jpg,₹998,"₹2,999"
