Product Name,Product Link,Image URL,Price,Original Price
Liberty,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Njg2MzMxMjA5Njk4NDc6MTc0NzczNjYzNDpzcF9hdGY6MzAwNDk0MTA2MjUzNzMyOjowOjo&url=%2FLiberty-Schlpro-3-White-School-Shoes%2Fdp%2FB0CX4WCR8H%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1747736633%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51NTtuF-H8L._AC_UL320_.jpg,₹924,"₹1,499"
OFF LIMITS,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Njg2MzMxMjA5Njk4NDc6MTc0NzczNjYzNDpzcF9hdGY6MzAwNTMxODY2NjIzNDMyOjowOjo&url=%2FOFF-LIMITS-Fantastic-Running-Shoes%2Fdp%2FB0DZ2S3S7T%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1747736633%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71rz8pa-ZbL._AC_UL320_.jpg,"₹1,279","₹4,999"
Shoe Shield,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Njg2MzMxMjA5Njk4NDc6MTc0NzczNjYzNDpzcF9hdGY6MzAwMjQwOTMzNTYzMjMyOjowOjo&url=%2FShoe-Shield-Sneaker-Individually-Perfect%2Fdp%2FB0BLSHZZ32%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1747736633%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71FGM4B4Z+L._AC_UL320_.jpg,₹195,₹19.50
Centrino,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Njg2MzMxMjA5Njk4NDc6MTc0NzczNjYzNDpzcF9hdGY6MzAwNTQ1NTk1OTk0MzMyOjowOjo&url=%2FCentrino-Black-Mens-Formal-8620-1%2Fdp%2FB09C8KZN9M%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1747736633%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71h502J5V2L._AC_UL320_.jpg,₹629,"₹1,499"
ASIAN,https://www.amazon.in/ASIAN-MEXICO-11-Synthetic-Lightweight-Comfortable/dp/B0DBD4JYKK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo&dib_tag=se&keywords=shoes&qid=1747736633&sr=8-5,https://m.media-amazon.com/images/I/81R6YbNKOzL._AC_UL320_.jpg,₹799,"₹1,499"
ASIAN,https://www.amazon.in/ASIAN-Wonder-13-Sports-Running-Shoes/dp/B01N54ZM9W/ref=sr_1_6?dib=eyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo&dib_tag=se&keywords=shoes&qid=1747736633&sr=8-6,https://m.media-amazon.com/images/I/61utX8kBDlL._AC_UL320_.jpg,₹599,₹999
BRUTON,https://www.amazon.in/BRUTON-Exclusive-Trendy-Shoes-Numeric_9/dp/B0BVJ3TCTQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo&dib_tag=se&keywords=shoes&qid=1747736633&sr=8-7,https://m.media-amazon.com/images/I/61gKatv2y7L._AC_UL320_.jpg,₹298,"₹1,299"
BRUTON,https://www.amazon.in/BRUTON-Sneakers-Casual-Walking-Men-White/dp/B0F4DW4WFH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo&dib_tag=se&keywords=shoes&qid=1747736633&sr=8-8,https://m.media-amazon.com/images/I/71QHmzZbapL._AC_UL320_.jpg,₹498,"₹2,999"
Nike,https://www.amazon.in/Jordan-Loyal-3-White-RED-Wolf-GREY-FB1396-160-9UK/dp/B0CZHLJ373/ref=sr_1_9?dib=eyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo&dib_tag=se&keywords=shoes&qid=1747736633&sr=8-9,https://m.media-amazon.com/images/I/71PSminx1+L._AC_UL320_.jpg,"₹8,134","₹10,295"
LigeroNation,https://www.amazon.in/Running-Walking-Lightweight-Sneaker-Lace-Up/dp/B0F63SYVMX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.uRACp4mxqPtcvLMR0nxLzTdRSd6daLMjsfkULwehNHvSaGQKDtuGixDbvIfnmQbau8Qw3fcwp-Q2Ht0XvGcAfzpKb8t06gMV0V-LQF4E_4ukZvIkE_EAzVqTwhSrXnQkn5eXA_ToiZ4Mo9fWUf3ucUjmicTNPyUqLc1XOTzlKGv8N7mOi22FcxooGRrYN9xxnPuCtjTetDOU9-zpRg2nUocqMgVj8T-k8UUjVyV_99zZNWEricBFgeYzxX8D9ZTr-HOg5XVshyvfnLWCrP1lvYR5Ld6lMivyG7PO85wnRTo.16Cbvf325mPgBs1QlSXZJvx_GBJhW-tfGfS4sk4Zizo&dib_tag=se&keywords=shoes&qid=1747736633&sr=8-10,https://m.media-amazon.com/images/I/51JfxuGeb4L._AC_UL320_.jpg,₹474,"₹2,499"
