Product Name,Product Link,Image URL,Price,Original Price
SVAAR,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTY3MjkyNjkzMDU0NDA6MTc0NzczNjY5MzpzcF9hdGY6MzAwMjE1MTc0MzQ0MjMyOjowOjo&url=%2FSVAAR-Authentic-Slippers-Waterproof-Everyday%2Fdp%2FB0D4XLJMM1%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw%26dib_tag%3Dse%26keywords%3Dslippers%26qid%3D1747736693%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71a-UnYJgvL._AC_UL320_.jpg,₹699,"₹2,299"
YOHO,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTY3MjkyNjkzMDU0NDA6MTc0NzczNjY5MzpzcF9hdGY6MzAwMDczMTEyOTcwNTMyOjowOjo&url=%2FYOHO-comfortable-slippers-Lightweight-Waterproof%2Fdp%2FB0BRL2SLLD%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw%26dib_tag%3Dse%26keywords%3Dslippers%26qid%3D1747736693%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51u+JwY56DL._AC_UL320_.jpg,₹549,"₹1,499"
DRUNKEN,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTY3MjkyNjkzMDU0NDA6MTc0NzczNjY5MzpzcF9hdGY6MzAwNDA3MTkzNjUzNjMyOjowOjo&url=%2FDRUNKEN-Slippers-Sandals-Footwear-Chappals%2Fdp%2FB0DN69KGSN%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw%26dib_tag%3Dse%26keywords%3Dslippers%26qid%3D1747736693%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61PnIqQkhZL._AC_UL320_.jpg,₹739,"₹2,160"
YOHO,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTY3MjkyNjkzMDU0NDA6MTc0NzczNjY5MzpzcF9hdGY6MzAwMTg4OTM1OTcxNTMyOjowOjo&url=%2FYOHO-Terrain-Cushioned-Lightweight-Waterproof%2Fdp%2FB0D2LDW1HP%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw%26dib_tag%3Dse%26keywords%3Dslippers%26qid%3D1747736693%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61IF3NcJhJL._AC_UL320_.jpg,₹391,"₹1,398"
SPARX,https://www.amazon.in/Sparx-Mens-Flip-Flops-House-Slippers/dp/B00IZ932CG/ref=sr_1_5?dib=eyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw&dib_tag=se&keywords=slippers&qid=1747736693&sr=8-5,https://m.media-amazon.com/images/I/51p0u1pv2DL._AC_UL320_.jpg,₹297,₹399
Bata,https://www.amazon.in/Bata-Mens-ALFRED-Black-Slipper/dp/B09W5Y2YZ3/ref=sr_1_6?dib=eyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw&dib_tag=se&keywords=slippers&qid=1747736693&sr=8-6,https://m.media-amazon.com/images/I/71KoxPew5yL._AC_UL320_.jpg,₹298,₹399
Hygear,https://www.amazon.in/Hygear-Mens-Xpress-Slippers_11-HG-GE-1004/dp/B0C6XF6311/ref=sr_1_7?dib=eyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw&dib_tag=se&keywords=slippers&qid=1747736693&sr=8-7,https://m.media-amazon.com/images/I/61pBOCruYNL._AC_UL320_.jpg,₹330,₹999
Liberty,https://www.amazon.in/Liberty-BEACHTIME-Lightweight-Flip-Flop-Comfortable/dp/B0B9ZNBLF2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw&dib_tag=se&keywords=slippers&qid=1747736693&sr=8-8,https://m.media-amazon.com/images/I/51-Gi5wwoxL._AC_UL320_.jpg,₹349,₹399
Puma,https://www.amazon.in/Puma-unisex-adult-Slide-Black-Cool-Sandal/dp/B0BXD4Z6F4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw&dib_tag=se&keywords=slippers&qid=1747736693&sr=8-9,https://m.media-amazon.com/images/I/51utcv6JMNL._AC_UL320_.jpg,₹999,"₹2,499"
SPARX,https://www.amazon.in/SPARX-Sf0204G-Greyblack-Flip-Flop-Slipper/dp/B00LGMNRCO/ref=sr_1_11?dib=eyJ2IjoiMSJ9.yJ4oiTe6XNaYVJ1sN8nK0cg-XxU8BIJL45vVnh04JMC4KZ7BgbODBOIeyATLTObLv2opuScStCAqKsSmjSAIBnWOA5K-UloRFlFqXwi7IKLHy5ZGCcbF1UjxCx02GxKneXyW-8_yblqJwFJ9u7Lg0oTsR5bRMNhPsTA1R_ddi2Ilmzen9PM4W0Ks5aYkOucO1OjsLKRrIOWMehQCca-Qq2s_RHBRBx1OS08VgTrSNykn9oYA2wtVVvP45wsW5AjkodiRDUsRCOwz6PEp7VzzhlE06k328L9dhjn71lXX3uo.joli_oELcS-bB-R5kNhBIFb1c3EO9Se00B7SBZESnPw&dib_tag=se&keywords=slippers&qid=1747736693&sr=8-11,https://m.media-amazon.com/images/I/41kgA4h4QwL._AC_UL320_.jpg,₹280,₹329
