Product Name,Product Link,Image URL,Price,Original Price
Wear Your Opinion,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDgyMzM2NjgyNDI0NTM5OjE3NDc3MzY4MjA6c3BfYXRmOjMwMDUzNzcwMjQ1NzAzMjo6MDo6&url=%2FWear-Your-Opinion-Premium-Regular%2Fdp%2FB0CW3B4LPJ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ%26dib_tag%3Dse%26keywords%3Dtops%26qid%3D1747736820%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51rmTUKBO7L._AC_UL320_.jpg,₹474,"₹1,499"
FUNDAY FASHION,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDgyMzM2NjgyNDI0NTM5OjE3NDc3MzY4MjA6c3BfYXRmOjMwMDI2MDYzNzEyMDYzMjo6MDo6&url=%2FFUNDAY-FASHION-Printed-Oversized-T-Shirt%2Fdp%2FB0BDVMM8RF%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ%26dib_tag%3Dse%26keywords%3Dtops%26qid%3D1747736820%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61TJ+FEjuNL._AC_UL320_.jpg,₹489,₹244.50
Sheetal Associates,https://www.amazon.in/Sheetal-Associates-Womens-Casual-Sleeves/dp/B0DF5KD9SR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-5,https://m.media-amazon.com/images/I/81pCdAm35JL._AC_UL320_.jpg,₹277,₹999
Generic,https://www.amazon.in/Casual-Sleeve-Women-Girls-Alpha/dp/B0DHJL7S12/ref=sr_1_6?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-6,https://m.media-amazon.com/images/I/31XZ17+7RRL._AC_UL320_.jpg,₹299,₹999
Max,https://www.amazon.in/Max-Women-Embroidered-Collar-SUB09BLUE/dp/B0CY2NWWPF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-7,https://m.media-amazon.com/images/I/71DYvdBj8LL._AC_UL320_.jpg,₹649,₹799
Dream Beauty Fashion,https://www.amazon.in/Dream-Beauty-Fashion-Top-Mentos-01-Black-S/dp/B0CG9M78FY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-8,https://m.media-amazon.com/images/I/61TcnMgHv4L._AC_UL320_.jpg,₹220,₹999
Dream Beauty Fashion,https://www.amazon.in/Dream-Beauty-Fashion-Sleeves-Polyester/dp/B0B2DRFHHD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-9,https://m.media-amazon.com/images/I/3128CXXAwOL._AC_UL320_.jpg,₹210,₹999
Leriya Fashion,https://www.amazon.in/Leriya-Fashion-Solid-Regular-LF-W-TOP-W2221_Green/dp/B0DQLK2RBN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-10,https://m.media-amazon.com/images/I/71SzVcXhDcL._AC_UL320_.jpg,₹499,"₹1,999"
Shasmi,https://www.amazon.in/Shasmi-Blouse-Short-Sleeve-Tops/dp/B0F2Z7T3PL/ref=sr_1_11?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-11,https://m.media-amazon.com/images/I/712+5zpiwpL._AC_UL320_.jpg,₹399,"₹1,999"
Arayna,https://www.amazon.in/Arayna-Womens-Cotton-Paisley-Printed/dp/B0DY1TLNXF/ref=sr_1_12?dib=eyJ2IjoiMSJ9.78a7OPBY7x71oyEqGdcMoTQKMDE-B1WOOxTj1liYmDsve6nOgqzICNBmjzNZyPPs8Yrg4OT5kuWQSxw9CrCEE4WAP40gmLRqOw_LXjgmBcfE3e364QT52c8Qsug6tyMymPhmnO1qxUlFpsF80tiBLCTEK_x9vsfqV7J0Z-JwLA37FLTVb4surDD1iGVuAhNpMMuJ6_QxgzN5t0u34lKZLsSmxnybTYSET30Xcx-e9jXvkcnpQTWCvIwqdIXZ-q2YsjPLq7EH18UvTmQcgtsnkvWkLDifeO7hopMXfnjWQ00.e0K_MkTzAqYAKMS0V_wG8KVOAQgWBSbNJoyrCbn0YBQ&dib_tag=se&keywords=tops&qid=1747736820&sr=8-12,https://m.media-amazon.com/images/I/81OS4czw-AL._AC_UL320_.jpg,₹499,"₹1,299"
