Product Name,Product Link,Image URL,Price,Original Price
In Love,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzEwOTM2OTU4NTY1OTgxOjE3NDc3MzY5MDg6c3BfYXRmOjMwMDU1MzIzNTE4MDQzMjo6MDo6&url=%2FLove-Plus-Women-Stylish-Western%2Fdp%2FB0F2MJRJ7R%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4%26dib_tag%3Dse%26keywords%3Dwestern%2Btops%26qid%3D1747736908%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61NcJSAeCbL._AC_UL320_.jpg,₹499,"₹1,499"
SAGIBO,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzEwOTM2OTU4NTY1OTgxOjE3NDc3MzY5MDg6c3BfYXRmOjMwMDUzOTQ5MDk3MzYzMjo6MDo6&url=%2FSAGIBO-Womens-Girls-Solid-Ribbed%2Fdp%2FB0C8NWV2V3%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4%26dib_tag%3Dse%26keywords%3Dwestern%2Btops%26qid%3D1747736908%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/715vl+0fpbL._AC_UL320_.jpg,₹299,₹999
Sheetal Associates,https://www.amazon.in/Sheetal-Associates-Womens-Casual-Sleeves/dp/B0DF5MQ182/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-5,https://m.media-amazon.com/images/I/81pCdAm35JL._AC_UL320_.jpg,₹277,₹999
KERI PERRY,https://www.amazon.in/KERI-PERRY-Womens-Georgette-Western/dp/B0C94RG9VS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-6,https://m.media-amazon.com/images/I/61FonvOtaqL._AC_UL320_.jpg,₹463,"₹2,199"
rytras,https://www.amazon.in/rytras-Womens-Printed-Regular-Yellow/dp/B0C6GS7WKV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-7,https://m.media-amazon.com/images/I/81KuuD2e12L._AC_UL320_.jpg,₹479,"₹1,999"
Generic,https://www.amazon.in/Kashis-CreationsFloral-Regular-Stylish-1083-XL/dp/B0DJK7FH1C/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-8,https://m.media-amazon.com/images/I/41sMtOdJdUL._AC_UL320_.jpg,₹310,₹999
Sugathari,https://www.amazon.in/Sugathari-Elegant-Top-Womens-Redwood-2XL/dp/B0D499QLBY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-10,https://m.media-amazon.com/images/I/812xsG-NVRL._AC_UL320_.jpg,₹349,"₹1,999"
GRECIILOOKS,https://www.amazon.in/GRECIILOOKS-Regular-Western-Stylish-GL-W2083_Pink/dp/B0DFM2KH3T/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-11,https://m.media-amazon.com/images/I/71erHykObGL._AC_UL320_.jpg,₹399,"₹2,299"
PLADO,https://www.amazon.in/PLADO-Women-Top-Georgette-Wine/dp/B09NGKYR6F/ref=sr_1_12?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-12,https://m.media-amazon.com/images/I/51HFndVZO5L._AC_UL320_.jpg,₹499,"₹1,199"
Max,https://www.amazon.in/Max-Womens-Regular-T-Shirt-SHAINA2BNAVY_Grey/dp/B09YTPD8NR/ref=sr_1_13?dib=eyJ2IjoiMSJ9.ChDVKJHh0Pu2i-G3j-3MbkoGho6Xq9y2h2ONYXGffQNavPT7SDuQtneaxjvC0he8y1TfHADBzEqRRLR34tHFKGnFAAaueqU3X0Phi6k78bCmNazxACxodOgVexgIgNhu0UdoRohLkBQkRqTMI8BumxybPIT2IFlzR9JheY44Qxp4RxFUsdT47BFU3wnVvc4uMBy030NoNuF0CtKPwWtaanDnfahmdsrPiaDTVsnl4N3j2suYbq58raAnqshCX1nBJxhrGA_aJHJTRyUBouGQLIeNpH53JBRdbA8HCZCAq7I.ykEZeVB0Fnr_JFPaM6ivfAk0h6jXYE5YiVX1YfOkMS4&dib_tag=se&keywords=western+tops&qid=1747736908&sr=8-13,https://m.media-amazon.com/images/I/81tjDODpLKL._AC_UL320_.jpg,₹299,₹399
