Product Name,Product Link,Image URL,Price,Original Price,Discount
"Party Black, Gold  Clutch",https://www.flipkart.com/toobacraft-party-black-gold-clutch/p/itm16930cc609d97?pid=CLTGUK593T3BWQMF&lid=LSTCLTGUK593T3BWQMFB5FLCG&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_1&otracker=browse&fm=organic&iid=en_cRajFk5Mq4HEZLgQtibmRf5jGiVufZUiFrQlN3o7wVAYoSISQxoPTTUsEIssOG0-q_5T78VT6vDEavra59j6rg%3D%3D&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/y/v/a/black-w-gold-chatai-side-pearl-black-w-gold-chatai-side-pearl-original-imaguk59zsrxztpz.jpeg?q=70,₹767,"₹4,999",84% off
"Party White, Gold  Clutch",https://www.flipkart.com/toobacraft-party-white-gold-clutch/p/itm36b566292d56b?pid=CLTGGX5FWSMAJXZZ&lid=LSTCLTGGX5FWSMAJXZZDZ2U7B&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_2&otracker=browse&fm=organic&iid=en_cRajFk5Mq4HEZLgQtibmRf5jGiVufZUiFrQlN3o7wVBJHWI7ZpD0SMMsgMEUkIyCwFnyMkzgC1PBq6bdXRNe1w%3D%3D&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/i/v/m/-original-imagkuxzxne4gexf.jpeg?q=70,₹873,"₹4,999",82% off
Party White  Clutch,https://www.flipkart.com/anouk-party-white-clutch/p/itmc8bd031cab111?pid=CLTHATJVJSNRZCSH&lid=LSTCLTHATJVJSNRZCSH1TJYYQ&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_4&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTHATJVJSNRZCSH.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/9/l/l/fancy-clutch-01-ladies-purse-fashionship-original-imagx6ma2h4gafm5.jpeg?q=70,₹334,₹999,66% off
Party Purple  Clutch,https://www.flipkart.com/anouk-party-purple-clutch/p/itm7dfad3242b117?pid=CLTHATJW52W6CWHA&lid=LSTCLTHATJW52W6CWHANTXLXG&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_5&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTHATJW52W6CWHA.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/k/w/f/ano406ova-whi-ano406ova-whi-clutches-anouk-original-imahatjumgbsgkzc.jpeg?q=70,"₹2,519","₹6,999",64% off
Party Gold  Clutch,https://www.flipkart.com/toobacraft-party-gold-clutch/p/itm131179c5d5a8b?pid=CLTGUK4GJ9KZRXPP&lid=LSTCLTGUK4GJ9KZRXPPBMS9UV&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_6&otracker=browse&fm=organic&iid=en_cRajFk5Mq4HEZLgQtibmRf5jGiVufZUiFrQlN3o7wVB3AgmBaPUq_OFWCuyospsbWjCSilf7J0l97tQmRGGpBw%3D%3D&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/3/g/q/ano753ova-pur-ano753ova-pur-clutches-anouk-original-imahatju2g3rsbzu.jpeg?q=70,"₹2,519","₹6,999",64% off
Party Tan  Clutch,https://www.flipkart.com/anouk-party-tan-clutch/p/itm5b4505958b7ca?pid=CLTHATJWHEMA4KEE&lid=LSTCLTHATJWHEMA4KEEFHPJYS&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_7&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTHATJWHEMA4KEE.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/a/s/1/gold-stone-chatai-n-gold-foam-boat-gold-stone-chatai-n-gold-foam-original-imaguk4gzzf88knk.jpeg?q=70,₹813,"₹4,999",83% off
Party Maroon  Clutch,https://www.flipkart.com/anouk-party-maroon-clutch/p/itmcae557e7d67a4?pid=CLTHATJUKRJFYBUM&lid=LSTCLTHATJUKRJFYBUMP95ZQP&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_8&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTHATJUKRJFYBUM.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/o/u/r/b-ano291pot-pea-b-ano291pot-pea-clutches-anouk-original-imahatjuwugzkddt.jpeg?q=70,"₹2,519","₹6,999",64% off
Party Gold  Clutch  - Mini,https://www.flipkart.com/mafs-party-gold-clutch/p/itmea1748ad0c332?pid=CLTG8ZHBZZSXRABT&lid=LSTCLTG8ZHBZZSXRABTFRBTBT&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_9&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTG8ZHBZZSXRABT.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/n/j/l/ano498-mar-ano498-mar-clutches-anouk-original-imahatjuefgv7zmb.jpeg?q=70,"₹2,449","₹6,799",63% off
Party Maroon  Clutch,https://www.flipkart.com/fashionship-party-maroon-clutch/p/itmba4832de1ea68?pid=CLTGWVVMTQTUG2AE&lid=LSTCLTGWVVMTQTUG2AEHFZZUN&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_10&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTGWVVMTQTUG2AE.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/kw9krrk0/clutch/3/o/1/attractive-cbag102-01-clutches-mafs-original-imag8zhbpmbsdmsg.jpeg?q=70,₹279,"₹1,299",78% off
Party Black  Clutch,https://www.flipkart.com/anouk-party-black-clutch/p/itmd76e56b5feb53?pid=CLTH8VTAR5R8FAMF&lid=LSTCLTH8VTAR5R8FAMFOPMAJI&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_11&otracker=browse&fm=organic&iid=en_cRajFk5Mq4HEZLgQtibmRf5jGiVufZUiFrQlN3o7wVBhLea5ak5vTv5XMz4voiM1tmUB0HnBVa6ToyWxT1GWzw%3D%3D&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/q/y/h/clutch-bag-maroon-clutch-bag-clutch-bag-for-women-and-girls-original-imagwvvmdyd9z2z4.jpeg?q=70,₹344,₹999,65% off
"Casual, Formal, Party Black, Maroon  Clutch",https://www.flipkart.com/skyx-casual-formal-party-black-maroon-clutch/p/itm038adcc70df73?pid=CLTGABESZ7ZGQ4DY&lid=LSTCLTGABESZ7ZGQ4DY0MMDQK&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&spotlightTagId=default_TrendingId_reh%2Fcca%2Fq6i&srno=b_1_13&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTGABESZ7ZGQ4DY.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/z/m/d/black-glass-basket-black-glass-basket-clutch-sling-bag-original-imah76q4ntwz3wz4.jpeg?q=70,"₹1,077","₹4,999",78% off
Party Gold  Clutch,https://www.flipkart.com/dressberry-party-gold-clutch/p/itm9e84b67559968?pid=CLTHATGNEQGEYWS9&lid=LSTCLTHATGNEQGEYWS9BJ3ULI&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_14&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTHATGNEQGEYWS9.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/z/x/e/stylish-hand-purse-for-women-stylish-hand-purse-for-women-original-imahfh9xuje3pfnb.jpeg?q=70,₹238,"₹1,799",86% off
Party Gold  Clutch,https://www.flipkart.com/nohu-party-gold-clutch/p/itm998736c9fafd2?pid=CLTH8348DXDZVGVD&lid=LSTCLTH8348DXDZVGVDWPC46K&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_15&otracker=browse&fm=organic&iid=b233ff6a-2b6f-483d-b2c9-c8ad46040d23.CLTH8348DXDZVGVD.SEARCH&ppt=None&ppn=None&ssid=pa27a7mcqo0000001747544361503,https://rukminim2.flixcart.com/image/612/612/xif0q/clutch/q/9/n/casual-clutch-women-girls-small-combo-black-maroon-combo-bm501-original-imah8guyevxgrqe8.jpeg?q=70,₹210,₹999,78% off
