Product Name,Product Link,Image URL,Price,Original Price,Discount
Women Fit and Flare Pink Ankle Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-pink-ankle-length-dress/p/itmc98fdf280ffca?pid=DREH8WZYA2FXMDGP&lid=LSTDREH8WZYA2FXMDGPLNWZYM&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_5&otracker=browse&fm=organic&iid=en_wcO9U510P37JFCyLH0_jaO3P_tvOws3cf9Q8kgKfagaYWyi84u0bZKoFk1Cb7kUpdC1n4cY-XSjzzwLIsWXmUw%3D%3D&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/u/k/v/s-1001-new-d-zwerlon-original-imah2qgw95hrshvj.jpeg?q=70,₹397,"₹1,999",80% off
Women Fit and Flare Blue Maxi/Full Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-blue-maxi-full-length-dress/p/itm4bb850ed77a67?pid=DREH2D6QUAZB8WKT&lid=LSTDREH2D6QUAZB8WKTG4X5O9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_7&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREH2D6QUAZB8WKT.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/h/l/3/xxl-6101-sheetal-associates-original-imagmnemtrdhgrnc.jpeg?q=70,₹408,"₹1,999",79% off
Women Fit and Flare Black Midi/Calf Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-black-midi-calf-length-dress/p/itma8d6861c81c56?pid=DREH5YFAFRPFBZ5W&lid=LSTDREH5YFAFRPFBZ5WXOJB7I&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_8&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREH5YFAFRPFBZ5W.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/r/v/c/xs-gl512-glamalue-original-imah9mfgx2pg6sne.jpeg?q=70,₹422,"₹2,499",83% off
Women Bodycon Yellow Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/aayu-women-bodycon-yellow-above-knee-mid-thigh-length-dress/p/itm8fcaebb44b4e9?pid=DREGGY5TFK3V6SXC&lid=LSTDREGGY5TFK3V6SXCI75M73&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_9&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREGGY5TFK3V6SXC.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/h/d/c/xs-ttj6008724-tokyo-talkies-original-imags57uyph2fgmq.jpeg?q=70,₹679,"₹1,899",64% off
Women Fit and Flare Blue Below Knee Dress,https://www.flipkart.com/manojava-women-fit-flare-blue-below-knee-dress/p/itm4f3e33af2b3d1?pid=DREH6A7BAZ2M3CEV&lid=LSTDREH6A7BAZ2M3CEVYCIGZ9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_13&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREH6A7BAZ2M3CEV.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/b/6/k/na-xxl-full-sleeve-stitched-ss-224-04-femvy-na-original-imah8uhgrbk3b4ag.jpeg?q=70,₹407,"₹1,999",79% off
Women Fit and Flare Blue Midi/Calf Length Dress,https://www.flipkart.com/presha-women-fit-flare-blue-midi-calf-length-dress/p/itm850da18aa6bc9?pid=DREH89G5ZTZWCQZQ&lid=LSTDREH89G5ZTZWCQZQTOB8XE&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_14&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREH89G5ZTZWCQZQ.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/b/j/n/xxl-dr11275-sheetal-associates-original-imah2xccygcgjyvv.jpeg?q=70,₹345,"₹1,349",74% off
"Women Fit and Flare Dark Blue, Brown, White Maxi/Full L...",https://www.flipkart.com/fashion2wear-women-fit-flare-dark-blue-brown-white-maxi-full-length-dress/p/itm45d30c0a464e5?pid=DREGQ3SAST4GXMFH&lid=LSTDREGQ3SAST4GXMFHBHJG52&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_17&otracker=browse&fm=organic&iid=en_wcO9U510P37JFCyLH0_jaO3P_tvOws3cf9Q8kgKfagbhK7hNxJsBdjW8ptvNgiFBx8t69bC6LJy5rT1GUWxBwg%3D%3D&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/p/l/v/xl-re-100-raiyani-enterprise-original-imah47pazzacakxb.jpeg?q=70,₹407,"₹1,999",79% off
Women Bodycon Purple Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/tokyo-talkies-women-bodycon-purple-above-knee-mid-thigh-length-dress/p/itm33a8f76573655?pid=DREGP2F6RZAWJYHV&lid=LSTDREGP2F6RZAWJYHVLODUAT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_20&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREGP2F6RZAWJYHV.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/s/c/p/na-xl-3-4-sleeve-stitched-ss1-75-04-femvy-na-original-imah5yf3wab438yw.jpeg?q=70,₹407,"₹1,999",79% off
Women Ruffled Red Maxi/Full Length Dress,https://www.flipkart.com/buynewtrend-women-ruffled-red-maxi-full-length-dress/p/itm352044737efc7?pid=DREH5YZZFYBMZZSR&lid=LSTDREH5YZZFYBMZZSRMDGNFS&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_27&otracker=browse&fm=organic&iid=en_wcO9U510P37JFCyLH0_jaO3P_tvOws3cf9Q8kgKfagYNb8J6IlomMT0Yf0fCW6107wNYz8v21GaYFb34ivfqAQ%3D%3D&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/k/w/w/l-aa-0163-yellow-somoking-dress-aayu-original-imaggy5pzgtzd9f5.jpeg?q=70,₹448,"₹1,499",70% off
Women Fit and Flare Pink Midi/Calf Length Dress,https://www.flipkart.com/metronaut-women-fit-flare-pink-midi-calf-length-dress/p/itm2c088f24c2aad?pid=DREH9TV35GMDR8GZ&lid=LSTDREH9TV35GMDR8GZQVIHGR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_31&otracker=browse&fm=organic&iid=en_wcO9U510P37JFCyLH0_jaO3P_tvOws3cf9Q8kgKfagZ-ko-LMCkeoAd8UtG24JIBA_zJO3nXgGfatHOIl16t9w%3D%3D&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/8/u/a/na-xxl-3-4-sleeve-stitched-ss0095-femvy-na-original-imagwsfh4q5aygmy.jpeg?q=70,₹299,"₹1,999",85% off
Women Fit and Flare Dark Blue Midi/Calf Length Dress,https://www.flipkart.com/gujari-women-fit-flare-dark-blue-midi-calf-length-dress/p/itm156fda19c5300?pid=DREGQD4X6VNQHCZW&lid=LSTDREGQD4X6VNQHCZWQNBFPC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_32&otracker=browse&fm=organic&iid=en_wcO9U510P37JFCyLH0_jaO3P_tvOws3cf9Q8kgKfagYDeiaRSxsT9-eowRof-0zXlW1etGNW5u04X5RMNGh9rQ%3D%3D&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-dress/g/l/k/m-7191shopsy-sheetal-associates-original-imah35wr5hvtbgcr.jpeg?q=70,₹345,"₹1,999",82% off
Women Bodycon Multicolor Maxi/Full Length Dress,https://www.flipkart.com/tandul-women-bodycon-multicolor-maxi-full-length-dress/p/itmceee7d222934d?pid=DREH4EDSG4HPN6MS&lid=LSTDREH4EDSG4HPN6MSSEEVCT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_33&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREH4EDSG4HPN6MS.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/v/c/c/s-jb-dress-036-jaipuri-bunaai-original-imagzhffkpauj5y8.jpeg?q=70,₹494,"₹3,999",87% off
Women Layered Pink Midi/Calf Length Dress,https://www.flipkart.com/handsome-king-women-layered-pink-midi-calf-length-dress/p/itm2c9d71abf11fb?pid=DREH3FVGCQ9GVHJY&lid=LSTDREH3FVGCQ9GVHJYZAUTQA&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_34&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREH3FVGCQ9GVHJY.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/l/5/q/s-mj-7107-manojava-original-imah6a7a9tyvd94q.jpeg?q=70,₹480,"₹1,899",74% off
Women Bodycon Brown Below Knee Dress,https://www.flipkart.com/kotty-women-bodycon-brown-below-knee-dress/p/itm09d7cc55ae5e9?pid=DREH5MSJHCJQFAGB&lid=LSTDREH5MSJHCJQFAGBCETE51&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_40&otracker=browse&fm=organic&iid=603dbb74-93db-4387-8061-fd40ddcbc7e5.DREH5MSJHCJQFAGB.SEARCH&ppt=None&ppn=None&ssid=indbzwrj5s0000001747544552976,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/k/e/1/m-elegant12-presha-original-imah8ajefnx7ba5k.jpeg?q=70,₹498,"₹2,499",80% off
Women Fit and Flare Pink Ankle Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-pink-ankle-length-dress/p/itmc98fdf280ffca?pid=DREH8WZYA2FXMDGP&lid=LSTDREH8WZYA2FXMDGPLNWZYM&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_2&otracker=browse&fm=organic&iid=en_FW4CWnxpqFvrPXXEXmEk32N6jelGd2CEASCUxJOxR23_kLyl2Nw6eH7DLddQJ7ZKdCe5Hy6dGzId9kK1JSlG3w%3D%3D&ppt=None&ppn=None&ssid=dkak37by680000001747544555293,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/k/b/s/s-o-906-j-turritopsis-original-imah4k9ymz4dagtj.jpeg?q=70,₹448,"₹1,699",73% off
Women Fit and Flare Green Midi/Calf Length Dress,https://www.flipkart.com/metronaut-women-fit-flare-green-midi-calf-length-dress/p/itm3cbed824a0ed3?pid=DREHAKT9P9J3H8E7&lid=LSTDREHAKT9P9J3H8E7SSYU0B&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_5&otracker=browse&fm=organic&iid=en_FW4CWnxpqFvrPXXEXmEk32N6jelGd2CEASCUxJOxR22pfV_TbAH1Umy-82mvqTGyz_oc58oP-edFDWC0rrqJsA%3D%3D&ppt=None&ppn=None&ssid=dkak37by680000001747544555293,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/8/f/c/s-aa-0158maroon-pleated-neack-dress-aayu-original-imagg7h5ynthgcay.jpeg?q=70,₹497,"₹1,599",68% off
Women Bodycon Black Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/mint-street-women-bodycon-black-above-knee-mid-thigh-length-dress/p/itm95d6a752f6482?pid=DREHYURFSCS5GHXA&lid=LSTDREHYURFSCS5GHXARK8C3K&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_7&otracker=browse&fm=organic&iid=9746e739-7c28-4cb9-8edc-287170443004.DREHYURFSCS5GHXA.SEARCH&ppt=None&ppn=None&ssid=dkak37by680000001747544555293,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/q/n/d/xxl-f-b-flower-fashion2wear-original-imah2p63qazkgmrn.jpeg?q=70,₹473,₹999,52% off
Women Fit and Flare White Midi/Calf Length Dress,https://www.flipkart.com/lexrex-women-fit-flare-white-midi-calf-length-dress/p/itm5316652374a8e?pid=DREGNRU9KQ6GCPSG&lid=LSTDREGNRU9KQ6GCPSGPRQNBT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_8&otracker=browse&fm=organic&iid=9746e739-7c28-4cb9-8edc-287170443004.DREGNRU9KQ6GCPSG.SEARCH&ppt=None&ppn=None&ssid=dkak37by680000001747544555293,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/u/6/0/m-htdrss11624-honky-tonky-original-imah7jm2xaz2h24w.jpeg?q=70,₹353,"₹1,349",73% off
Women Fit and Flare Blue Below Knee Dress,https://www.flipkart.com/manojava-women-fit-flare-blue-below-knee-dress/p/itm4f3e33af2b3d1?pid=DREH6A7BAZ2M3CEV&lid=LSTDREH6A7BAZ2M3CEVYCIGZ9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_14&otracker=browse&fm=organic&iid=9746e739-7c28-4cb9-8edc-287170443004.DREH6A7BAZ2M3CEV.SEARCH&ppt=None&ppn=None&ssid=dkak37by680000001747544555293,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/z/d/k/s-dr11264-sheetal-associates-original-imah2xccfsvqwam7.jpeg?q=70,₹445,"₹1,349",67% off
