Product Name,Product Link,Image URL,Price,Original Price,Discount
Floral Print Georgette Stitched Flared/A-line Gown,https://www.flipkart.com/odd-chansi-trendz-flared-a-line-gown/p/itm8241074712920?pid=GWNH3ZB4G9ZHVHXJ&lid=LSTGWNH3ZB4G9ZHVHXJRHBSES&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_1&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfJ_3NdyJ1WXovOp7laVaQHCYLaLao6ox8kEwX3ZCz1-fA%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/l/y/r/na-m-3-4-sleeve-stitched-obc-ct-27-chansi-trendz-na-original-imahag4yuwpkvfad.jpeg?q=70,"₹1,154","₹5,799",80% off
Floral Print Georgette Stitched Flared/A-line Gown,https://www.flipkart.com/odd-chansi-trendz-flared-a-line-gown/p/itme5a3916390114?pid=GWNH3UV3H8FNNVXY&lid=LSTGWNH3UV3H8FNNVXYKJMRKI&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_2&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfKR5iE3c9pJ9NImJbOK6c_WCY09ycGssc-HNtjDDlcBWw%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/f/m/0/na-l-3-4-sleeve-stitched-obc-ct-14-chansi-trendz-na-original-imahag4ytprhvw2q.jpeg?q=70,"₹1,220","₹5,499",77% off
Printed Viscose Rayon Stitched Flared/A-line Gown,https://www.flipkart.com/bamliza-wear-flared-a-line-gown/p/itm283624aac0657?pid=GWNH7TS4PXEMCGR5&lid=LSTGWNH7TS4PXEMCGR575J9IS&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&spotlightTagId=default_BestsellerId_clo%2Fodx%2Fod7%2F0xx&srno=b_1_3&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNH7TS4PXEMCGR5.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/r/v/y/na-xl-3-4-sleeve-stitched-f-2011-nitya-fashion-na-original-imah2q8ezrum2rfb.jpeg?q=70,₹290,₹999,70% off
Floral Print Georgette Stitched Anarkali Gown,https://www.flipkart.com/fabhuman-anarkali-gown/p/itm4979e83a08b3e?pid=GWNHBTBFBAMRGTHG&lid=LSTGWNHBTBFBAMRGTHGRBOPI4&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_4&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHBTBFBAMRGTHG.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/k/h/t/na-s-sleeveless-stitched-anarkali-ethnic-women-gown-fabhuman-na-original-imahbtbencdkz5ww.jpeg?q=70,₹463,"₹1,999",76% off
"Printed, Floral Print Georgette Stitched Anarkali Gown",https://www.flipkart.com/mogal-fashion-anarkali-gown/p/itm3e91c4d766632?pid=GWNHBXDDFUCRQSEX&lid=LSTGWNHBXDDFUCRQSEXS3HULJ&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_5&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHBXDDFUCRQSEX.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/i/n/o/na-xl-full-sleeve-stitched-anarkali-s-mogal-fashion-na-original-imahbxdddksagkvc.jpeg?q=70,₹469,₹999,53% off
Printed Viscose Rayon Stitched Anarkali Gown,https://www.flipkart.com/auriprx-fashion-anarkali-gown/p/itm9ad622bcf041d?pid=GWNH2KUM9AMQGYG2&lid=LSTGWNH2KUM9AMQGYG2GDI119&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_6&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfKHMU6DupQQYQUPrzY-IUZQIB6Zbv8VxkEVnJnXXUNK_w%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/q/g/e/xl-fc-004-gown-ardanay-original-imah8pf5kycymyva.jpeg?q=70,₹423,"₹1,499",71% off
Printed Georgette Stitched Anarkali Gown,https://www.flipkart.com/yogeshwar-anarkali-gown/p/itma8acd240d361d?pid=GWNHBCUXNJGZ9Z3P&lid=LSTGWNHBCUXNJGZ9Z3POZRJKM&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_7&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHBCUXNJGZ9Z3P.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/b/e/x/na-l-full-sleeve-stitched-hd-rk-manali-blue-helwin-designer-na-original-imahb8fmdh8du4cw.jpeg?q=70,₹689,"₹1,999",65% off
Floral Print Georgette Stitched Anarkali Gown,https://www.flipkart.com/fabhuman-anarkali-gown/p/itmae656f54228e0?pid=GWNHBTBFSUGMZFWF&lid=LSTGWNHBTBFSUGMZFWFOLD2BR&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_8&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHBTBFSUGMZFWF.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/d/i/2/na-xxl-sleeveless-stitched-123-flower-gown-f1-js-creative-na-original-imah5tnnfmbny7jh.jpeg?q=70,₹463,"₹1,999",76% off
Printed Georgette Stitched Anarkali Gown,https://www.flipkart.com/woclo-enterprise-anarkali-gown/p/itm60da012c7485e?pid=GWNH26Z5HJD7MKHE&lid=LSTGWNH26Z5HJD7MKHE9OURRJ&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&spotlightTagId=default_TrendingId_clo%2Fodx%2Fod7%2F0xx&srno=b_1_9&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNH26Z5HJD7MKHE.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/9/r/p/na-m-full-sleeve-stitched-habbi-woclo-enterprise-na-original-imahbzrt5ymhenef.jpeg?q=70,₹369,"₹2,499",85% off
Embroidered Viscose Rayon Stitched Anarkali Gown,https://www.flipkart.com/shanoor-textile-anarkali-gown/p/itm4df23ed8c79e0?pid=GWNGZDE9GPQ7YYAT&lid=LSTGWNGZDE9GPQ7YYATORANRA&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_10&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNGZDE9GPQ7YYAT.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/p/t/s/20-s-full-sleeve-stitched-heart-gown-freydis-50-original-imah28tfd33nzgzg.jpeg?q=70,₹381,"₹1,899",79% off
Printed Georgette Stitched Anarkali Gown,https://www.flipkart.com/snappy-creation-anarkali-gown/p/itm7e3e93668f936?pid=GWNGKC9ZWRYCJMFQ&lid=LSTGWNGKC9ZWRYCJMFQBUA6CO&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_11&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfJh92uwuMjTbn_aAW0qJXerAGVZoW_nkAl89xvKY_R49A%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-gown/v/1/j/l-3-4-sleeve-stitched-angel-13-white-s-snappy-creation-original-imah5gdduxggprb4.jpeg?q=70,₹653,"₹1,999",67% off
Floral Print Georgette Stitched Flared/A-line Gown,https://www.flipkart.com/qvazor-flared-a-line-gown/p/itm4820341e071f3?pid=GWNGRVGVQZXVEHG9&lid=LSTGWNGRVGVQZXVEHG9OMK9IC&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_12&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfK-ore4oGVIaNWqdquvbUue5QVN--ed2LP8fxma52flZA%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/v/e/e/na-l-full-sleeve-stitched-me-netra-qvazor-na-original-imagrptycyhaefkj.jpeg?q=70,₹687,₹999,31% off
Applique Georgette Stitched Anarkali Gown,https://www.flipkart.com/vspcreation-anarkali-gown/p/itm69bf6872b7244?pid=GWNH9QGJHMAGFUWR&lid=LSTGWNH9QGJHMAGFUWRIGVAR5&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_13&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNH9QGJHMAGFUWR.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/4/m/o/17-xxl-full-sleeve-stitched-dot-pink-vsp-creation-47-original-imah9qggctx2xary.jpeg?q=70,₹464,"₹1,999",76% off
Woven Georgette Stitched Anarkali Gown,https://www.flipkart.com/fashionadk-anarkali-gown/p/itmf457e2e7c09fd?pid=GWNHBZH2CDQMX3KR&lid=LSTGWNHBZH2CDQMX3KRXWIET9&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_14&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHBZH2CDQMX3KR.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-gown/g/y/q/xl-full-sleeve-stitched-cl-543-multicolor-fashionadk-original-imahbymjqarhbhnc.jpeg?q=70,"₹1,804","₹4,999",63% off
Embroidered Viscose Rayon Stitched Anarkali Gown,https://www.flipkart.com/vasant-apparel-anarkali-gown/p/itmd138f93c335ef?pid=GWNHF3MSWWHRY2RZ&lid=LSTGWNHF3MSWWHRY2RZSRROZL&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_15&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHF3MSWWHRY2RZ.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-kurta/i/5/m/s-women-mustard-embroidered-anarkali-kurta-vasant-apparel-original-imagpnbdcxwgfvnh.jpeg?q=70,₹299,"₹1,999",85% off
Floral Print Georgette Stitched Flared/A-line Gown,https://www.flipkart.com/hanumant-handwork-flared-a-line-gown/p/itm21d09fc213c64?pid=GWNHF7TDV6H3VGSF&lid=LSTGWNHF7TDV6H3VGSFVRHYQC&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_16&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHF7TDV6H3VGSF.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/q/k/t/na-xxl-full-sleeve-stitched-rozzy-01-hanumant-handwork-na-original-imahf7tcshkhzj6h.jpeg?q=70,₹450,₹999,54% off
Printed Cotton Blend Semi Stitched Anarkali Gown,https://www.flipkart.com/royalethnicaura-anarkali-gown/p/itma9ddd98a34845?pid=GWNH8YREYSQKP7ZH&lid=LSTGWNH8YREYSQKP7ZH0BSSUT&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_17&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfKUR6D2oTQlKurgZDJoE2oKROZR9QIrOnUrgvyrMlcWiA%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/s/3/e/180-xl-3-4-sleeve-semi-stitched-gown-royalethnicaura-216-original-imahc4naaafrpf2z.jpeg?q=70,₹360,₹999,63% off
Georgette Stitched Anarkali Gown,https://www.flipkart.com/fashionvalleydresses-anarkali-gown/p/itm2af53bbf9b0ec?pid=GWNH7HJ9FJBUYRJK&lid=LSTGWNH7HJ9FJBUYRJKLQLANN&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_18&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfI4iNJh-tUPsJMn8kFdcDsS0gvNo3Rq0eUjePrmjQp8GA%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/t/3/i/15-m-3-4-sleeve-stitched-lv-red-fashionvalleydresses-59-original-imah7hj8zbhxvgwg.jpeg?q=70,"₹1,853","₹2,999",38% off
Cotton Blend Stitched Anarkali Gown,https://www.flipkart.com/gowngrace-anarkali-gown/p/itm2056970348103?pid=GWNHBKKZABP92G2D&lid=LSTGWNHBKKZABP92G2D6XGQHT&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_19&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNHBKKZABP92G2D.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/u/i/g/xxl-d11-maroon-online-selling-original-imah2fpr8zufdyvd.jpeg?q=70,₹689,₹999,31% off
Printed Georgette Stitched Anarkali Gown,https://www.flipkart.com/theomfab-anarkali-gown/p/itme27eba8a98f20?pid=GWNH4H3G3CCAXSWH&lid=LSTGWNH4H3G3CCAXSWHDEQLWZ&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_20&otracker=browse&fm=organic&iid=c759f314-bf28-4b6c-935e-690e92e85e83.GWNH4H3G3CCAXSWH.SEARCH&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/b/b/x/na-xl-full-sleeve-stitched-dipali-purple-a-the-om-fab-na-original-imah746ekyuprfqx.jpeg?q=70,₹445,₹999,55% off
Printed Georgette Stitched Flared/A-line Gown,https://www.flipkart.com/odd-chansi-trendz-flared-a-line-gown/p/itm1aa78a5a33e34?pid=GWNH3Y8AYXNFMBHG&lid=LSTGWNH3Y8AYXNFMBHGGL8CMP&marketplace=FLIPKART&store=clo%2Fodx%2Fod7%2F0xx&srno=b_1_21&otracker=browse&fm=organic&iid=en_WCxME8IfbzhtnN9iyMiyEl4r2CjXRTt5pcaJ-gVPEfLVOBK1JvOQJVEQ0sOet5AM-EcjmnA3FpTDyNatYKKYmw%3D%3D&ppt=None&ppn=None&ssid=l53cx4b0v40000001747415194780,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/a/6/z/na-l-sleeveless-stitched-ct-16-t-blue-odd-by-chansi-trendz-na-original-imahc3yvc2fbr2zy.jpeg?q=70,₹928,"₹4,999",81% off
