Product Name,Product Link,Image URL,Price,Original Price,Discount
Women Grey Shoulder Bag,https://www.flipkart.com/live-women-grey-shoulder-bag/p/itm9944f01939035?pid=HMBH4Y5GUXD5WBFK&lid=LSTHMBH4Y5GUXD5WBFKQNENM4&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_1&otracker=browse&fm=organic&iid=en_tr_H0I7hO1o9XzD_oRmFd3knNnDdYiCCFdX9UnJ5rvpIX8zbwaA5wxc8D3GWLOaSKcVPj5lslEI076ASyjt70A%3D%3D&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/9/z/z/ethnic-design-jute-shoulder-bag-14-lf-328-shldrbg-jte-gprnt-gry-original-imah3u9njpv2zqrn.jpeg?q=70,₹392,"₹1,999",80% off
Women Grey Hand-held Bag,https://www.flipkart.com/like-style-women-grey-hand-held-bag/p/itm6b36d654ec14e?pid=HMBGW7FYAZREGZHA&lid=LSTHMBGW7FYAZREGZHAFWEYK0&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_2&otracker=browse&fm=organic&iid=en_tr_H0I7hO1o9XzD_oRmFd3knNnDdYiCCFdX9UnJ5rvrL-EC2saUQA67un9Pl3l4p2fgqvu6Y5OUQ40BYh1fDOQ%3D%3D&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/a/g/q/cutwork-floral-handheld-bag-with-detachable-strap-28-ls-306-original-imah63gmgwuxxcqw.jpeg?q=70,₹370,"₹2,499",85% off
Women Multicolor Shoulder Bag,https://www.flipkart.com/like-style-women-multicolor-shoulder-bag/p/itm9944f01939035?pid=HMBH2J3ZHQB97CY8&lid=LSTHMBH2J3ZHQB97CY8LVTXNH&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&spotlightTagId=default_BestsellerId_reh%2Fihu%2Fm08&srno=b_1_3&otracker=browse&fm=organic&iid=ac09c041-16bb-4f0b-b46d-5936575c591c.HMBH2J3ZHQB97CY8.SEARCH&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/4/a/f/ethnic-design-jute-shoulder-bag-ls-328-shldrbg-jte-gprnt-gry-original-imah2j3zaddffj7q.jpeg?q=70,₹364,"₹1,999",81% off
Women Yellow Shoulder Bag,https://www.flipkart.com/guess-women-yellow-shoulder-bag/p/itm24d8352116c36?pid=HMBH6MKGVNFGDAQC&lid=LSTHMBH6MKGVNFGDAQCKKOTGQ&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_4&otracker=browse&fm=organic&iid=ac09c041-16bb-4f0b-b46d-5936575c591c.HMBH6MKGVNFGDAQC.SEARCH&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/c/7/i/women-yellow-solid-shoulder-bag-6-vg949318hon-shoulder-bag-guess-original-imah6mkgtqkfkzh5.jpeg?q=70,"₹10,691","₹11,000",2% off
Women Gold Shoulder Bag,https://www.flipkart.com/sassora-women-gold-shoulder-bag/p/itmb5bea20fb6fef?pid=HMBGGX3XFYQFFXZC&lid=LSTHMBGGX3XFYQFFXZCBP3OKQ&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_5&otracker=browse&fm=organic&iid=ac09c041-16bb-4f0b-b46d-5936575c591c.HMBGGX3XFYQFFXZC.SEARCH&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/u/m/q/-original-imagtt4grad3ey2t.jpeg?q=70,"₹4,505","₹8,499",46% off
Women Brown Shoulder Bag,https://www.flipkart.com/wildmoda-women-brown-shoulder-bag/p/itm899005f187461?pid=HMBHFUDYBG7JFDVB&lid=LSTHMBHFUDYBG7JFDVBBTE6CC&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_6&otracker=browse&fm=organic&iid=en_tr_H0I7hO1o9XzD_oRmFd3knNnDdYiCCFdX9UnJ5rvoH7evLFjhMMvbm3RYpW9FrscpGYiDYd4DlBrOxovOSkA%3D%3D&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/y/6/a/classic-polyester-double-pocket-shoulder-bag-32-double-pocket-original-imah5nfrv5yqtw7b.jpeg?q=70,₹763,"₹2,499",69% off
Women Grey Hand-held Bag,https://www.flipkart.com/max-women-grey-hand-held-bag/p/itm2ad413ee7b256?pid=HMBHBZHQJKBZFXHD&lid=LSTHMBHBZHQJKBZFXHDEFMFHF&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_7&otracker=browse&fm=organic&iid=ac09c041-16bb-4f0b-b46d-5936575c591c.HMBHBZHQJKBZFXHD.SEARCH&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/sling-bag/a/f/2/women-quilted-handbag-1-13-s12ttgl01-hand-held-bag-max-27-original-imahbyzwgujkydnz.jpeg?q=70,"₹1,299",,
Women Beige Hand-held Bag,https://www.flipkart.com/max-women-beige-hand-held-bag/p/itm5af89b81c4f05?pid=HMBHBZHQVYPPTCZF&lid=LSTHMBHBZHQVYPPTCZF263NJY&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_8&otracker=browse&fm=organic&iid=ac09c041-16bb-4f0b-b46d-5936575c591c.HMBHBZHQVYPPTCZF.SEARCH&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/sling-bag/v/g/x/women-textured-handheld-bag-1-12-5-s11shgl02-hand-held-bag-max-original-imahbyzwnjrnxyeq.jpeg?q=70,"₹1,299",,
Women Purple Hand-held Bag,https://www.flipkart.com/belladona-women-purple-hand-held-bag/p/itm6d68ff01f4605?pid=HMBGK6K7NGYC9UW8&lid=LSTHMBGK6K7NGYC9UW8TFHUQP&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_9&otracker=browse&fm=organic&iid=ac09c041-16bb-4f0b-b46d-5936575c591c.HMBGK6K7NGYC9UW8.SEARCH&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/o/y/8/-original-imagt8yqmznqgzuz.jpeg?q=70,₹274,₹899,69% off
Women Beige Shoulder Bag,https://www.flipkart.com/claspnclutch-women-beige-shoulder-bag/p/itm81a827cc040ed?pid=HMBGVTY7BXRH8HNX&lid=LSTHMBGVTY7BXRH8HNXZDFQAE&marketplace=FLIPKART&store=reh%2Fihu%2Fm08&srno=b_1_10&otracker=browse&fm=organic&iid=ac09c041-16bb-4f0b-b46d-5936575c591c.HMBGVTY7BXRH8HNX.SEARCH&ppt=None&ppn=None&ssid=0ow8w6mubk0000001747416506038,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/s/n/v/women-beige-shoulder-bag-35-5-tt-0212-shoulder-bag-claspnclutch-original-imah2qa5n5x8ma2q.jpeg?q=70,₹285,"₹1,099",74% off
