Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
Women Heels Sandal,https://www.flipkart.com/ravis-women-heels/p/itm588aec96e07b3?pid=SNDH8UF2FMGEHHF4&lid=LSTSNDH8UF2FMGEHHF4ACA48E&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_1&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=en_Rc35ZlUXxEWG7grkn8DpTmMa9CaeojnJjKyRjeyggw09CjszRgMpNG_mtjyRDWX8NUZKSofNAhmW-o7IJq041g%3D%3D&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/y/n/2/10-chain-ganth-ravis-purple-original-imah8ues4sazgkng.jpeg?q=70,Hot Deal,₹359,₹999,64% off
Women Heels Sandal,https://www.flipkart.com/ravis-women-heels/p/itme172ef9c98f8d?pid=SNDH8UF2Y2HDWDHK&lid=LSTSNDH8UF2Y2HDWDHK6CEKO8&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_2&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=en_Rc35ZlUXxEWG7grkn8DpTmMa9CaeojnJjKyRjeyggw3UTf0Q2a6d9OfPWVpfrhqWXLdILfxJAREWjM4yVkQfIw%3D%3D&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/f/q/a/5-flower-transparent-x-5-ravis-white-original-imah926mhpmryr8e.jpeg?q=70,Only few left,₹359,₹999,64% off
Women Heels Sandal,https://www.flipkart.com/nidima-women-heels/p/itmad22dc4ad324b?pid=SNDH4FBHWGNZUGBE&lid=LSTSNDH4FBHWGNZUGBEHXZXOW&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_3&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=4cfea52f-d3d7-4318-b209-d9a27bec7706.SNDH4FBHWGNZUGBE.SEARCH&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/z/h/4/6-vy-640-6-nidima-yellow-original-imah72b2xcgh8nh9.jpeg?q=70,Hot Deal,₹248,₹999,75% off
Women Heels Sandal,https://www.flipkart.com/taydol-women-heels/p/itmc4d499ffa45b0?pid=SNDFYF25NWYERAZ6&lid=LSTSNDFYF25NWYERAZ6EJILHR&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_4&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=4cfea52f-d3d7-4318-b209-d9a27bec7706.SNDFYF25NWYERAZ6.SEARCH&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/q/g/h/-original-imagvg6byk9ps6ym.jpeg?q=70,Hot Deal,₹401,"₹1,199",66% off
Women Heels Sandal,https://www.flipkart.com/vendoz-women-heels/p/itmbe47653bfd186?pid=SNDGYEF2RTDKTGRR&lid=LSTSNDGYEF2RTDKTGRRSOUHXJ&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_5&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=en_Rc35ZlUXxEWG7grkn8DpTmMa9CaeojnJjKyRjeyggw33QSG_0GBMK54rhsSn5eIrmAn1NKQfqOXT5rPLcPY1rA%3D%3D&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/c/2/p/3-wd602-vendoz-silver-original-imagyef2zky4rggs.jpeg?q=70,Only 4 left,₹724,"₹1,999",63% off
Women Heels Sandal,https://www.flipkart.com/purplehunt-women-heels/p/itma5e6e863fa83b?pid=SNDH2ABFQATMGYSG&lid=LSTSNDH2ABFQATMGYSGURAKKF&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_7&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=4cfea52f-d3d7-4318-b209-d9a27bec7706.SNDH2ABFQATMGYSG.SEARCH&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/c/6/n/5-ab3bk-smart-sleek-black-original-imaggbku5rt3bqey.jpeg?q=70,Only few left,₹646,₹999,35% off
Women Heels Sandal,https://www.flipkart.com/klexio-women-heels/p/itm78630422bf67e?pid=SNDH2M7FPY3HFKAY&lid=LSTSNDH2M7FPY3HFKAYYTQWHD&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_8&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=4cfea52f-d3d7-4318-b209-d9a27bec7706.SNDH2M7FPY3HFKAY.SEARCH&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/k/l/t/4-newsideroundsultanukk4-4-purplehunt-sultan-original-imah2abfh2hcpuff.jpeg?q=70,Only few left,₹855,"₹2,500",65% off
Women Heels Sandal,https://www.flipkart.com/zebin-women-heels/p/itm19503db31bda9?pid=SNDGGAYFUSRZDMEZ&lid=LSTSNDGGAYFUSRZDMEZO8IDNP&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_10&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=4cfea52f-d3d7-4318-b209-d9a27bec7706.SNDGGAYFUSRZDMEZ.SEARCH&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/m/x/n/5-156-black-klexio-black-original-imah2m3gthgqhsvh.jpeg?q=70,Hot Deal,₹878,"₹2,499",64% off
Women Heels Sandal,https://www.flipkart.com/ravis-women-heels/p/itmca754745073dc?pid=SNDH7WSJTUJYHACY&lid=LSTSNDH7WSJTUJYHACYXOJHER&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_12&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=en_Rc35ZlUXxEWG7grkn8DpTmMa9CaeojnJjKyRjeyggw0cRsMiPHpvebgi_6HwtcFngHFKzmhaFWBFECPt5wJjQA%3D%3D&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/f/3/u/6-tsh-2-black-rp-39-jm-looks-black-original-imahysghzjvszsas.jpeg?q=70,Hot Deal,₹800,"₹1,995",59% off
Women Heels Sandal,https://www.flipkart.com/ravis-women-heels/p/itm8d5b81df99858?pid=SNDHFW3FGJZXZH5S&lid=LSTSNDHFW3FGJZXZH5SMRUWW1&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&spotlightTagId=default_BestsellerId_osp%2Fiko%2F6q1&srno=b_1_13&otracker=nmenu_sub_Women_0_Heels1&fm=organic&iid=4cfea52f-d3d7-4318-b209-d9a27bec7706.SNDHFW3FGJZXZH5S.SEARCH&ppt=None&ppn=None&ssid=lt2wovvhog0000001747411920995,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sandal/q/a/b/6-akh-001-6-ak-sky-white-original-imah8rfrfbz2zryc.jpeg?q=70,Hot Deal,₹382,₹999,61% off
