Product Name,Product Link,Image URL,Price,Original Price,Discount
Women Straight Fit High Rise Black Jeans,https://www.flipkart.com/kotty-straight-fit-women-black-jeans/p/itm6aa30540b2019?pid=JEAGGBRUVSHE5QXE&lid=LSTJEAGGBRUVSHE5QXEJWGYDO&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_1&otracker=browse&fm=organic&iid=en_xG7OuHNPtnHhFmg-fBPV5UEbmx-wA-ecYjzYIbeciSi2oRQOQEUIyDpzq2KOqi6iv6XzyGfI64ElfB02TkMYcQ%3D%3D&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/e/r/b/30-straight-fit-kilme-original-imah5as4yvxnegrr.jpeg?q=70,₹498,"₹1,999",75% off
Women Regular High Rise Blue Jeans,https://www.flipkart.com/kotty-regular-women-blue-jeans/p/itm17f5f2d292040?pid=JEAGFFMY4H5QSGZD&lid=LSTJEAGFFMY4H5QSGZDVCCIPI&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_2&otracker=browse&fm=organic&iid=en_xG7OuHNPtnHhFmg-fBPV5UEbmx-wA-ecYjzYIbeciSg2dB4WTj1PK2wLZLbGlqkcSEbxgfrBtVs7AqTxYkm4xw%3D%3D&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/o/1/u/28-kttladiesjeans854-kotty-original-imags7tess6zjqjx.jpeg?q=70,₹498,"₹2,999",83% off
Women Boyfriend High Rise Blue Jeans,https://www.flipkart.com/kashian-boyfriend-women-blue-jeans/p/itmebce20b53adcc?pid=JEAGZ9CYZBKGBZD7&lid=LSTJEAGZ9CYZBKGBZD7W0PCIW&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_3&otracker=browse&fm=organic&iid=2b74bdfe-3ed2-4a4d-964b-1aa2f7e5d069.JEAGZ9CYZBKGBZD7.SEARCH&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/2/k/g/32-j-1320-blue-kashian-original-imagz9cwk22hhgxv.jpeg?q=70,₹472,"₹1,499",68% off
Women Relaxed Fit Mid Rise Black Jeans,https://www.flipkart.com/nalaka-relaxed-fit-women-black-jeans/p/itmeba69cf06de4d?pid=JEAH8JJDTTHNCU9R&lid=LSTJEAH8JJDTTHNCU9RLN8HJO&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_4&otracker=browse&fm=organic&iid=2b74bdfe-3ed2-4a4d-964b-1aa2f7e5d069.JEAH8JJDTTHNCU9R.SEARCH&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-jean/a/i/a/30-902-wblp-47-nalaka-original-imah89eafazmgrbe.jpeg?q=70,₹484,"₹1,499",67% off
Women Regular High Rise Dark Blue Jeans,https://www.flipkart.com/northern-denim-co-regular-women-dark-blue-jeans/p/itm5fad5056d4e67?pid=JEAHA2Q7GCVBSZYG&lid=LSTJEAHA2Q7GCVBSZYGE5ILF5&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_5&otracker=browse&fm=organic&iid=2b74bdfe-3ed2-4a4d-964b-1aa2f7e5d069.JEAHA2Q7GCVBSZYG.SEARCH&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-jean/s/t/w/34-shopsy-6pocket-stone-1z-nucouths-original-imahyg5f2yykwj9s.jpeg?q=70,₹816,"₹2,299",64% off
Women Loose Fit Low Rise Light Blue Jeans,https://www.flipkart.com/likeefashion-loose-fit-women-light-blue-jeans/p/itm53041245e85ef?pid=JEAH2YXM8PV6AYDM&lid=LSTJEAH2YXM8PV6AYDMEYEEKZ&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_10&otracker=browse&fm=organic&iid=2b74bdfe-3ed2-4a4d-964b-1aa2f7e5d069.JEAH2YXM8PV6AYDM.SEARCH&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/s/d/b/30-dl-women-baggy-04-denim-look-original-imah86wjmvngvrhz.jpeg?q=70,₹500,"₹2,999",83% off
Women Regular High Rise Grey Jeans,https://www.flipkart.com/kotty-regular-women-grey-jeans/p/itm388ad1fa9cf8e?pid=JEAGAJV6XMG3XF7D&lid=LSTJEAGAJV6XMG3XF7DVFLRYB&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_11&otracker=browse&fm=organic&iid=en_xG7OuHNPtnHhFmg-fBPV5UEbmx-wA-ecYjzYIbeciSjla3BOclQgnXtB7qybQnDEXngQ87Zx6lAEnRQvCuZ6mg%3D%3D&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/a/q/8/30-31362921-glitchez-original-imahbzza9kas8gen.jpeg?q=70,₹579,"₹1,999",71% off
Women High Rise Black Jeans,https://www.flipkart.com/roadster-women-black-jeans/p/itm119fdbe0b99f3?pid=JEAG6N2SRJAV8JVD&lid=LSTJEAG6N2SRJAV8JVDF9WTEP&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_12&otracker=browse&fm=organic&iid=en_xG7OuHNPtnHhFmg-fBPV5UEbmx-wA-ecYjzYIbeciSi6IpYKfRtwWhZPsaDYWrRFZl7kTA0-n9Yt3xEBDLInkw%3D%3D&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/k/f/s/36-31939534-glitchez-original-imahbzzbbrahjjpr.jpeg?q=70,₹914,"₹1,499",39% off
Women Flared High Rise Blue Jeans,https://www.flipkart.com/kotty-flared-women-blue-jeans/p/itm391c633a01750?pid=JEAGFF5Y4SRY7WPV&lid=LSTJEAGFF5Y4SRY7WPVDRUUMU&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_17&otracker=browse&fm=organic&iid=en_xG7OuHNPtnHhFmg-fBPV5UEbmx-wA-ecYjzYIbeciSjhNg2EdTGMLMEgRapFdJ2Ax7oOBjvj593Hnz4GVA4HJw%3D%3D&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/m/v/x/-original-imah9gvxfghyczza.jpeg?q=70,₹440,"₹2,399",81% off
Women Straight Fit High Rise Grey Jeans,https://www.flipkart.com/kotty-straight-fit-women-grey-jeans/p/itm3bd3d99a87400?pid=JEAH4Y7YGHD9ZZGX&lid=LSTJEAH4Y7YGHD9ZZGXUP3EWR&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2F4hp&srno=b_1_18&otracker=browse&fm=organic&iid=en_xG7OuHNPtnHhFmg-fBPV5UEbmx-wA-ecYjzYIbeciShE8qpa2c-PhwLZZwXpSmOoMyCjY4ZPcYzgLZHePCQ30A%3D%3D&ppt=None&ppn=None&ssid=vuwxhwglj40000001747414620110,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/m/n/n/30-light-plazo-likeefashion-original-imah2yxm5jqy6hxc.jpeg?q=70,₹279,₹699,60% off
