Product Name,Product Link,Image URL,Price,Original Price,Discount
MINARA Nude Eye Shadow Palette and Rose Gold (18+18 col...,https://www.flipkart.com/minara-nude-eye-shadow-palette-rose-gold-18-18-colors-36-g/p/itmef6ebf85b0cac?pid=ESDGQJGMZMZQHFAH&lid=LSTESDGQJGMZMZQHFAHMWQ14H&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_1&otracker=browse&fm=organic&iid=en_-3PZLJ325CWgTWXzCSJLKLVd3NWesDH6tAdoitVu4frWmktfeZ439PgHoKuKAVyxevxtpvCt65xA3hxBGSNAVfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-eye-shadow/l/v/j/30-nude-and-rose-gold-eyeshadow-palette-combo-shimmery-finish-original-imahfzgtnfmggff3.jpeg?q=70,₹180,"₹1,299",86% off
MINARA 60 Color Matte & Shimmery Pigment EyeShadow 170 ...,https://www.flipkart.com/minara-60-color-matte-shimmery-pigment-eyeshadow-170-g/p/itm9e3e8c52c933a?pid=ESDGTA83AEFNYUUU&lid=LSTESDGTA83AEFNYUUUS4NQYF&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_2&otracker=browse&fm=organic&iid=en_-3PZLJ325CWgTWXzCSJLKLVd3NWesDH6tAdoitVu4foZrXEowN8hgjYTrFEEeYjz0qwmOlGa1iA9aNbTuaJOVfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/eye-shadow/p/u/r/70-60-color-matte-shimmery-pigment-eyeshadow-minara-original-imagta8cmhpjf6qv.jpeg?q=70,₹188,"₹1,299",85% off
RYUK Gloss Gel Like Shine Nail Polish Set for Stunning ...,https://www.flipkart.com/ryuk-gloss-gel-like-shine-nail-polish-set-stunning-nails-pack-6-multicolor/p/itm7f31a05bbd51f?pid=NLPGRXN4ZGHVTYZS&lid=LSTNLPGRXN4ZGHVTYZS35IFOI&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_3&otracker=browse&fm=organic&iid=b8ab303b-7e54-4792-be25-08e898aece15.NLPGRXN4ZGHVTYZS.SEARCH&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/nail-polish/w/b/x/42-gloss-gel-like-shine-nail-polish-set-for-stunning-nails-pack-original-imagrxn4g3uch8qm.jpeg?q=70,₹164,"₹1,049",84% off
BLUE HEAVEN Bridal Makeup kit for women,https://www.flipkart.com/blue-heaven-bridal-makeup-kit-women/p/itm375b95ad5e3a1?pid=MKTG25YYCRHD3JPD&lid=LSTMKTG25YYCRHD3JPDPVULDW&marketplace=FLIPKART&store=g9b%2Fffi&spotlightTagId=default_BestsellerId_g9b%2Fffi&srno=b_1_4&otracker=browse&fm=organic&iid=b8ab303b-7e54-4792-be25-08e898aece15.MKTG25YYCRHD3JPD.SEARCH&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/makeup-kit/u/r/6/-original-imah2tpchqa33gpf.jpeg?q=70,₹405,"₹1,350",70% off
G4U Nail Polish Set 4 Colors Red BroMauve Wine Nail Pai...,https://www.flipkart.com/g4u-nail-polish-set-4-colors-red-bromauve-wine-paints-16-18-19-25-red-brown-wine-mauve/p/itm7d730f71e5f25?pid=NLPGZF9GGBHZHBDS&lid=LSTNLPGZF9GGBHZHBDS1KHDNL&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_5&otracker=browse&fm=organic&iid=b8ab303b-7e54-4792-be25-08e898aece15.NLPGZF9GGBHZHBDS.SEARCH&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/nail-polish/p/j/b/24-nail-polish-set-4-colors-red-bromauve-wine-nail-paints-16-18-original-imah7z78p9d7fbv7.jpeg?q=70,₹106,₹500,78% off
"MINARA Cosmetic Bag for Makeup Organiser, Jewellery, Tr...",https://www.flipkart.com/minara-cosmetic-bag-makeup-organiser-jewellery-travel-grooming-vanity-box-jewellery/p/itm1efb3db604d14?pid=VANH3HK7NHCG23TZ&lid=LSTVANH3HK7NHCG23TZTXKAFL&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_6&otracker=browse&fm=organic&iid=en_-3PZLJ325CWgTWXzCSJLKLVd3NWesDH6tAdoitVu4fpIcoFANsTEopNXq5Mnve12k4EkvyNkBRfaTCpfC5kNh33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/vanity-box/p/4/i/-original-imah4jf6thrnczea.jpeg?q=70,₹181,"₹1,299",86% off
"ELIBLISS Strawberry Lip Serum for Soft, Moisturised Lip...",https://www.flipkart.com/elibliss-strawberry-lip-serum-soft-moisturised-lips-glossy-shine-effect/p/itmc7f69ac4d163a?pid=LPBGU5NYH4FY7TA7&lid=LSTLPBGU5NYH4FY7TA7NNOGYY&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_7&otracker=browse&fm=organic&iid=b8ab303b-7e54-4792-be25-08e898aece15.LPBGU5NYH4FY7TA7.SEARCH&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/lip-balm/h/f/m/10-strawberry-lip-serum-for-soft-moisturised-lips-with-glossy-original-imah8qfm5ahbja2v.jpeg?q=70,₹99,₹299,66% off
Missha Glow Cushion Light No.21P Fair SPF37 PA+++ for O...,https://www.flipkart.com/missha-glow-cushion-light-no-21p-fair-spf37-pa-original-skin-high-coverage-foundation/p/itm9aac67294d970?pid=FNDGG9M9VG6RFJKU&store=g9b%2Fffi&srno=b_1_8&otracker=browse&fm=organic&iid=b8ab303b-7e54-4792-be25-08e898aece15.FNDGG9M9VG6RFJKU.SEARCH&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/foundation/8/t/g/50-glow-cushion-light-no-21p-fair-spf37-pa-for-original-skin-original-imagyg24ufnvmpfp.jpeg?q=70,,,
THR3E STROKES Poly Nail Gel Extension Kit for Builder G...,https://www.flipkart.com/thr3e-strokes-poly-nail-gel-extension-kit-builder-uv-art-set/p/itm34ff9496a6552?pid=NLAGN262YFFEGT7Z&lid=LSTNLAGN262YFFEGT7ZPNATTA&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_9&otracker=browse&fm=organic&iid=b8ab303b-7e54-4792-be25-08e898aece15.NLAGN262YFFEGT7Z.SEARCH&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/nail-art/v/2/u/poly-nail-gel-extension-kit-for-builder-gel-uv-nail-art-kit-nail-original-imagzk8gshzz5gvw.jpeg?q=70,₹433,"₹1,599",72% off
"Lacto Calamine Daily Cleansing wipe with Aloe Vera, Cuc...",https://www.flipkart.com/lacto-calamine-daily-cleansing-wipe-aloe-vera-cucumber-vitamin-e-paraben-alcohol-free-makeup-remover/p/itm81ce894b4dcdc?pid=FLTFTJZ93NRYHKCE&lid=LSTFLTFTJZ93NRYHKCEPIZIXS&marketplace=FLIPKART&store=g9b%2Fffi&srno=b_1_10&otracker=browse&fm=organic&iid=b8ab303b-7e54-4792-be25-08e898aece15.FLTFTJZ93NRYHKCE.SEARCH&ppt=None&ppn=None&ssid=m7o663b1mo0000001747415646272,https://rukminim2.flixcart.com/image/612/612/xif0q/make-up-remover/1/2/a/-original-imah3jdjcpzhs4ff.jpeg?q=70,₹185,₹450,58% off
