Product Name,Product Link,Image URL,Price,Original Price,Discount
MINARA Luxury Woman Eau De Parfum Gift Set 2x25 ml for ...,https://www.flipkart.com/minara-luxury-woman-eau-de-parfum-gift-set-2x25-ml-women-50/p/itmdd0827984ffd5?pid=PERHBFMGKPGDMKYW&lid=LSTPERHBFMGKPGDMKYWDOEBA5&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_1&otracker=browse&fm=organic&iid=en_l8BdjsBjpyDdDxfNdJdc-sHHgpnS-eaLQ34ablBc505cOaXDLSGYjz8h9bEXJb5fdAINDQ00M9Ru9IYhwKI9IU4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/perfume/g/x/p/30-luxury-woman-eau-de-parfum-gift-set-2x15-ml-for-women-eau-de-original-imahbdzh6k9jmyxh.jpeg?q=70,₹168,₹999,83% off
MINARA Luxury Woman Eau De Parfum Gift Set 4x20 ml for ...,https://www.flipkart.com/minara-luxury-woman-eau-de-parfum-gift-set-4x20-ml-women-80/p/itma49017ca355e8?pid=PERHBDZKJ3KBYZJW&lid=LSTPERHBDZKJ3KBYZJWCYDLFZ&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_2&otracker=browse&fm=organic&iid=en_l8BdjsBjpyDdDxfNdJdc-sHHgpnS-eaLQ34ablBc504e6nMKmgSLtkMsv-V7vPxyVvrbPPEtaxTucBuih2QZ2oQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/perfume/m/g/p/80-luxury-woman-eau-de-parfum-gift-set-4x20-ml-for-women-eau-de-original-imahbdzhdzgftvgg.jpeg?q=70,₹215,"₹1,299",83% off
PARK AVENUE Signature Deo Neo Deodorant Spray  -  For M...,https://www.flipkart.com/park-avenue-signature-deo-neo-deodorant-spray-men-women/p/itmffbf8a7e500ae?pid=DEOFZBR86GEBENS2&lid=LSTDEOFZBR86GEBENS2YFJLYM&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_3&otracker=browse&fm=organic&iid=b86ff8da-b1f4-4d58-85bf-cba05a50728c.DEOFZBR86GEBENS2.SEARCH&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-deodorant/q/j/r/300-signature-deo-neo-2-deodorant-spray-park-avenue-men-women-original-imah8bz4f2kjebs2.jpeg?q=70,₹341,₹500,31% off
FOGG Fift Set Eau de Parfum  -  120 ml,https://www.flipkart.com/fogg-fift-set-eau-de-parfum-120-ml/p/itm70d07ec2b6754?pid=PERH8NHKDKZDZHZR&lid=LSTPERH8NHKDKZDZHZRD4WSN2&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_4&otracker=browse&fm=organic&iid=b86ff8da-b1f4-4d58-85bf-cba05a50728c.PERH8NHKDKZDZHZR.SEARCH&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/perfume/d/t/i/-original-imaha7bmuzffsy4t.jpeg?q=70,₹237,₹849,72% off
BELLAVITA CEO MAN perfume & WHITE OUD perfume combo| Ci...,https://www.flipkart.com/bellavita-ceo-man-perfume-white-oud-combo-citrus-woody-notes-long-lasting-eau-de-parfum-40-ml/p/itm86b43f6b9aa98?pid=CBKGT64DQQYHSMV3&lid=LSTCBKGT64DQQYHSMV3RN9TVK&marketplace=FLIPKART&store=g9b%2F0yh&spotlightTagId=default_BestsellerId_g9b%2F0yh&srno=b_1_5&otracker=browse&fm=organic&iid=b86ff8da-b1f4-4d58-85bf-cba05a50728c.CBKGT64DQQYHSMV3.SEARCH&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/combo-kit/k/t/l/ceo-man-perfume-white-oud-perfume-combo-citrus-woody-notes-long-original-imahy9dgwssurvef.jpeg?q=70,₹222,₹748,70% off
PureSense Into the Bloom Gift Set (Vanilla + Mandarin +...,https://www.flipkart.com/puresense-into-bloom-gift-set-vanilla-mandarin-jasmine-rose-4x20ml-perfume-80-ml/p/itmb07d3e6d02738?pid=PERGY589PMGSSFEV&lid=LSTPERGY589PMGSSFEVTTGKZ3&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_6&otracker=browse&fm=organic&iid=en_l8BdjsBjpyDdDxfNdJdc-sHHgpnS-eaLQ34ablBc505_3Cy1jXVNSOTD0MGyFNBmaueWV-Laf1CbR1UdbVf_WxhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/perfume/1/y/w/80-into-the-bloom-gift-set-vanilla-mandarin-jasmine-rose-4x20ml-original-imah5ye2twc2u7ty.jpeg?q=70,₹220,₹849,74% off
"KS SPARK 3 Body Spray - For Men & Women (450 ml, Pack o...",https://www.flipkart.com/ks-spark-3-body-spray-men-women-450-ml-pack-3-deodorant/p/itm44048991084f1?pid=DEOGHME9CSHJDYJW&lid=LSTDEOGHME9CSHJDYJWLEVDAU&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_7&otracker=browse&fm=organic&iid=b86ff8da-b1f4-4d58-85bf-cba05a50728c.DEOGHME9CSHJDYJW.SEARCH&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-deodorant/m/6/l/450-spark-3-body-spray-for-men-women-450-ml-pack-of-3-3-original-imah6ykpwwng3urd.jpeg?q=70,₹449,₹675,33% off
PARK AVENUE Impact Regal Perfumed Deodorant No Gas Perf...,https://www.flipkart.com/park-avenue-impact-regal-perfumed-deodorant-no-gas-perfume-body-spray-men-women/p/itm5d5797c980ea4?pid=DEOHBBDMTCZTPXTC&lid=LSTDEOHBBDMTCZTPXTC4S0DGE&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_8&otracker=browse&fm=organic&iid=b86ff8da-b1f4-4d58-85bf-cba05a50728c.DEOHBBDMTCZTPXTC.SEARCH&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/deodorant/m/h/q/130-impact-regal-perfumed-deodorant-no-gas-1-perfume-body-spray-original-imahbbdmrj8ryhyy.jpeg?q=70,₹170,₹299,43% off
LAYER'R Wottagirl Mandarin Twist + French Body Spray  -...,https://www.flipkart.com/layer-r-wottagirl-mandarin-twist-french-body-spray-women/p/itmf2bf6bb4cbd7a?pid=DEOGF9Z2GDZTSAQJ&lid=LSTDEOGF9Z2GDZTSAQJFR2EPN&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_9&otracker=browse&fm=organic&iid=b86ff8da-b1f4-4d58-85bf-cba05a50728c.DEOGF9Z2GDZTSAQJ.SEARCH&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/kmccosw0/deodorant/b/0/k/60-wottagirl-mandarin-twist-french-peony-2-body-spray-layer-r-original-imagf9nz2xxwcx8s.jpeg?q=70,₹184,₹222,17% off
BELLAVITA DATE perfume & SENORITA perfume combo|2X20ML|...,https://www.flipkart.com/bellavita-date-perfume-senorita-combo-2x20ml-with-fruity-woody-notes-eau-de-parfum-40-ml/p/itmdfc8886c52d4f?pid=PERH27MZSWYBGWUU&lid=LSTPERH27MZSWYBGWUUH9ACAV&marketplace=FLIPKART&store=g9b%2F0yh&spotlightTagId=default_BestsellerId_g9b%2F0yh&srno=b_1_10&otracker=browse&fm=organic&iid=b86ff8da-b1f4-4d58-85bf-cba05a50728c.PERH27MZSWYBGWUU.SEARCH&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/perfume/1/p/a/40-date-perfume-senorita-perfume-combo-2x20ml-with-fruity-woody-original-imah25ey22hs8hk3.jpeg?q=70,₹222,₹749,70% off
PureSense Opulence Gift Set (Hearts + Sweet + Passion +...,https://www.flipkart.com/puresense-opulence-gift-set-hearts-sweet-passion-love-4x25ml-perfume-100-ml/p/itmdb9fad40fda24?pid=PERGWCFFNSPEKZVV&lid=LSTPERGWCFFNSPEKZVVGMADBG&marketplace=FLIPKART&store=g9b%2F0yh&srno=b_1_11&otracker=browse&fm=organic&iid=en_l8BdjsBjpyDdDxfNdJdc-sHHgpnS-eaLQ34ablBc5049TcCPWx2hnAXfzDHNdcVrpyvAPsQ-Ny0Il1FL5pLb_OvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=z184jlytu80000001747416226245,https://rukminim2.flixcart.com/image/612/612/xif0q/perfume/e/b/z/100-opulence-gift-set-hearts-sweet-passion-love-4x25ml-perfume-original-imahfhddyctk25xm.jpeg?q=70,₹322,₹849,62% off
