Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
Women Flats Sandal,https://www.flipkart.com/trendvine-women-flats/p/itmb03cfe0ac264e?pid=SNDH5Z2WXYJXNVZQ&lid=LSTSNDH5Z2WXYJXNVZQO7OGLF&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_1&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxqyj57QvR18V3ABSrnYdsjrtj7n1BWVuM2xRRlScCtuZg%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/o/7/y/5-vt04-5-trendvine-off-white-original-imah4mmyuvhgsags.jpeg?q=70,Hot Deal,₹253,₹999,74% off
Women Flats Sandal,https://www.flipkart.com/sgf-women-flats/p/itm1776d88e5fd6b?pid=SNDGJFNXJAZUGV5J&lid=LSTSNDGJFNXJAZUGV5JKSW6AO&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_2&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxpIuF0jAZlIyQh--_rxLD6tUE9XrwSOVs7JTzCGKur9SA%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sandal/h/s/z/5-khajoori-combo-5-heenaplus-brown-black-original-imah62bufbs4pjgm.jpeg?q=70,Hot Deal,₹304,₹799,61% off
Women Monoction latest disigin juti sandal for women Fl...,https://www.flipkart.com/monoction-latest-disigin-juti-sandal-women-flats/p/itmdeee9af8fb1dd?pid=SNDH2JTH5WGGQBHY&lid=LSTSNDH2JTH5WGGQBHYDCLLV3&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&spotlightTagId=default_BestsellerId_osp%2Fiko%2F9d5&srno=b_1_3&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDH2JTH5WGGQBHY.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/6/0/4/9-wo-less-pink-9-45-monoction-pink-original-imah4d8jbgzzzfgn.jpeg?q=70,Hot Deal,₹253,₹999,74% off
Women Flats Sandal,https://www.flipkart.com/cassiey-women-flats/p/itma30aa74b7aada?pid=SNDG74RHDZUSYZYB&lid=LSTSNDG74RHDZUSYZYBPV1IVG&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_4&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDG74RHDZUSYZYB.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/r/e/d/7-9688-2-7-cassiey-black-original-imahc45pd6ksfd6r.jpeg?q=70,Only few left,₹357,₹499,28% off
Women VENDOZ DOCTOR ORTHOPEDIC MEMORY FOAM SANDALS Flat...,https://www.flipkart.com/vendoz-doctor-orthopedic-memory-foam-sandals-women-flats/p/itm01301841b9dfd?pid=SNDHYRFGKZNBK2QT&lid=LSTSNDHYRFGKZNBK2QTJ9K8ZK&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_5&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxqon4Bsjh_Ght8zge_ECncDPFCr5L-ri86jn2QEfiEFXQ%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/v/z/l/7-vdr153-vendoz-beige-cream-original-imahyrfgspfsjafr.jpeg?q=70,Lowest price in the year,₹634,"₹1,499",57% off
Women Flats Sandal,https://www.flipkart.com/ravis-women-flats/p/itm471026c613319?pid=SNDGXHHYCQFUZDZS&lid=LSTSNDGXHHYCQFUZDZS4LDGB4&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_6&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxoZSgGS5AJ6C1L0Fs8plU7dtY3PYUz3fYqRNWH5pLb-2w%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sandal/l/g/v/6-shopsy-samosa-6-ravis-peach-original-imah22yhzjxyzq4j.jpeg?q=70,Hot Deal,₹279,₹999,72% off
Women Flats Sandal,https://www.flipkart.com/briskers-women-flats/p/itm4e3aedcf598c7?pid=SNDGJFZEYHKZVZJV&lid=LSTSNDGJFZEYHKZVZJVHHFSNW&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_7&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGJFZEYHKZVZJV.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/h/a/0/3-5405-off-white-briskers-off-white-original-imagjfnxmh66qrdb.jpeg?q=70,Only few left,₹974,"₹2,799",65% off
Women Flats Sandal,https://www.flipkart.com/zoyci-women-flats/p/itm6f1c7c9af6580?pid=SNDGQ2UFJ7TGU7ET&lid=LSTSNDGQ2UFJ7TGU7ETJTGCT2&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_8&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGQ2UFJ7TGU7ET.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/d/r/4/4-flats-sandal-for-girls-zoyci-skyblue-original-imagq2ue9gvwpj4c.jpeg?q=70,Hot Deal,₹329,₹750,56% off
Women Flats Sandal,https://www.flipkart.com/hitway-women-flats/p/itmafb57ca08f0a3?pid=SNDH59GSZVCMARDS&lid=LSTSNDH59GSZVCMARDSLDHJDV&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_9&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDH59GSZVCMARDS.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/q/2/p/6-6aftbsdl615-new-tryme-lavander-original-imah4gf9wpbdysgn.jpeg?q=70,Hot Deal,₹621,"₹2,599",76% off
Women Flats Sandal,https://www.flipkart.com/closko-women-flats/p/itm13248d11c5319?pid=SNDGGARXG6H8TAR9&lid=LSTSNDGGARXG6H8TAR9AW28VS&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_10&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGGARXG6H8TAR9.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/v/n/z/7-ck-106-black-7-closko-black-original-imah3vn8gsbhgxdh.jpeg?q=70,Hot Deal,₹210,₹499,57% off
