Product Name,Product Link,Image URL,Price,Original Price,Discount
"Woven, Embellished Kanjivaram Silk Blend, Jacquard Sare...",https://www.flipkart.com/samah-woven-embellished-kanjivaram-silk-blend-jacquard-saree/p/itmeea1100b91df3?pid=SARH8YJTAYMVZHKV&lid=LSTSARH8YJTAYMVZHKVRW5GDM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_1&otracker=browse&fm=organic&iid=en_61m96O8D_KD8lxtlGHE5vHYlblJ7h4llDioJsEJx2EeiscsvmB3dfkLRSgMIHKiG0W98PBPiKOy1OcgTU615zPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/a/s/c/free-3984s483-samah-unstitched-original-imah7fy58pzcaytx.jpeg?q=70,₹483,"₹2,220",78% off
Printed Banarasi Net Saree,https://www.flipkart.com/gzs-printed-banarasi-net-saree/p/itm3eb64ee7f759d?pid=SARG5UD7ZY5E85CH&lid=LSTSARG5UD7ZY5E85CHTRNJIT&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_2&otracker=browse&fm=organic&iid=en_61m96O8D_KD8lxtlGHE5vHYlblJ7h4llDioJsEJx2EcB8ef1aZw5Ca16lakGgtaPNIywYplhXYwZjIIihw5g4A%3D%3D&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/ks7tuvk0/sari/y/j/l/free-penal-01-red-gzs-unstitched-original-imag5ud7r9gv7hg5.jpeg?q=70,₹472,"₹3,599",86% off
Embellished Bollywood Chiffon Saree,https://www.flipkart.com/kakadiya-creation-embellished-bollywood-chiffon-saree/p/itm805e629f87fe3?pid=SARHF3P9YXKJ5FZ5&lid=LSTSARHF3P9YXKJ5FZ5UYUZDB&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=default_BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=b_1_3&otracker=browse&fm=organic&iid=a51ddf7f-b875-482f-9f76-64591658d129.SARHF3P9YXKJ5FZ5.SEARCH&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/m/r/x/free-rama-saree-kakadiya-creation-unstitched-original-imahf3p8hhrvrwfw.jpeg?q=70,₹459,"₹3,399",86% off
Floral Print Bollywood Lycra Blend Saree,https://www.flipkart.com/houseofcommon-floral-print-bollywood-lycra-blend-saree/p/itm5638ac432294f?pid=SARH8XSXBFZ5NFB6&lid=LSTSARH8XSXBFZ5NFB6KRG4TD&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_4&otracker=browse&fm=organic&iid=a51ddf7f-b875-482f-9f76-64591658d129.SARH8XSXBFZ5NFB6.SEARCH&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/n/2/x/free-delta-wine-1-vraggi-unstitched-original-imah8xsnvefykkge.jpeg?q=70,₹317,"₹1,799",82% off
Printed Bollywood Georgette Saree,https://www.flipkart.com/yashika-printed-bollywood-georgette-saree/p/itmfe196f782a1d0?pid=SARH49FGHYDFQCZA&lid=LSTSARH49FGHYDFQCZAPACGJV&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_5&otracker=browse&fm=organic&iid=en_61m96O8D_KD8lxtlGHE5vHYlblJ7h4llDioJsEJx2Ec-fyQw2zwQQ7FSHZPvonz2zXtA0eSclwx67CXBNSVMrg%3D%3D&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/p/i/k/free-fk-ys-barsha-grey-babli-brown-yashika-unstitched-original-imah49ff7hrzzvuz.jpeg?q=70,₹498,"₹1,799",72% off
"Ready to Wear Embroidered, Printed Bandhani Georgette S...",https://www.flipkart.com/rhg-fashion-embroidered-printed-bandhani-georgette-saree/p/itma9b6c0f8b3b15?pid=SARH6ZHPAWG2P8FR&lid=LSTSARH6ZHPAWG2P8FRNOOPJS&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_6&otracker=browse&fm=organic&iid=en_61m96O8D_KD8lxtlGHE5vHYlblJ7h4llDioJsEJx2Ee0e9XAHFuEYDZhZxFUfUepQE__Yu8fpbIovrlYB4CuIg%3D%3D&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/s/l/q/free-kalki-00-rhg-fashion-unstitched-original-imah6zhpnwgtdx8s.jpeg?q=70,₹498,"₹2,499",80% off
Self Design Kanjivaram Cotton Silk Saree,https://www.flipkart.com/vk-uniq-self-design-kanjivaram-cotton-silk-saree/p/itmdefb0b07b565c?pid=SARGBP5PSGKGCR8U&lid=LSTSARGBP5PSGKGCR8UUMV3SA&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_8&otracker=browse&fm=organic&iid=a51ddf7f-b875-482f-9f76-64591658d129.SARGBP5PSGKGCR8U.SEARCH&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/kpedle80/sari/w/c/u/free-shiv-orangegolashibori-758-kiaaron-unstitched-original-imag3newbnrykuny.jpeg?q=70,₹697,"₹3,000",76% off
Floral Print Daily Wear Georgette Saree,https://www.flipkart.com/yashika-floral-print-daily-wear-georgette-saree/p/itm9c803b39fcfe9?pid=SARGSQMP6RMD3GMC&lid=LSTSARGSQMP6RMD3GMCO61MQT&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_10&otracker=browse&fm=organic&iid=a51ddf7f-b875-482f-9f76-64591658d129.SARGSQMP6RMD3GMC.SEARCH&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/u/m/p/free-btk-vk-uniq-unstitched-original-imagtrfwuptttzne.jpeg?q=70,₹445,₹999,55% off
Self Design Banarasi Silk Blend Saree,https://www.flipkart.com/gajgajra-self-design-banarasi-silk-blend-saree/p/itm6fe572ddcb058?pid=SARH6T53DZAG9YGN&lid=LSTSARH6T53DZAG9YGNR7XCFO&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_13&otracker=browse&fm=organic&iid=a51ddf7f-b875-482f-9f76-64591658d129.SARH6T53DZAG9YGN.SEARCH&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/n/p/t/free-sarees-model-new-sarees-for-women-georgette-saree-latest-original-imahbrskncfe56xs.jpeg?q=70,₹787,"₹2,999",73% off
Blocked Printed Bollywood Georgette Saree,https://www.flipkart.com/miloz-blocked-printed-bollywood-georgette-saree/p/itm30bd93f9c976c?pid=SARGWHKMUMWVZMAY&lid=LSTSARGWHKMUMWVZMAYN1XZYZ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=default_BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=b_1_14&otracker=browse&fm=organic&iid=a51ddf7f-b875-482f-9f76-64591658d129.SARGWHKMUMWVZMAY.SEARCH&ppt=None&ppn=None&ssid=d74d7ootog0000001747414802439,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/u/m/v/free-rubi-navy-yashika-unstitched-original-imagsqmzkvzufde5.jpeg?q=70,₹255,"₹1,940",86% off
