Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
"Women sports shoes,Running shoes,Trekking Shoes,gym sho...",https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKG5MMHGVC7&lid=LSTSHOGBSKG5MMHGVC7WFD6HM&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_1&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-a7Zu3PRyYHwbFk3uzbVy2521sdRthGp5VjucAaBeqLPA%3D%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/1/k/n/7-rosy-1-lilac-pink-7-vokline-lalic-pink-original-imahargbxeszdujt.jpeg?q=70,Hot Deal,₹373,₹999,62% off
Trendy Sports Running Shoes For Women,https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm814059bda311c?pid=SHOH5GCYGUFMGHSM&lid=LSTSHOH5GCYGUFMGHSM7PUWPP&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_2&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-YwSZ-X5rKaGyTRQNZBd5_S0r58HoTUDjyx4z7KjnrhYw%3D%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/x/w/v/4-peach-fws-13-s-shoe-4-footox-peach13-original-imah5zz9wjfdcjhv.jpeg?q=70,Hot Deal,₹360,₹999,63% off
Girls Stylish & Comfortable | Casual | Party Wear Walki...,https://www.flipkart.com/rindas-girls-stylish-comfortable-casual-party-wear-walking-shoes-women/p/itm5b0c80db531cb?pid=SHOGC4RFZ883XD8Q&lid=LSTSHOGC4RFZ883XD8QKDTXSV&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_4&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOGC4RFZ883XD8Q.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/n/6/i/5-flp-816-prpl-5-fabbmate-purple-original-imahyse725bzmeg3.jpeg?q=70,Hot Deal,₹373,₹799,53% off
"Lightweight,Comfortable,Durable,Running,Casual Walking ...",https://www.flipkart.com/rowlans-lightweight-comfortable-durable-running-casual-walking-shoes-women/p/itmcd5f14bf767ff?pid=SHOH9YF6EMHNMYQB&lid=LSTSHOH9YF6EMHNMYQBHFWCJW&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_7&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOH9YF6EMHNMYQB.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/l0bbonk0/shoe/b/4/k/4-m1150-twin-toes-pink-original-imagc4pfkxwbugvz.jpeg?q=70,"Buy 2 items, save extra 5%",₹279,"₹1,199",76% off
BURG-06 Training & Gym Shoes For Women,https://www.flipkart.com/crab-shoes-burg-06-training-gym-women/p/itm7a58195ab2042?pid=SHOFZA57ZRZSYDWV&lid=LSTSHOFZA57ZRZSYDWV5YBVG4&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_8&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOFZA57ZRZSYDWV.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/z/b/9/6-cute-n-39-asian-grey-pink-original-imah3pt5uq25sm62.jpeg?q=70,Hot Deal,₹675,₹799,15% off
Walking Shoes For Women,https://www.flipkart.com/vokline-walking-shoes-women/p/itmbe07395df9ca1?pid=SHOGKRMTPMVHX4EA&lid=LSTSHOGKRMTPMVHX4EAJMMBJZ&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_12&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-bxE3b4kcJRJ-wZJsmtho6LZvs9FxTzk7FtpV3V0kk4rQ%3D%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/d/n/7-ls2350-7-layasa-white-blue-original-imah52dw2yhnqakb.jpeg?q=70,Only 2 left,₹472,₹999,52% off
Alia Blue Peach Outdoors For Women,https://www.flipkart.com/zuvic-alia-blue-peach-outdoors-women/p/itm934d1a1fd767f?pid=SHOHBVZPVFABZN8G&lid=LSTSHOHBVZPVFABZN8GM8WKXY&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_15&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOHBVZPVFABZN8G.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/4/q/i/7-789-rowlans-tan-original-imah9yf6anrd2szq.jpeg?q=70,Only few left,₹499,"₹2,299",78% off
Trendy Sports Running Shoes For Women,https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm37c375a7967d6?pid=SHOH6J4DCMKZBYWZ&lid=LSTSHOH6J4DCMKZBYWZAFZOJ4&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_17&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-Yv2qEe0vF6wlPrXJFZ7f1SIV9_aCgI3lQbK6j45r3X1Q%3D%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/v/n/burg-06pink-40-crab-shoes-pink-original-imafzyf7xmwxfmqg-bb.jpeg?q=70,Hot Deal,₹438,₹999,56% off
"LSS-308 Running Shoes,Sports Shoes,Walking Lightweight ...",https://www.flipkart.com/aqualite-lss-308-running-shoes-sports-shoes-walking-lightweight-shoes-women-outdoors/p/itm37e91fa0ec181?pid=SHOH3QYTV2CAZ7D8&lid=LSTSHOH3QYTV2CAZ7D8EFDOZQ&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_18&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-aXc0OqnrMWtQMt868EIl493Tf8_JCRSRc9Okd-CTNzjMsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/3/q/7-oz-11-olive-ozzoh-olive-original-imahbcrpdnzajtzg.jpeg?q=70,Hot Deal,"₹1,699","₹2,999",43% off
Walking Shoes For Women,https://www.flipkart.com/vokline-walking-shoes-women/p/itme148a73711343?pid=SHOGBSKNR3JYWHA3&lid=LSTSHOGBSKNR3JYWHA3WW0AXS&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_22&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-aWMhZv3DlNOKJs0cqssL6T-3KiwAMGFRzce6kFevUJnQ%3D%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/1/k/n/7-rosy-1-lilac-pink-7-vokline-lalic-pink-original-imahargbxeszdujt.jpeg?q=70,"Buy 2 items, save extra ₹30",₹373,₹999,62% off
