Product Name,Product Link,Image URL,Price,Original Price,Discount
Navratna Cool Talc Floral Freeze,https://www.flipkart.com/navratna-cool-talc-floral-freeze/p/itm3540449ad84a7?pid=TLCGYWVYHADMAHNF&lid=LSTTLCGYWVYHADMAHNFK7EJTN&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_1&otracker=browse&fm=organic&iid=en_mBuqtc67BhdaNwoAOb_V5_nhGKZXqMraQhfFM49KDy3FRjRRhoJOU2Xtabrc1V5Y5VxAGZOpFvdhA_6d0fQ2qfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/talc/h/m/t/-original-imagzng9jvrgj436.jpeg?q=70,₹403,₹650,38% off
Chemist at Play Vitamin C Neck Knee Elbow Brightening R...,https://www.flipkart.com/chemist-play-vitamin-c-neck-knee-elbow-brightening-roll-skin-whitening-men-women/p/itmd48afd5ae1dab?pid=FRNGMT8ECCABPZEB&lid=LSTFRNGMT8ECCABPZEBZTUVFH&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_2&otracker=browse&fm=organic&iid=en_mBuqtc67BhdaNwoAOb_V5_nhGKZXqMraQhfFM49KDy2VkZfcg05CoxIcZjJHeH88N-ELubwK33E_o_LT69Ns5A%3D%3D&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/skin-treatment/u/o/7/40-vitamin-c-neck-knee-elbow-brightening-roll-on-skin-whitening-original-imahahbqerqpzhsu.jpeg?q=70,₹269,₹349,22% off
Dermatouch Sunscreen - SPF 50 PA+++ Multivitamin Gel | ...,https://www.flipkart.com/dermatouch-sunscreen-spf-50-pa-multivitamin-gel-uva-uvb-protection-zero-white-cast/p/itm60edd9d448b33?pid=SNRGXU4MFZZCGSZD&lid=LSTSNRGXU4MFZZCGSZDTUEQBA&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_3&otracker=browse&fm=organic&iid=2f956696-ab2f-4cac-94b2-09a38e5636c6.SNRGXU4MFZZCGSZD.SEARCH&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/sunscreen/y/o/7/30-multivitamin-gel-uva-uvb-protection-zero-white-cast-50-original-imahbk4dpbvap6x9.jpeg?q=70,₹143,₹199,28% off
BIFRRUTANT Bee Venom Foot Patches Splint Advanced Foot ...,https://www.flipkart.com/bifrrutant-bee-venom-foot-patches-splint-advanced-care-detox-healing/p/itme196b916e0134?pid=KMTHBNZQZAPZWTT2&lid=LSTKMTHBNZQZAPZWTT2IWFCKK&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_4&otracker=browse&fm=organic&iid=2f956696-ab2f-4cac-94b2-09a38e5636c6.KMTHBNZQZAPZWTT2.SEARCH&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/skin-treatment/9/0/d/100-bee-venom-foot-patches-splint-advanced-foot-care-for-detox-original-imahbnzqezxuryfr.jpeg?q=70,₹181,₹599,69% off
The Derma Co 2% Kojic Acid Face Serum I With 1% Alpha A...,https://www.flipkart.com/derma-co-2-kojic-acid-face-serum-1-alpha-arbutin-niacinamide-dark-spots-blemishes-pigmentation-all-skin-types/p/itm83288f6967554?pid=FRNGPFCZQTEYHGHG&lid=LSTFRNGPFCZQTEYHGHGMQE8AN&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_5&otracker=browse&fm=organic&iid=2f956696-ab2f-4cac-94b2-09a38e5636c6.FRNGPFCZQTEYHGHG.SEARCH&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/fairness/s/w/a/10-face-serum-1-the-derma-co-original-imagpfcznjf2azwj.jpeg?q=70,₹217,₹249,12% off
flywing 15% Vitamin C Serum For Brighter Skin | Vita C+...,https://www.flipkart.com/flywing-15-vitamin-c-serum-brighter-skin-vita-c-e-hyaluronic-acid/p/itmc95cb30fdf646?pid=KMTH52WSQM4BFGXV&lid=LSTKMTH52WSQM4BFGXVUGXQXU&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_6&otracker=browse&fm=organic&iid=en_mBuqtc67BhdaNwoAOb_V5_nhGKZXqMraQhfFM49KDy3z89nKz70AOL-se51XN3_7dE-b5E5qbA5nqh5v-uvkcg%3D%3D&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/skin-treatment/t/0/n/30-15-vitamin-c-serum-for-brighter-skin-vita-c-e-with-hyaluronic-original-imahbcchvxhsee3b.jpeg?q=70,₹371,₹649,42% off
"INTIMIFY Stretch Marks Removal Cream, Reduce Scar Befor...",https://www.flipkart.com/intimify-stretch-marks-removal-cream-reduce-scar-before-after-pregnancy-women/p/itmf815f9d2cdcbe?pid=BSTGX34TUNZEP2HP&lid=LSTBSTGX34TUNZEP2HPAJTYDA&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_7&otracker=browse&fm=organic&iid=2f956696-ab2f-4cac-94b2-09a38e5636c6.BSTGX34TUNZEP2HP.SEARCH&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/body-skin-treatment/a/5/a/50-stretch-marks-removal-cream-reduce-scar-before-after-original-imagx34suz3h2pct.jpeg?q=70,₹201,₹599,66% off
Beauty Of Joseon Glow Replenishing Rice Milk Men & Wome...,https://www.flipkart.com/beauty-joseon-glow-replenishing-rice-milk-men-women/p/itm90e6bf0dc7ee8?pid=TNRH5URR83AFFYBZ&lid=LSTTNRH5URR83AFFYBZPWBSM7&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_8&otracker=browse&fm=organic&iid=2f956696-ab2f-4cac-94b2-09a38e5636c6.TNRH5URR83AFFYBZ.SEARCH&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/toner/e/n/2/-original-imah9tr9d9fugnhk.jpeg?q=70,"₹1,080","₹1,500",28% off
Dermatouch Bye Bye Pigmentation Cream | Anti Pigmentati...,https://www.flipkart.com/dermatouch-bye-pigmentation-cream-anti-women-men/p/itmcbc92a47ae4c6?pid=FRNGTAEVWQKDNTSF&lid=LSTFRNGTAEVWQKDNTSFXNXFE1&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_9&otracker=browse&fm=organic&iid=2f956696-ab2f-4cac-94b2-09a38e5636c6.FRNGTAEVWQKDNTSF.SEARCH&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/skin-treatment/c/i/3/19-bye-bye-pigmentation-cream-anti-pigmentation-cream-for-women-original-imah46h3updcmpnv.jpeg?q=70,₹352,₹530,33% off
DermDoc 5% Glycolic Acid Underarm Brightening Treatment...,https://www.flipkart.com/dermdoc-5-glycolic-acid-underarm-brightening-treatment-spray-toner-face-body-women/p/itm6a28062a3b63f?pid=TNRH5ZCVVYSG3RBU&lid=LSTTNRH5ZCVVYSG3RBUJ3NQYK&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_10&otracker=browse&fm=organic&iid=2f956696-ab2f-4cac-94b2-09a38e5636c6.TNRH5ZCVVYSG3RBU.SEARCH&ppt=None&ppn=None&ssid=ir57lxuwts0000001747415959928,https://rukminim2.flixcart.com/image/612/612/xif0q/toner/t/8/a/100-5-glycolic-acid-underarm-brightening-treatment-spray-toner-original-imah6gswjzemfs8h.jpeg?q=70,₹228,₹325,29% off
