Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
|Lightweight|Antiskid|Ortho|Heels|Slippers for Women|Fl...,https://www.flipkart.com/doctor-walk-women-lightweight-antiskid-ortho-heels-slippers-women-flip-flop-girls-slippers/p/itmf1d5c054447c0?pid=SFFGZ5F5Q59HGSS7&lid=LSTSFFGZ5F5Q59HGSS7SE8PR9&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_2&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNQImO_imbRh7dW_YNewnRDL9_yYE6c7jSZEmoMhlvjNuw%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/0/m/s/8-w-29-pink-doctor-walk-pink-original-imahfcbzfzxg7vga.jpeg?q=70,Hot Deal,₹241,₹799,69% off
Women Slides,https://www.flipkart.com/gloglamp-women-slides/p/itmd55ee2bf4d0c9?pid=SFFH2FHGYXBGUAJ9&lid=LSTSFFH2FHGYXBGUAJ94R7E2N&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_4&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH2FHGYXBGUAJ9.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/g/a/r/-original-imah2c44zyrchd4k.jpeg?q=70,Hot Deal,₹241,₹699,65% off
Women Flip Flops,https://www.flipkart.com/two-soft-women-flip-flops/p/itm49878f159187a?pid=SFFGSTSGYMFVHQGE&lid=LSTSFFGSTSGYMFVHQGEGM7GLF&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_5&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNQjUarO3nFSPKfS_QXehCq4vz9JqgrgAg475EukRh6OYg%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/m/v/h/5-5724121-bata-brown-original-imah44m4rdsymvz8.jpeg?q=70,Hot Deal,₹446,₹699,36% off
Women Flip Flops,https://www.flipkart.com/layasa-women-flip-flops/p/itm8095ea41f202c?pid=SFFH32UFDZHCFSHF&lid=LSTSFFH32UFDZHCFSHFWZ5LX5&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_7&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH32UFDZHCFSHF.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/t/r/u/5-m-3001-gloglamp-black-white-original-imah4nexerge8sdn.jpeg?q=70,Only few left,₹755,"₹1,999",62% off
Women Slides,https://www.flipkart.com/mast-harbour-women-slides/p/itm100e961b18500?pid=SFFH8D2QDHW37HZQ&lid=LSTSFFH8D2QDHW37HZQALCFNB&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_8&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH8D2QDHW37HZQ.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/5/o/v/5-ts-017-blk-ts-005-grn-two-soft-black-green-original-imagstsf97vvdfc7.jpeg?q=70,Hot Deal,₹257,₹799,67% off
Women Flip Flops,https://www.flipkart.com/lnt-fashion-women-flip-flops/p/itmc5099b5c7b0f9?pid=SFFH5C293YAMHZ5R&lid=LSTSFFH5C293YAMHZ5RATJRUE&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_9&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH5C293YAMHZ5R.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/5/0/v/9-123-ashuman-black-original-imah9fzb5yyszzrt.jpeg?q=70,Hot Deal,₹198,₹999,80% off
Womens Comfortable Trendy Cross Patta Slippers Women Sl...,https://www.flipkart.com/str-women-womens-comfortable-trendy-cross-patta-slippers/p/itm1adca92c053de?pid=SFFHF2HRH6NGSZQY&lid=LSTSFFHF2HRH6NGSZQYXWSANZ&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_10&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFHF2HRH6NGSZQY.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/9/2/6/4-ld381-layasa-black-original-imah5gfzcekwjzky.jpeg?q=70,Hot Deal,₹455,₹999,54% off
Women/Girls stylish Ortho slippers Indoor Outdoor Soft ...,https://www.flipkart.com/ashuman-women-women-girls-stylish-ortho-slippers-indoor-outdoor-soft-comfortable/p/itmca2f62fd9266e?pid=SFFGY99GXHATUPFK&lid=LSTSFFGY99GXHATUPFKOBTPAX&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_11&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNTHtAUz7FL5dlOwHyAjsyWZisfdZtJaQTbJHR785XGvZg%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/a/i/b/3-m-iluf1015-black-mast-harbour-black-original-imah94jy6nve7gh4.jpeg?q=70,Only few left,₹475,"₹1,899",74% off
Newly Launch | Classic Ultra Soft | Cushion | Comfortab...,https://www.flipkart.com/doctor-health-super-soft-women-newly-launch-classic-ultra-cushion-comfortable-premium-stylish-trendy-flip-flops/p/itmb8bd4ca90a7e6?pid=SFFH8BDHKNMGWTV2&lid=LSTSFFH8BDHKNMGWTV2HEUHFE&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_12&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNR7JQu3CNrEFGRpjIGuksIX2iNaZZAXy253K_bBtY3PGg%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/j/8/f/8-b1-ladies-2030-sky-blue-8-14-armado-blue-original-imah5av2jh4jzyhw.jpeg?q=70,Only few left,₹288,₹999,71% off
Women Flip Flops,https://www.flipkart.com/layasa-women-flip-flops/p/itmf5e5022504145?pid=SFFGYUK9SDEFZHG6&lid=LSTSFFGYUK9SDEFZHG6I27YUX&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_14&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFGYUK9SDEFZHG6.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/x/y/u/7-heeeel-02-tan-vld-tan-original-imah9dj2sy58kh9w.jpeg?q=70,Hot Deal,₹231,₹999,76% off
