Product Name,Product Link,Image URL,Price,Original Price,Discount
UV Protection Aviator Sunglasses (Free Size),https://www.flipkart.com/piraso-aviator-sunglasses/p/itme10cb1c3329df?pid=SGLFZGE6GMSXZGRP&lid=LSTSGLFZGE6GMSXZGRPN2FYWJ&marketplace=FLIPKART&store=26x&srno=b_1_1&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=en_ZD1yricSPTSxRTmm0B6rs3L7YaFDs8fZg1OjyPgjE8E0oCxDRzh7Dr4x2mH4odEWEV8lkjRInzqdORQZpe9lpw%3D%3D&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/g/i/l/m-3026-gold-black-b-piraso-original-imah8acaunve3vke.jpeg?q=70,₹323,"₹1,599",79% off
UV Protection Aviator Sunglasses (58),https://www.flipkart.com/fair-x-aviator-sunglasses/p/itm8787cf8e15e68?pid=SGLFZCRC8RAQWN4U&lid=LSTSGLFZCRC8RAQWN4UZSJRHU&marketplace=FLIPKART&store=26x&srno=b_1_2&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=en_ZD1yricSPTSxRTmm0B6rs3L7YaFDs8fZg1OjyPgjE8GG_5GQDmCfIXY-zXXEBydAgUBfdRObKvacnhKaZ3DK8A%3D%3D&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sunglass/h/f/r/58-sh-ochila-ochila-original-imahf2jgpzsqvgbu.jpeg?q=70,₹226,₹999,77% off
"UV Protection, Mirrored Wayfarer Sunglasses (57)",https://www.flipkart.com/nuvew-wayfarer-sunglasses/p/itme23e405bfc6ce?pid=SGLFPKXSUYSCBYCH&lid=LSTSGLFPKXSUYSCBYCHZNVWGE&marketplace=FLIPKART&store=26x&srno=b_1_4&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=3e1281bb-4933-400e-bc59-b552314f9184.SGLFPKXSUYSCBYCH.SEARCH&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/7/h/4/free-size-folding-trending-usjones-original-imahftggwyn95pdm.jpeg?q=70,₹185,"₹1,699",89% off
UV Protection Aviator Sunglasses (47),https://www.flipkart.com/dcmr-aviator-sunglasses/p/itm2163e93e8debe?pid=SGLGBVZ3FNVDBGZH&lid=LSTSGLGBVZ3FNVDBGZHUXJTFW&marketplace=FLIPKART&store=26x&srno=b_1_5&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=3e1281bb-4933-400e-bc59-b552314f9184.SGLGBVZ3FNVDBGZH.SEARCH&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/k7c88sw0/sunglass/y/c/h/m-nw-8223-22-16040-nuvew-original-imafphyfvjfftt8v.jpeg?q=70,₹184,₹875,78% off
UV Protection Aviator Sunglasses (50),https://www.flipkart.com/piraso-aviator-sunglasses/p/itm1a5d20174a62d?pid=SGLFHBYNTTWQFH5V&lid=LSTSGLFHBYNTTWQFH5VABQRDZ&marketplace=FLIPKART&store=26x&srno=b_1_6&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=en_ZD1yricSPTSxRTmm0B6rs3L7YaFDs8fZg1OjyPgjE8HFv0OqBNS22W5xxxTohemRAXIeYfqBjdzFMun1tedGaQ%3D%3D&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/k547l3k0/sunglass/x/m/b/l-m8-clubmaster-original-imafn6x5avfgh3th.jpeg?q=70,₹195,₹999,80% off
UV Protection Retro Square Sunglasses (50),https://www.flipkart.com/dervin-retro-square-sunglasses/p/itmca21f5997593a?pid=SGLG3WB4ZPFCGZG2&lid=LSTSGLG3WB4ZPFCGZG2DRAMVT&marketplace=FLIPKART&store=26x&srno=b_1_7&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=3e1281bb-4933-400e-bc59-b552314f9184.SGLG3WB4ZPFCGZG2.SEARCH&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/jwnusnk0/sunglass/h/5/v/m-3026-gold-green-b-piraso-original-imafhby58ttweeqm.jpeg?q=70,₹320,"₹1,599",79% off
UV Protection Round Sunglasses (54),https://www.flipkart.com/rich-club-round-sunglasses/p/itm648a8efbc4ca7?pid=SGLHBXZEQ2KFFFPZ&lid=LSTSGLHBXZEQ2KFFFPZNQK6BT&marketplace=FLIPKART&store=26x&srno=b_1_8&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=3e1281bb-4933-400e-bc59-b552314f9184.SGLHBXZEQ2KFFFPZ.SEARCH&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/kay9bbk0/sunglass/h/4/f/m-kabir-gold-yellow-rozzetta-craft-original-imafse57z642f3ay.jpeg?q=70,₹300,"₹1,499",79% off
"UV Protection, Polarized Wayfarer, Sports, Spectacle , ...",https://www.flipkart.com/zienz-wayfarer-sports-spectacle-retro-square-oval-sunglasses/p/itm4ff9a12adc66c?pid=SGLH2JYSNWZXDZC5&lid=LSTSGLH2JYSNWZXDZC5O9REKN&marketplace=FLIPKART&store=26x&srno=b_1_9&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=3e1281bb-4933-400e-bc59-b552314f9184.SGLH2JYSNWZXDZC5.SEARCH&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/n/n/f/medium-8007-gold-brown-rich-club-original-imahbxzevzztjmxx.jpeg?q=70,₹398,₹999,60% off
UV Protection Rectangular Sunglasses (Free Size),https://www.flipkart.com/youth-club-rectangular-sunglasses/p/itm7493d6c9a1afa?pid=SGLGPBYC4MUXEWG9&lid=LSTSGLGPBYC4MUXEWG9NOI9X5&marketplace=FLIPKART&store=26x&spotlightTagId=default_BestsellerId_26x&srno=b_1_10&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=3e1281bb-4933-400e-bc59-b552314f9184.SGLGPBYC4MUXEWG9.SEARCH&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/e/q/k/free-size-rt063-black-sunglasses-rozti-original-imahfbsahx4nkkuq.jpeg?q=70,₹155,"₹1,035",85% off
"UV Protection, Gradient, Night Vision, Polarized, Other...",https://www.flipkart.com/eymen-retro-square-sunglasses/p/itm877a7137ff046?pid=SGLHBHYUHRHRQBVZ&lid=LSTSGLHBHYUHRHRQBVZL0EZPY&marketplace=FLIPKART&store=26x&srno=b_1_14&otracker=nmenu_sub_Women_0_Sunglasses&fm=organic&iid=3e1281bb-4933-400e-bc59-b552314f9184.SGLHBHYUHRHRQBVZ.SEARCH&ppt=None&ppn=None&ssid=xllkxc4fow0000001747416913792,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/v/5/l/small-44-47-medium-48-52-large-53-58-free-size-55-mm-sgl-tg-original-imahacwztj7qrbek.jpeg?q=70,₹186,"₹1,799",89% off
