Product Name,Product Link,Image URL,Price,Original Price,Discount
Casual Regular Sleeves Printed Women White Top,https://www.flipkart.com/sangouri-casual-printed-women-white-top/p/itm9c9413caabee9?pid=TOPH2SSBNUXM2FH8&store=clo%2Fash&srno=b_1_3&otracker=browse&fm=organic&iid=f337e62c-feb2-4acf-b9af-701df069f302.TOPH2SSBNUXM2FH8.SEARCH&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/j/n/h/l-women-polyester-tshirt-adixus-original-imahagfhmvpvhybh.jpeg?q=70,₹128,₹899,85% off
Women Boxy Fit Graphic Print Spread Collar Casual Shirt,https://www.flipkart.com/ekasya-women-graphic-print-casual-multicolor-shirt/p/itm71ab97b1206de?pid=SHTH9C7J7AHHPCUQ&lid=LSTSHTH9C7J7AHHPCUQQKI2FA&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_8&otracker=browse&fm=organic&iid=f337e62c-feb2-4acf-b9af-701df069f302.SHTH9C7J7AHHPCUQ.SEARCH&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/u/t/i/s-hk4-msd-csk07-yellow-womentop-msv-original-imagyyq6cghwvdzt.jpeg?q=70,₹391,₹899,56% off
Women Regular Fit Printed Mandarin Collar Casual Shirt,https://www.flipkart.com/pp-productions-women-printed-casual-white-shirt/p/itmcd130bac9595a?pid=SHTHAQ26XDJJ5QGV&lid=LSTSHTHAQ26XDJJ5QGVHNIKF5&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_10&otracker=browse&fm=organic&iid=f337e62c-feb2-4acf-b9af-701df069f302.SHTHAQ26XDJJ5QGV.SEARCH&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/top/r/j/k/m-1-formal-white-short-kurta-1060-sangouri-original-imah35utsrudvfxt.jpeg?q=70,,,
Casual Regular Sleeves Printed Women Multicolor Top,https://www.flipkart.com/meesan-casual-printed-women-multicolor-top/p/itm67a5c7145a90c?pid=TOPGQXWJUZK5RM6K&lid=LSTTOPGQXWJUZK5RM6KX16XRA&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_18&otracker=browse&fm=organic&iid=en_7858Vtcw7cDKsE2OT0FAMId6UIpsbi08-T1UACGzudc1hSE50P0GFc78kxdOen3lB-ZYVqktPcb_O5g9WPJfkA%3D%3D&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/top/d/k/d/m-1-1047-short-kurta-sangouri-original-imahb98m4znwb3es.jpeg?q=70,₹252,₹999,74% off
Pack of 2 Women Striped Round Neck Cotton Blend Multico...,https://www.flipkart.com/pinovo-striped-women-round-neck-multicolor-t-shirt/p/itma152de24ca554?pid=TSHGN7Q3CKJCHY98&lid=LSTTSHGN7Q3CKJCHY98RLXKCT&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_21&otracker=browse&fm=organic&iid=en_7858Vtcw7cDKsE2OT0FAMId6UIpsbi08-T1UACGzudcJG-D9o_KCEf7S7Cx6dkfpUSRGM30qGN4ftQQue5MbhQ%3D%3D&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/n/x/z/xl-color-block-women-plain-black-t-shirt-ultima-unbeatable-original-imah7krrtnj6m7hp.jpeg?q=70,₹342,₹799,57% off
Women Printed Round Neck Pure Cotton Maroon T-Shirt,https://www.flipkart.com/ogarti-printed-women-round-neck-maroon-t-shirt/p/itmb84559d3093bf?pid=TSHGDW96Z5Y7DQ6M&lid=LSTTSHGDW96Z5Y7DQ6MVLQIO1&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_24&otracker=browse&fm=organic&iid=f337e62c-feb2-4acf-b9af-701df069f302.TSHGDW96Z5Y7DQ6M.SEARCH&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/x/e/q/xxl-9740215-roadster-original-imagkf3y6yyvxnhy.jpeg?q=70,₹223,₹799,72% off
"Pack of 3 Women Printed Round Neck Polyester White, Bla...",https://www.flipkart.com/think-tech-printed-women-round-neck-white-black-t-shirt/p/itmb6952f90301f2?pid=TSHGQFTNJVRVWYDD&lid=LSTTSHGQFTNJVRVWYDDZVOJLV&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_27&otracker=browse&fm=organic&iid=en_7858Vtcw7cDKsE2OT0FAMId6UIpsbi08-T1UACGzudcWEmRh9EuaiI4AuLoMfpUkkZW4RwcpbfMcaTQDT4BJuw%3D%3D&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/w/3/2/xxl-a15064-sheetal-associates-original-imah49y26mzgsby3.jpeg?q=70,₹342,₹999,65% off
"Women Printed, Typography Round Neck Pure Cotton Black ...",https://www.flipkart.com/deccan-store-printed-typography-women-round-neck-black-t-shirt/p/itmf138ce5446c14?pid=TSHGVE3HQZT6D9RE&lid=LSTTSHGVE3HQZT6D9RE7M4CRG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_32&otracker=browse&fm=organic&iid=en_7858Vtcw7cDKsE2OT0FAMId6UIpsbi08-T1UACGzudceFri3gv9pGIhBqUdLMTuUa22tnfwavsXkh_iTCaUHVg%3D%3D&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/y/i/w/xxl-1730-dressberry-original-imahautftza4gs5r.jpeg?q=70,₹292,₹730,60% off
Women Printed Round Neck Cotton Blend Light Blue T-Shir...,https://www.flipkart.com/kotty-printed-women-round-neck-light-blue-t-shirt/p/itm345e04ce6e9d3?pid=TSHGZE9AGRTDPMGG&lid=LSTTSHGZE9AGRTDPMGGRXM2IC&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_36&otracker=browse&fm=organic&iid=f337e62c-feb2-4acf-b9af-701df069f302.TSHGZE9AGRTDPMGG.SEARCH&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/top/u/d/3/m-1-31358199-glitchez-original-imahbzpy7w2hpd8z.jpeg?q=70,₹415,"₹1,299",68% off
Oversized Women Solid Round Neck Pure Cotton Brown T-Sh...,https://www.flipkart.com/juneberry-solid-women-round-neck-brown-t-shirt/p/itmdc560fc51f138?pid=TSHHYWSVFSGQV4EH&lid=LSTTSHHYWSVFSGQV4EHI3UIBR&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_37&otracker=browse&fm=organic&iid=en_7858Vtcw7cDKsE2OT0FAMId6UIpsbi08-T1UACGzuddi34pepDhcvLKPXk2zQ7llAIM3ofRfIexw4VgDawtGpA%3D%3D&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/r/6/m/xl-7213-zebrashirt-rk6-white-maykr-original-imahap7yfnazjhdm.jpeg?q=70,₹379,"₹1,499",74% off
Women Solid Round Neck Cotton Blend Black T-Shirt,https://www.flipkart.com/being-human-solid-women-round-neck-black-t-shirt/p/itmd1ec5f2df64b2?pid=TSHGTBNBGNPYGMTZ&lid=LSTTSHGTBNBGNPYGMTZKZWDMN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_38&otracker=browse&fm=organic&iid=en_7858Vtcw7cDKsE2OT0FAMId6UIpsbi08-T1UACGzuden87UzwzKFPNEf3KpwGk-2rmaHSnNKK-8KzJCc6osK6A%3D%3D&ppt=None&ppn=None&ssid=9jcan5suq80000001747414125174,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/a/p/z/-original-imagykhgy9awjs54.jpeg?q=70,₹549,,
