Product Name,Product Link,Image URL,Price,Original Price,Discount
Women Pink Tote,https://www.flipkart.com/playybags-women-pink-tote/p/itm86a7b68f1a965?pid=HMBHC6KHZNC3YTRX&lid=LSTHMBHC6KHZNC3YTRXKNWXAH&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_1&otracker=browse&fm=organic&iid=en_fcTeg94TycmPTa5S8SLBLNzq34i-XST1G87XJC7OSOf-mYh6xYcaD51OmgNRtItwaiMdh-z5xQpHoPFmA6NYyA%3D%3D&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sling-bag/q/v/t/stylish-tote-bag-with-cat-print-durable-shoulder-bag-for-women-1-original-imahc6kk2emmazqs.jpeg?q=70,₹249,₹999,75% off
Women Green Tote,https://www.flipkart.com/playybags-women-green-tote/p/itm2e61e9b0d7730?pid=HMBHC6KHC6HKPABD&lid=LSTHMBHC6KHC6HKPABDUJEIXK&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_2&otracker=browse&fm=organic&iid=en_fcTeg94TycmPTa5S8SLBLNzq34i-XST1G87XJC7OSOd_LvAHVMLgop2vCWz-jgD_e5SzesLArqW35g33P4ip6Q%3D%3D&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sling-bag/l/0/f/stylish-beige-tote-bag-with-bold-woman-print-durable-shoulder-original-imahc6kkrtsq4jyf.jpeg?q=70,₹249,₹999,75% off
Women Pink Tote,https://www.flipkart.com/playybags-women-pink-tote/p/itm9c139195925bb?pid=HMBHB5VAAZVHTCQC&lid=LSTHMBHB5VAAZVHTCQCXUZZQL&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_4&otracker=browse&fm=organic&iid=0614bf00-df47-4655-8329-9443589f6656.HMBHB5VAAZVHTCQC.SEARCH&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/b/r/a/women-stylish-jute-bag-jute-tote-bag-tote-pearluxis-original-imah4gkcfeqkmwrg.jpeg?q=70,₹306,"₹2,499",87% off
Women Multicolor Tote,https://www.flipkart.com/bonica-women-multicolor-tote/p/itm416b7416af160?pid=HMBHBYNJHFNZRXSD&lid=LSTHMBHBYNJHFNZRXSD9FWQSR&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_5&otracker=browse&fm=organic&iid=0614bf00-df47-4655-8329-9443589f6656.HMBHBYNJHFNZRXSD.SEARCH&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/d/8/w/stylish-tote-bag-for-women-trendy-cotton-canvas-handbag-with-original-imahb9fzg3hjy6qt.jpeg?q=70,₹300,₹999,69% off
Women Beige Tote,https://www.flipkart.com/playybags-women-beige-tote/p/itm364982efe27ef?pid=HMBHC6KKEXFZW5AT&lid=LSTHMBHC6KKEXFZW5ATTHY36J&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_6&otracker=browse&fm=organic&iid=en_fcTeg94TycmPTa5S8SLBLNzq34i-XST1G87XJC7OSOf8pH9LRNGQ6B4BhC8NBRLI51mx-MsGX6fW6eGEvjh14A%3D%3D&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/k/w/b/women-s-straw-woven-jute-handbag-elegant-stripe-design-fixed-original-imahbynjbgyaxf8u.jpeg?q=70,"₹1,699","₹2,499",32% off
Women Black Tote,https://www.flipkart.com/peach-blossom-women-black-tote/p/itm74ca28b89700f?pid=HMBHBFFGG9JYMYGY&lid=LSTHMBHBFFGG9JYMYGYEOHNQF&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_8&otracker=browse&fm=organic&iid=0614bf00-df47-4655-8329-9443589f6656.HMBHBFFGG9JYMYGY.SEARCH&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sling-bag/z/n/d/stylish-beige-tote-bag-with-bold-woman-print-durable-shoulder-original-imahc6kkbynaeest.jpeg?q=70,₹249,₹999,75% off
Women Purple Tote,https://www.flipkart.com/playybags-women-purple-tote/p/itmab60688259fb7?pid=HMBHC6KHVCYQQZPX&lid=LSTHMBHC6KHVCYQQZPXMU3BX3&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_11&otracker=browse&fm=organic&iid=en_fcTeg94TycmPTa5S8SLBLNzq34i-XST1G87XJC7OSOdyQinL2aGuGfslt5SiKfRTXTC377nGnltkW0f2ige2bg%3D%3D&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/sling-bag/q/o/y/women-textured-tote-bag-1-12-s425tt02-tote-max-28-original-imahbyzwmz64zqj6.jpeg?q=70,"₹1,499",,
Women Beige Tote,https://www.flipkart.com/ol-skool-women-beige-tote/p/itm7946087e371ef?pid=HMBHC5H24BMKZZHR&lid=LSTHMBHC5H24BMKZZHRNDS3UT&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_12&otracker=browse&fm=organic&iid=en_fcTeg94TycmPTa5S8SLBLNzq34i-XST1G87XJC7OSOctCkiaBl8zjLHAytqKEbYUi7dLmuisRTGqqC7Wvhbuiw%3D%3D&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/r/d/a/tbag-5-15-tbag-blk-fauvism-tote-peach-blossom-16-original-imahbtgngmnjndjs.jpeg?q=70,₹283,₹999,71% off
Women Multicolor Tote,https://www.flipkart.com/lookout-fashion-women-multicolor-tote/p/itmfbe8f788f83a7?pid=HMBH7HSDRWHZEQV4&lid=LSTHMBH7HSDRWHZEQV43TNMQQ&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_13&otracker=browse&fm=organic&iid=0614bf00-df47-4655-8329-9443589f6656.HMBH7HSDRWHZEQV4.SEARCH&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/y/5/f/textured-tote-bag-lb1908brn-tote-legal-bribe-original-imah6yjzaytzdjs5.jpeg?q=70,₹472,"₹2,580",81% off
Women White Tote,https://www.flipkart.com/peach-blossom-women-white-tote/p/itm1af2f08281389?pid=HMBHB2HN7MBZHZHS&lid=LSTHMBHB2HN7MBZHZHSVXLISX&marketplace=FLIPKART&store=reh%2Fihu%2Fv57&srno=b_1_14&otracker=browse&fm=organic&iid=0614bf00-df47-4655-8329-9443589f6656.HMBHB2HN7MBZHZHS.SEARCH&ppt=None&ppn=None&ssid=nzeayk1x5s0000001747416672940,https://rukminim2.flixcart.com/image/612/612/xif0q/hand-messenger-bag/h/f/3/happycats-zipper-tote-14-28789163782o6-tote-the-sack-co-27-original-imah69y2fgrrzzna.jpeg?q=70,₹260,₹799,67% off
