Product Name,Product Link,Image URL,Price,Original Price,Discount
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itmd4cd819eadb9f?pid=SMWGEH7VGYMGCP3V&lid=LSTSMWGEH7VGYMGCP3VXIJHDY&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_1&otracker=CLP_lhs&fm=organic&iid=en_Sgq5L6x_zdTOtXv0PMA43DIvlvs1ARhEXtl_YzKDniGKpwR1rnXGhAhZAumIM7_cExoywN2zjuD6J-hdD5SwUQ%3D%3D&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/i/u/-original-imah76jt64ffmwg4.jpeg?q=70,"₹1,399","₹5,999",76% off
"REDMI Watch Move 1.85 Premium AmoLED,14 Day Battery,Bes...",https://www.flipkart.com/redmi-watch-move-1-85-premium-amoled-14-day-battery-best-accuracy-dual-core-processor-smartwatch/p/itm013acf097d879?pid=SMWHB4YTRWFHFQGY&lid=LSTSMWHB4YTRWFHFQGYP1QQWN&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_2&otracker=CLP_lhs&fm=organic&iid=en_Sgq5L6x_zdTOtXv0PMA43DIvlvs1ARhEXtl_YzKDniHTSjF9CW6h53q7QpDzjxjk9GLwuwcLrI7a9xnjTEzmIPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/n/6/-original-imahbdm6yxmfm6ru.jpeg?q=70,"₹1,999","₹3,999",50% off
"GameSir Silver T800 Ultra Smartwatch Stainless Steel, B...",https://www.flipkart.com/gamesir-silver-t800-ultra-smartwatch-stainless-steel-bt-calling-fitness-music/p/itmfb5e9269e409f?pid=SMWH78HJEEVHFARH&lid=LSTSMWH78HJEEVHFARHSSCHU1&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_3&otracker=CLP_lhs&fm=organic&iid=897cf18a-401f-4370-acc1-1daa3e229b17.SMWH78HJEEVHFARH.SEARCH&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/2/1/7/40-t800-ultra-metal-silver-android-ios-gamesir-yes-original-imaha37hhvpfnpaf.jpeg?q=70,₹813,"₹3,999",79% off
Fire-Boltt Talk 35.3mm (1.39) Bluetooth Calling with Sp...,https://www.flipkart.com/fire-boltt-talk-35-3mm-1-39-bluetooth-calling-spo2-metal-body-luxury-design-smartwatch/p/itmdbaf195afa396?pid=SMWG2ZX6VFGYZU7S&lid=LSTSMWG2ZX6VFGYZU7SCOIWK4&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_4&otracker=CLP_lhs&fm=organic&iid=897cf18a-401f-4370-acc1-1daa3e229b17.SMWG2ZX6VFGYZU7S.SEARCH&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/b/f/-original-imahcf2vvgrfbwp2.jpeg?q=70,"₹1,399","₹9,999",86% off
"Boult Thrux 1.39''HD Screen, GPS Tracker, Working Crown...",https://www.flipkart.com/boult-thrux-1-39-hd-screen-gps-tracker-working-crown-bt-calling-290-watch-faces-smartwatch/p/itm9809b66525a3f?pid=SMWH8WKXYK86RNZF&lid=LSTSMWH8WKXYK86RNZFQV1QCG&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_5&otracker=CLP_lhs&fm=organic&iid=897cf18a-401f-4370-acc1-1daa3e229b17.SMWH8WKXYK86RNZF.SEARCH&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/u/g/35-306-thrux-android-ios-boult-yes-original-imah8xh9m9fugczy.jpeg?q=70,"₹2,199","₹7,999",72% off
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm8229e27c1df28?pid=SMWGEH7VV8B3H8Y6&lid=LSTSMWGEH7VV8B3H8Y6ZUQIYO&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_6&otracker=CLP_lhs&fm=organic&iid=en_Sgq5L6x_zdTOtXv0PMA43DIvlvs1ARhEXtl_YzKDniFPTv1ACo0Zr33fjIenS6kz_tuOJ25NYLDkIJOAnLG6KUKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/o/c/a/-original-imah76jszpjhp2yr.jpeg?q=70,"₹1,399","₹5,999",76% off
"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...",https://www.flipkart.com/noise-twist-go-1-39-display-bluetooth-calling-metallic-finish-100-sports-modes-smartwatch/p/itmf9fa3027228f8?pid=SMWH889Z3HH5T2EH&lid=LSTSMWH889Z3HH5T2EHKUMZOJ&marketplace=FLIPKART&store=ajy%2Fbuh&spotlightTagId=default_BestsellerId_ajy%2Fbuh&srno=b_1_7&otracker=CLP_lhs&fm=organic&iid=897cf18a-401f-4370-acc1-1daa3e229b17.SMWH889Z3HH5T2EH.SEARCH&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/g/x/35-306-wrb-sw-twistgo-std-blk-blk-android-ios-noise-yes-original-imah889zcdzvzcuf.jpeg?q=70,"₹1,399","₹4,999",72% off
"REDMI Watch Move 1.85 Premium AmoLED,14 Day Battery,Bes...",https://www.flipkart.com/redmi-watch-move-1-85-premium-amoled-14-day-battery-best-accuracy-dual-core-processor-smartwatch/p/itm8499989bfaa8b?pid=SMWHB4YTMWX3NR99&lid=LSTSMWHB4YTMWX3NR99R7L9Q1&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_8&otracker=CLP_lhs&fm=organic&iid=897cf18a-401f-4370-acc1-1daa3e229b17.SMWHB4YTMWX3NR99.SEARCH&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/k/5/z/-original-imahbdm6mckwmtwr.jpeg?q=70,"₹1,999","₹3,999",50% off
"Cellecor 1.83"" BT Calling, 500 NITS, AI Voice Assistant...",https://www.flipkart.com/cellecor-1-83-bt-calling-500-nits-ai-voice-assistant-spo2-hr-split-screen-smartwatch/p/itm0122916d81aca?pid=SMWGVVSEHKY9GQUQ&lid=LSTSMWGVVSEHKY9GQUQVWW9IU&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_9&otracker=CLP_lhs&fm=organic&iid=897cf18a-401f-4370-acc1-1daa3e229b17.SMWGVVSEHKY9GQUQ.SEARCH&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/r/f/46-482-m1-android-ios-cellecor-yes-original-imah8xzyght5fbbz.jpeg?q=70,₹799,"₹3,999",80% off
Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,https://www.flipkart.com/fire-boltt-ninja-calling-pro-plus-46-5mm-1-83-display-bluetooth-calling-ai-voice-smartwatch/p/itm37ac5957c9c50?pid=SMWGGZ74CKN8XG6W&lid=LSTSMWGGZ74CKN8XG6WANEXSX&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_10&otracker=CLP_lhs&fm=organic&iid=897cf18a-401f-4370-acc1-1daa3e229b17.SMWGGZ74CKN8XG6W.SEARCH&ppt=None&ppn=None&ssid=fo1abs00jk0000001747413815105,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/g/r/-original-imahyz5xakhgchhn.jpeg?q=70,"₹1,399","₹9,999",86% off
